Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,過年暝，,"Kuè-nî-mê,"
,家家戶戶攏咧圍爐，,"ke-ke-hōo-hōo lóng teh uî-lôo,"
,桌頂的年菜若欲豐沛，,"toh-tíng ê nî-tshài nā beh phong-phài,"
,這就愛看厝裡的彼个總舖師的功夫囉！,tse tō ài khuànn tshù--lí ê hit ê tsóng-phòo-sai ê kang-hu --looh!
,會記得細漢的時，,"Ē-kì-tit sè-hàn ê sî,"
,猶閣是農業社會，,"iáu-koh sī lông-gia̍p siā-huē,"
,毋管是煮三頓，,"m̄-kuán sī tsú sann tǹg,"
,抑是洗身軀的燒水，,"ia̍h-sī sé-sin-khu ê sio-tsuí,"
,攏是用大灶燃柴的，,"lóng sī iōng tuā-tsàu hiânn-tshâ--ê,"
,無通像這馬用電、,"bô thang tshiūnn tsit-má iōng tiān,"
,燃gá-suh遐爾仔利便。,hiânn gá-suh hiah-nī-á lī-piān.
,因為攏愛共厝裡鬥相共，,"In-uī lóng ài kā tshù--lí tàu-sann-kāng,"
,所以較早的囡仔逐个攏嘛會曉燃大灶。,sóo-í khah-tsá ê gín-á ta̍k ê lóng mā ē-hiáu hiânn tuā-tsàu.
,阿母就是阮兜的總舖師，,"A-bú tō sī guán tau ê tsóng-phòo-sai,"
,日頭猶未落山，,"ji̍t-thâu iáu-buē lo̍h-suann,"
,伊就開始無閒咧款圍爐菜矣。,i tō khai-sí bô-îng teh khuán uî-lôo-tshài --ah.
,阿母通常會對上厚工的先來，,"A-bú thong-siông ē uì siōng kāu-kang--ê sing lâi,"
,頭一項就是封肉！,thâu tsi̍t hāng tō sī hong-bah!
,豬肉買轉來著愛先燃滾水燙過，,"Ti-bah bé--tńg-lâi tio̍h-ài sing hiânn kún-tsuí thǹg--kuè,"
,豬毛著愛巡看剾有清氣無？,ti-mn̂g tio̍h-ài sûn khuànn khau ū tshing-khì --bô?
,閣愛先乍過一遍油，,"Koh ài sing tsànn-kuè tsi̍t piàn iû,"
,才會使下落去炕。,tsiah ē-sái hē lo̍h-khì khòng.
,紲落去著愛用慢火炕予爛，,"Suà--lo̍h-khì tio̍h-ài iōng bān-hué khòng hōo nuā,"
,阮阿爸伊上愛食這項芳閣𩚨的封肉。,guán a-pah i siōng ài tsia̍h tsit hāng phang koh khiū ê hong-bah.
,另外，,"Līng-guā,"
,圍爐一定愛食的閣有魚仔，,"uî-lôo it-tīng ài tsia̍h--ê koh ū hî-á,"
,魚仔著愛煎予赤，,"hî-á tio̍h-ài tsian hōo tshiah,"
,食起來才會芳閣酥。,tsia̍h --khí-lâi tsiah ē phang koh soo.
,有魚嘛著愛有雞，,"Ū hî mā tio̍h-ài ū ke,"
,早起阿母就去挽茄苳葉欲來翕茄苳雞，,"tsá-khí a-bú tō khì bán ka-tang-hio̍h beh lâi hip ka-tang-ke,"
,聽講食了會開脾。,thiann-kóng tsia̍h-liáu ē khui-pî.
,彼種滋味有影是芳kòng-kòng，,"Hit tsióng tsu-bī ū-iánn sī phang-kòng-kòng,"
,有夠好食！,ū-kàu hó-tsia̍h!
,過年過節，,"Kuè-nî kuè-tseh,"
,阿母攏會炊甜粿、菜頭粿佮發粿。,"a-bú lóng ē tshue tinn-kué, tshài-thâu-kué kah huat-kué."
,等祖先拜煞，,"Tán tsóo-sian pài suah,"
,暗時欲圍爐的時陣，,"àm-sî beh uî-lôo ê sî-tsūn,"
,攏會煎一寡甜粿佮發粿，,"lóng ē tsian tsi̍t-kuá tinn-kué kah huat-kué,"
,因為序大講：「過年時，食予發一下，,"in-uī sī-tuā kóng: “Kuè-nî sî, tsia̍h hōo huat--tsi̍t-ē,"
,討一个好吉兆啦！」,thó tsi̍t ê hó kiat-tiāu --lah!」
,啊若食菜頭粿講是好彩頭，,"Ah nā tsia̍h tshài-thâu-kué kóng sī hó tshái-thâu,"
,彼若閣煎過是有夠芳的啦！,he nā koh tsian--kuè sī ū-kàu phang--ê --lah!
,搵豆油膏上著味，,"Ùn tāu-iû-ko siōng tio̍h-bī,"
,這項是我上愛食的。,tsit hāng sī guá siōng ài tsia̍h--ê.
,有一種芥菜會當做長年菜、長壽菜，,"Ū tsi̍t tsióng kuà-tshài ē-tàng tsò tn̂g-nî-tshài, tn̂g-siū-tshài,"
,是寒人才有的，,"sī kuânn--lâng tsiah ū--ê,"
,家己菜園仔就有種。,ka-kī tshài-hn̂g-á tō ū tsìng.
,若𤉙湯，,"Nā kûn thng,"
,攏毋免摻味素，,"lóng m̄-bián tsham bī-sòo,"
,湯頭就真甘甜！,thng-thâu tō tsin kam-tinn!
,猶閣有阿媽家己豉的鹹豬肉，,"Iáu-koh ū a-má ka-kī sīnn ê kiâm ti-bah,"
,切切咧用寡蒜仔落去芡芳炒炒咧，,"tshiat-tshiat--leh iōng kuá suàn-á lo̍h-khì khiàn-phang tshá-tshá--leh,"
,阿公干焦用來配飯，,"a-kong kan-na iōng-lâi phuè pn̄g,"
,就會當食幾若碗！,tō ē-tàng tsia̍h kuí-nā uánn!
,日頭已經落山，,"Ji̍t-thâu í-king lo̍h-suann,"
,阿母叫阮遮的囡仔緊共碗箸排予好勢，,"a-bú kiò guán tsia-ê gín-á kín kā uánn-tī pâi hōo hó-sè,"
,準備通圍爐！,tsún-pī thang uî-lôo!
,所有的年菜攏煮好捀上桌矣，,"Sóo-ū ê nî-tshài lóng tsú hó phâng tsiūnn-toh --ah,"
,這時陣大灶內面的火，,"tsit sî-tsūn tuā-tsàu lāi-bīn ê hué,"
,猶賰一點仔火種，,"iáu tshun tsi̍t-tiám-á hué-tsíng,"
,阿母攏會問阮講：「敢欲囥寡番薯入去炰？」,a-bú lóng ē mn̄g guán kóng: “Kám beh khǹg kuá han-tsî ji̍p-khì pû?”
,若講著彼款滋味，,"Nā kóng-tio̍h hit khuán tsu-bī,"
,帶有一點仔臭火焦的芳，,"tài ū tsi̍t-tiám-á tshàu-hué-ta ê phang,"
,是到今猶予我誠數念的氣味，,"sī kàu-tann iáu hōo guá tsiânn siàu-liām ê khì-bī,"
,嘛是囡仔時代的記持！,mā sī gín-á sî-tāi ê kì-tî!
,會當食著一桌遮爾仔腥臊的圍爐菜，,"Ē-tàng tsia̍h-tio̍h tsi̍t toh tsiah-nī-á tshenn-tshau ê uî-lôo-tshài,"
,著愛感謝上辛苦的總舖師，,"tio̍h-ài kám-siā siōng sin-khóo ê tsóng-phòo-sai,"
,彼就是阮阿母啦！,he tō sī guán a-bú --lah!
