Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,阮阿爸今年九十五歲矣。,Guán a-pah kin-nî káu-tsa̍p-gōo huè --ah.
,除了耳空較重，,"Tû-liáu hīnn-khang khah tāng,"
,佮伊講話愛較大聲以外，,"kah i kóng-uē ài khah tuā-siann í-guā,"
,伊的記持、目睭攏猶真好。,"i ê kì-tî, ba̍k-tsiu lóng iáu tsin hó."
,伊逐工的娛樂就是看報紙，,"I ta̍k kang ê gôo-lo̍k tō sī khuànn pò-tsuá,"
,看日本、臺灣的電視新聞佮暗時九點的政論節目，,"khuànn Ji̍t-pún, Tâi-uân ê tiān-sī sin-bûn kah àm-sî káu tiám ê tsìng-lūn tsiat-bo̍k,"
,毋過定定看甲受氣關電視。,m̄-koh tiānn-tiānn khuànn kah siū-khì kuainn tiān-sī.
,暗時若閒，,"Àm-sî nā îng,"
,我攏愛佮伊那看電視那開講，,"guá lóng ài kah i ná khuànn tiān-sī ná khai-káng,"
,天南地北無所不談，,"thian lâm tē pak bû sóo put tâm,"
,對伊的少年時代講到這馬。,uì i ê siàu-liân sî-tāi kóng kàu tsit-má.
,阿爸自細漢就認真拍拚，,"A-pah tsū sè-hàn tō jīn-tsin phah-piànn,"
,共阮公仔鬥作穡。,kā guán kong-á tàu tsoh-sit.
,因為無欲輸人閣去讀農校，,"In-uī bô beh su--lâng koh khì tha̍k lông-hāu,"
,畢業了後佇日本政府的農業機關上班。,pit-gia̍p liáu-āu tī Ji̍t-pún Tsìng-hú ê lông-gia̍p ki-kuan siōng-pan.
,伊的職務是做粟仔產量統計佮糧食的分配。,I ê tsit-bū sī tsò tshik-á sán-liōng thóng-kè kah niû-si̍t ê hun-phuè.
,阿爸真照顧佮伊鬥陣做工課的人。,A-pah tsin tsiàu-kòo kah i tàu-tīn tsò khang-khuè ê lâng.
,伊做人真慷慨，,"I tsò-lâng tsin khóng-khài,"
,對人干焦會幫助佮相楗，,"tuì lâng kan-na ē pang-tsōo kah sio-kīng,"
,袂共人刁難揣麻煩，,"bē kā lâng thiau-lân tshuē mâ-huân,"
,所以四界攏有好朋友。,sóo-í sì-kè lóng ū hó pîng-iú.
,後來伊家己做生理趁袂少錢，,"Āu--lâi i ka-kī tsò-sing-lí thàn bē tsió tsînn,"
,親情朋友若有困難，,"tshin-tsiânn pîng-iú nā ū khùn-lân,"
,伊攏幫贊到底。,i lóng pang-tsān kàu-té.
,伊定定講，,"I tiānn-tiānn kóng,"
,伊共人鬥相共並無向望人報答。,i kā lâng tàu-sann-kāng pīng bô ǹg-bāng lâng pò-tap.
,第二次世界大戰了後，,"Tē-jī tshù Sè-kài Tāi-tsiàn liáu-āu,"
,國民政府接管臺灣，,"Kok-bîn Tsìng-hú tsiap-kuán Tâi-uân,"
,阿爸本底予人請去管理臺南縣。,a-pah pún-té hōo lâng tshiánn khì kuán-lí Tâi-lâm-kuān.
,毋過彼時陣情勢誠亂，,"M̄-koh hit sî-tsūn tsîng-sè tsiânn  luān,"
,伊就共人推辭。,i tō kā lâng the-sî.
,嘛因為按呢，,"Mā in-uī án-ne,"
,才逃過二二八事件的災難。,tsiah tô-kuè Jī-jī-pat Sū-kiānn ê tsai-lān.
,臺灣近代所發生的一寡代誌，,"Tâi-uân kīn-tāi sóo huat-sing ê tsi̍t-kuá tāi-tsì,"
,伊攏經歷有著。,i lóng king-li̍k ū tio̍h.
,這馬伊上愛講予阮聽的，,"Tsit-má i siōng ài kóng hōo guán thiann--ê,"
,就是遮的故事。,tō sī tsia-ê kòo-sū.
,阿爸會使講是一部臺灣近代的活歷史。,A-pah ē-sái kóng sī tsi̍t phō Tâi-uân kīn-tāi ê ua̍h li̍k-sú.
,毋過予我印象上深的就是我佇小學咧上班的時，,"M̄-koh hōo guá ìn-siōng siōng tshim--ê tō sī guá tī sió-ha̍k teh siōng-pan ê sî,"
,有一工我佇辦公室共老師鬥做工課，,"ū tsi̍t kang guá tī pān-kong-sik kā lāu-su tàu tsò khang-khuè,"
,雄雄工友阿伯傱入來講，,"hiông-hiông kang-iú a-peh tsông --ji̍p-lâi kóng,"
,有一个少年家騎車挵著學校邊人家厝的壁角，,"ū tsi̍t ê siàu-liân-ke khiâ-tshia lòng-tio̍h ha̍k-hāu-pinn jîn-ke-tshù ê piah-kak,"
,規身軀流血流滴，,"kui-sin-khu lâu-hueh-lâu-tih,"
,若親像死去矣。,nā tshin-tshiūnn sí--khì --ah.
,一大堆人圍倚去看，,"Tsi̍t tuā tui lâng uî uá khì khuànn,"
,無人敢出手去共伊救。,bô lâng kánn tshut-tshiú khì kā i kiù.
,這个時陣阿爸拄好經過，,"Tsit ê sî-tsūn a-pah tú-hó king-kuè,"
,趕緊共伊抱起來送去病院。,kuánn-kín kā i phō --khí-lâi sàng khì pēnn-īnn.
,雖然落尾也是救無活，,"Sui-jiân lo̍h-bué iā-sī kiù bô ua̍h,"
,毋過逐家攏講阿爸誠好膽。,m̄-koh ta̍k-ke lóng kóng a-pah tsiânn hó-tánn.
,事後我問伊敢會驚。,Sū-āu guá mn̄g i kám ē kiann.
,伊講：「美軍來空襲臺南的時，,"I kóng: “Bí-kun lâi khong-si̍p Tâi-lâm ê sî,"
,我佇臺南病院鬥救人。,guá tī Tâi-lâm Pēnn-īnn tàu kiù-lâng.
,死的、著傷的一、兩百个，,"Sí--ê, tio̍h-siong--ê tsi̍t, nn̄g-pah ê,"
,血流甲淹跤盤，,"hueh lâu kah im kha-puânn,"
,我都無咧驚矣。」,guá to bô teh kiann --ah.”
,這个時陣我才發現阿爸真正誠勇敢。,Tsit ê sî-tsūn guá tsiah huat-hiān a-pah tsin-tsiànn tsiânn ióng-kám.
,阿爸一生做人正直，,"A-pah it-sing tsò-lâng tsìng-ti̍t,"
,毋驚神、毋驚鬼，,"m̄-kiann sîn, m̄-kiann kuí,"
,毋驚惡勢力，,"m̄-kiann ok sè-li̍k,"
,所以到今逐工閣會食會睏，,"sóo-í kàu-tann ta̍k kang koh ē tsia̍h ē khùn,"
,身體勇健。,sin-thé ióng-kiānn.
,這也是阮遮的做囝兒的，,"Tse iā sī guán tsia--ê tsò kiánn-jî--ê,"
,上安慰的所在。,siōng an-uì ê sóo-tsāi.
