Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,細漢的時陣，,"Sè-hàn ê sî-tsūn,"
,阮做人小弟、小妹的，,"guán tsò lâng sió-tī, sió-muē--ê,"
,攏著愛抾阿兄、阿姊抑是別人袂穿得的衫仔褲來穿。,"lóng tio̍h-ài khioh a-hiann, a-tsí ia̍h-sī pa̍t-lâng bē tshīng tit ê sann-á-khòo lâi tshīng."
,無細膩，,"Bô-sè-jī,"
,若予阿母看著阮無歡喜的表情，,"nā hōo a-bú khuànn-tio̍h guán bô huann-hí ê piáu-tsîng,"
,伊就會笑笑仔共阮講：「勤儉較有底，浪費不成家。」,"I tō ē tshiò-tshiò-á kā guán kóng: “Khîn-khiām khah ū té, lōng-huì put sîng ka.”"
,儉慣勢了後，,"Khiām kuàn-sì liáu-āu,"
,等我大漢開始上班，,"tán guá tuā-hàn khai-sí siōng-pan,"
,第一擺領著薪水，,"tē-it pái niá tio̍h sin-suí,"
,嘛毋甘買新衫來穿，,"mā m̄-kam bé sin sann lâi tshīng,"
,猶是穿阿姊的舊衫去上班。,iáu sī tshīng a-tsí ê kū sann khì siōng-pan.
,阿母看著，,"A-bú khuànn--tio̍h,"
,可能心內替我毋甘，,"khó-lîng sim-lāi thè guá m̄-kam,"
,問我講：「你一直穿人的舊衫，,"mn̄g guá kóng: “Lí it-ti̍t tshīng lâng ê kū sann,"
,心肝頭攏袂艱苦喔？」,sim-kuann-thâu lóng bē kan-khóo --ooh?”
,我煞戇戇仔共應講：「袂啊，按呢較環保啊。,"Guá suah gōng-gōng-á kā ìng kóng: “Bē --ah, án-ne khah khuân-pó --ah."
,你毋是定定咧講，,"Lí m̄ sī tiānn-tiānn teh kóng,"
,勤儉較有底，,"khîn-khiām khah ū té,"
,浪費不成家。」,lōng-huì put sîng ka.”
,阿母聽我按呢講，,"A-bú thiann guá án-ne kóng,"
,煞歹勢甲面仔紅紅，,"suah pháinn-sè kah bīn-á âng-âng,"
,笑笑仔講：「彼是往過，,"tshiò-tshiò-á kóng: “He sī íng-kuè,"
,我佮恁老爸薪水有限，,"guá kah lín lāu-pē sin-suí iú-hān,"
,閣愛飼恁一大陣囡仔，,"koh ài tshī lín tsi̍t tuā tīn gín-á,"
,毋才按呢講。,m̄-tsiah án-ne kóng.
,這馬無仝款矣，,"Tsit-má bô kāng-khuán --ah,"
,你家己會曉趁錢，,"lí ka-kī ē-hiáu thàn-tsînn,"
,會使買寡媠衫來穿，,"ē-sái bé kuá suí sann lâi tshīng,"
,毋免閣穿人的舊衫矣啦！」,m̄-bián koh tshīng lâng ê kū sann --ah --lah!”
,聽阿母按呢講，,"Thiann a-bú án-ne kóng,"
,煞換我替阮爸母感覺毋甘心酸酸。,suah uānn guá thè guán pē-bú kám-kak m̄-kam sim-sng-sng.
,阿爸、阿母嘛足少共家己買衫仔褲。,"A-pah, a-bú mā tsiok tsió kā ka-kī bé sann-á-khòo."
,開in的衫仔櫥共看覓，,"Khui in ê sann-á-tû kā khuànn-māi,"
,凊彩一領衫提出來都有二、三十年的歷史。,"tshìn-tshái tsi̍t niá sann the̍h--tshut-lâi to ū jī, sann-tsa̍p nî ê li̍k-sú."
,彼年，,"Hit nî,"
,我趁母親節，,"guá thàn Bú-tshin-tseh,"
,買一軀新衫送予阿母。,bé tsi̍t su sin sann sàng hōo a-bú.
,伊足歡喜，,"I tsiok huann-hí,"
,毋過嘛是踅踅唸，,"m̄-koh mā sī se̍h-se̍h-liām,"
,叫我莫遐討債。,kiò guá mài hiah thó-tsè.
,我就刁意故共伊弄講：「你免煩惱啦！,Guá tō thiau-ì-kòo kā i lāng kóng: “Lí bián huân-ló --lah!
,我知，,"Guá tsai,"
,勤儉較有底，,"khîn-khiām khah ū té,"
,浪費不成家嘛。」,lōng-huì put sîng ka --mah.”
,阿母那笑那講：「謼，你這个囡仔乎，,"A-bú ná tshiò ná kóng: “Hooh, lí tsit ê gín-á --honnh,"
,當時學甲遮爾仔無大無細矣！」,tang-sî o̍h kah tsiah-nī-á bô tuā bô sè --ah!”
,閣順紲伸手偷偷仔共我的尻川䫌捻一下。,koh sūn-suà tshun-tshiú thau-thau-á kā guá ê kha-tshng-phué liàm --tsi̍t-ē.
,喔，,"Ooh,"
,足疼的呢！,tsiok thiànn--ê --neh!
,阿母的手頭實在有夠重的。,A-bú ê tshiú-thâu si̍t-tsāi ū-kàu tāng--ê.
,講正經的，,"Kóng tsìng-king--ê,"
,靠山山會崩，,"khò suann suann ē pang,"
,靠水水會焦，,"khò tsuí tsuí ē ta,"
,開錢猶是愛會曉撙節，,"khai-tsînn iáu sī ài ē-hiáu tsún-tsat,"
,儉儉仔開，,"khiām-khiām-á khai,"
,較實在。,khah si̍t-tsāi.
,雖然我無尻川鬥柄──好額的爸母，,"Sui-jiân guá bô kha-tshng tàu pènn── hó-gia̍h ê pē-bú,"
,毋過我真感謝阿爸、阿母對我的管教，,"m̄-koh guá tsin kám-siā a-pah, a-bú tuì guá ê kuán-kà,"
,培養我正確勤儉的觀念，,"puê-ióng guá tsìng-khak khîn-khiām ê kuan-liām,"
,無染著討債的歹習慣。,bô jiám-tio̍h thó-tsè ê pháinn si̍p-kuàn.
,咱人若是開錢若開水，,"Lán lâng nā-sī khai-tsînn nā khai tsuí,"
,就親像坐著破產的直達快車，,"tō tshin-tshiūnn tsē--tio̍h phò-sán ê ti̍t-ta̍t khuài-tshia,"
,落尾可能會散甲有路無厝，,"lo̍h-bué khó-lîng ē suànn kah ū lōo bô tshù,"
,戶口簿仔只好吊佇電火柱。,hōo-kháu phōo-á tsí-hó tiàu tī tiān-hué-thiāu.
,成家立業了後，,"Sîng-ka-li̍p-gia̍p liáu-āu,"
,我嘛是按呢「加減趁，較袂散；,"guá mā sī án-ne “Ke-kiám thàn, khah bē sàn;"
,加減抾，,"ke-kiám khioh,"
,較省共人借。」,khah síng kā lâng tsioh.”
,向望有一日會當佮阿母仝款，,"Ǹg-bāng ū-tsi̍t-ji̍t ē-tàng kah a-bú kāng-khuán,"
,沓沓仔共這个家疊成山囉。,ta̍uh-ta̍uh-á kā tsit ê ke tha̍h sîng suann --looh.
