Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,人講臺灣是寶島，,"Lâng kóng Tâi-uân sī pó-tó,"
,地理好、風景媠，,"tē-lí hó, hong-kíng suí,"
,雖然熱天的天氣有淡薄仔翕熱，,"sui-jiân jua̍h-thinn ê thinn-khì ū tām-po̍h-á hip-jua̍h,"
,毋過嘛生湠出臺灣百百款的植物。,m̄-koh mā senn-thuànn tshut Tâi-uân pah-pah-khuán ê si̍t-bu̍t.
,佇我猶未讀小學的時陣，,"Tī guá iáu-buē tha̍k sió-ha̍k ê sî-tsūn,"
,若是拄著禮拜，,"nā-sī tú-tio̍h lé-pài,"
,透早，,"thàu-tsá,"
,我就綴阿母去菜市仔買菜。,guá tō tuè a-bú khì tshài-tshī-á bé tshài.
,去菜市仔的路裡，,"Khì tshài-tshī-á ê lōo--lí,"
,阿母牽我的手，,"a-bú khan guá ê tshiú,"
,那行那比路邊的野花、野草，,"ná kiânn ná pí lōo-pinn ê iá-hue, iá-tsháu,"
,教我認捌遮的植物。,kà guá jīn-bat tsia-ê si̍t-bu̍t.
,「這是草霸王；,“Tse sī tsháu pà-ông;
,彼是刺查某，,"he sī tshiah-tsa-bóo,"
,愛細膩毋通予伊纏牢咧。,ài sè-jī m̄-thang hōo i tînn tiâu --leh.
,彼欉叫做烏甜仔，,"Hit tsâng kiò-tsò oo-tinn-á,"
,葉仔佮結的子攏會當挽來食。」,hio̍h-á kah kiat ê tsí lóng ē-tàng bán lâi tsia̍h.”
,我指一欉花問阿母：「彼一粒一粒、紅紅的是啥物花？,"Guá tsí tsi̍t tsâng hue mn̄g a-bú: “He tsi̍t lia̍p tsi̍t lia̍p, âng-âng ê sī siánn-mih hue?"
,有夠古錐呢！」,Ū-kàu kóo-tsui --neh!”
,「彼叫做圓仔花，,"“He kiò-tsò înn-á-hue,"
,佇路邊常在會當看著伊。」,tī lōo-pinn tshiâng-tsāi ē-tàng khuànn-tio̍h i.”
,細漢，,"Sè-hàn,"
,我上愛綴序大人看歌仔戲，,"guá siōng ài tuè sī-tuā-lâng khuànn kua-á-hì,"
,看著搬戲的花旦妝甲媠噹噹，,"khuànn-tio̍h puann-hì ê hue-tuànn tsng kah suí-tang-tang,"
,我嘛會攑香綴拜，,"guá mā ē gia̍h hiunn tuè pài,"
,共頭毛頂插甲全全攏是圓仔花，,"kā thâu-mn̂g-tíng tshah kah tsuân-tsuân lóng sī înn-á-hue,"
,當做家己是歌仔戲的花旦，,"tòng-tsò ka-kī sī kua-á-hì ê hue-tuànn,"
,走去阿母面頭前唱七字仔。,tsáu khì a-bú bīn-thâu-tsîng tshiùnn tshit-jī-á.
,變鬼變怪閣牛聲馬喉，,"Pìnn-kuí-pìnn-kuài koh gû-siann-bé-âu,"
,阿母幌頭笑講：「你喔！,a-bú hàinn-thâu tshiò kóng: “Lí --ooh!
,真正是圓仔花毋知䆀！」,Tsin-tsiànn sī înn-á-hue m̄ tsai bái!”
,等到我讀小學，,"Tán-kàu guá tha̍k sió-ha̍k,"
,我上佮意的就是運動埕邊的黃槐樹。,guá siōng kah-ì--ê tō sī ūn-tōng-tiânn pinn ê n̂g-huâi-tshiū.
,彼排黃槐樹，,"Hit pâi n̂g-huâi-tshiū,"
,差不多有八十公尺長、兩樓懸。,"tsha-put-to ū peh-tsa̍p kong-tshioh tn̂g, nn̄g lâu kuân."
,熱天時仔，,"Jua̍h-thinn-sî-á,"
,會開甲規欉樹仔攏是黃色的花。,ē khui kah kui tsâng tshiū-á lóng sī n̂g-sik ê hue.
,下課的時，,"Hā-khò ê sî,"
,定定佮同窗走去樹仔跤𨑨迌。,tiānn-tiānn kah tông-tshong tsáu khì tshiū-á-kha tshit-thô.
,涼涼的風微微仔吹來，,"Liâng-liâng ê hong bî-bî-á tshue--lâi,"
,帶來花的清芳，,"tuà lâi hue ê tshing-phang,"
,閣有真茂的樹葉仔鬥遮日，,"koh ū tsin ōm ê tshiū-hio̍h-á tàu jia-ji̍t,"
,真正是天然歇涼的好所在。,tsin-tsiànn sī thian-jiân hioh-liâng ê hó sóo-tsāi.
,有一工的熱天下晡，,"Ū tsi̍t kang ê jua̍h-thinn ē-poo,"
,當咧上課，,"tng-teh siōng-khò,"
,雄雄落一陣有夠大的西北雨，,"hiông-hiông lo̍h tsi̍t tsūn ū-kàu tuā ê sai-pak-hōo,"
,逐家攏予大雨唌去看外口，,"ta̍k-ke lóng hōo tuā-hōo siânn khì khuànn guā-kháu,"
,無張持有人大聲喝：「哇！,bô-tiunn-tî ū lâng tuā-siann huah: “Uah!
,有夠媠的！」,Ū-kàu suí--ê!”
,原來，,"Guân-lâi,"
,這陣大雨共規排黃槐樹的花拍落來，,"tsit-tsūn tuā-hōo kā kui pâi n̂g-huâi-tshiū ê hue phah --lo̍h-lâi,"
,黃錦錦的花蕊，,"n̂g-gìm-gìm ê hue-luí,"
,綴雨水落落來，,"tuè hōo-tsuí lak--lo̍h-lâi,"
,閣拄著透大風，,"koh tú-tio̍h thàu-tuā-hong,"
,花蕊就會予風吹甲懸懸懸，,"hue-luí tō ē hōo hong tshue kah kuân-kuân-kuân,"
,若像尾蝶仔咧跳舞仝款。,ná-tshiūnn bué-ia̍h-á teh thiàu-bú kāng-khuán.
,花蕊起起落落，,"Hue-luí khí-khí-lo̍h-lo̍h,"
,親像咧落黃金雨仝款。,tshin-tshiūnn teh lo̍h n̂g-kim hōo kāng-khuán.
,全班的同學攏袂記得猶咧上課，,"Tsuân-pan ê tông-ha̍k lóng bē-kì tit iáu teh siōng-khò,"
,逐家攏走去𤲍佇窗仔門邊，,"ta̍k-ke lóng tsáu khì kheh tī thang-á-mn̂g-pinn,"
,連老師嘛做伙來欣賞這个難得的美麗景緻呢！,liân lāu-su mā tsò-hué lâi him-sióng tsit ê lân-tit ê bí-lē kíng-tì --neh!
,到今，,"Kàu-tann,"
,一年四季攏有人相招去看花，,"tsi̍t nî sù-kuì lóng ū lâng sio-tsio khì khuànn hue,"
,像春天的斑芝花、,"tshiūnn tshun-thinn ê pan-tsi-hue,"
,熱人的蓮花、,"jua̍h--lâng ê liân-hue,"
,秋天的金針花佮寒人的梅花。,tshiu-thinn ê kim-tsiam-hue kah kuânn--lâng ê muî-hue.
,雖然遐的花攏真媠，,"Sui-jiân hia-ê hue lóng tsin suí,"
,毋過佇我心目當中，,"m̄-koh tī guá sim-bo̍k tang-tiong,"
,上媠的猶是細漢看著的彼陣美麗的黃金雨。,siōng suí--ê iáu sī sè-hàn khuànn--tio̍h ê hit-tsūn bí-lē ê n̂g-kim hōo.
