Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,紅嬰仔落塗的時，,"Âng-enn-á lo̍h-thôo ê sî,"
,規身軀軟荍荍，,"kui-sin-khu nńg-siô-siô,"
,袂曉坐、袂曉爬，,"bē-hiáu tsē, bē-hiáu pê,"
,干焦會當予人抱。,kan-na ē-tàng hōo lâng phō.
,有跤袂行路，,"Ū kha bē kiânn-lōo,"
,毋是毋願行，,"m̄ sī m̄-guān kiânn,"
,是雙跤袂接力。,sī siang kha bē tsih-la̍t.
,毋過，,"M̄-koh,"
,伊會踢，,"i ē that,"
,愈踢就愈有力。,jú that tō jú ū-la̍t.
,沓沓仔，,"Ta̍uh-ta̍uh-á,"
,伊就會曉坐、會曉爬。,"i tō ē-hiáu tsē, ē-hiáu pê."
,這个時陣，,"tsit ê sî-tsūn,"
,跤頭趺毋知疼，,"kha-thâu-u m̄ tsai thiànn,"
,親像毋驚風湧的細隻船仔，,"tshin-tshiūnn m̄-kiann hong-íng ê sè tsiah tsûn-á,"
,離開爸母用雙手圍起來的港口，,"lī-khui pē-bú iōng siang tshiú uî --khí-lâi ê káng-kháu,"
,搖啊搖，,"iô --ah iô,"
,搖對生份的所在去。,iô uì senn-hūn ê sóo-tsāi khì.
,會坐期待會爬，,"Ē tsē kî-thāi ē pê,"
,會爬期待會行。,ē pê kî-thāi ē kiânn.
,沓沓仔，,"Ta̍uh-ta̍uh-á,"
,好奇的目睭帶領雙跤聊聊仔徛起來，,"hònn-kî ê ba̍k-tsiu tuà-niá siang kha liâu-liâu-á khiā --khí-lâi,"
,才發現：「看會著的物件愈濟，,"tsiah huat-hiān: “Khuànn ē tio̍h ê mi̍h-kiānn jú tsē,"
,看會著的所在愈闊！」,khuànn ē tio̍h ê sóo-tsāi jú khuah!”
,這个時陣，,"Tsit ê sî-tsūn,"
,有力的雙跤已經停袂落來矣，,"ū-la̍t ê siang kha í-king thîng bē lo̍h-lâi --ah,"
,想欲趕緊去欣賞這个五花十色的世界，,"siūnn-beh kuánn-kín khì him-sióng tsit ê gōo-hue-tsa̍p-sik ê sè-kài,"
,行路的日子就對遮一步一步開始！,kiânn-lōo ê ji̍t-tsí tō uì tsia tsi̍t pōo tsi̍t pōo khai-sí!
,自細漢到大漢，,"Tsū sè-hàn kàu tuā-hàn,"
,行過的路毋知有偌長？,kiânn--kuè ê lōo m̄ tsai ū guā tn̂g?
,看過的物件毋知有偌濟？,Khuànn--kuè ê mi̍h-kiānn m̄ tsai ū guā tsē?
,毋過，,"M̄-koh,"
,敢閣有拄仔學行彼當陣的歡喜佮趣味？,kám koh ū tú-á o̍h kiânn hit-tang-tsūn ê huann-hí kah tshù-bī?
,啥物原因予「行路」煞來變做麻痺的動作？,Siánn-mih guân-in hōo “kiânn-lōo” suah lâi piàn-tsò bâ-pì ê tōng-tsok?
,行過公園無看著花草；,Kiânn-kuè kong-hn̂g bô khuànn-tio̍h hue-tsháu;
,行過田園無看著稻草；,kiânn-kuè tshân-hn̂g bô khuànn-tio̍h tiū-tsháu;
,來到河邊，,"lâi-kàu hô-pinn,"
,無聽著水流聲；,bô thiann-tio̍h tsuí-lâu siann;
,經過大海，,"king-kuè tuā-hái,"
,毋知風湧有偌大？,m̄ tsai hong-íng ū guā tuā?
,是按怎咧？,Sī án-tsuánn --leh?
,我看這攏是失去好奇佮期待！,Guá khuànn tse lóng sī sit-khì hònn-kî kah kî-thāi!
,咱對出世開始，,"Lán uì tshut-sì khai-sí,"
,就一直咧學習，,"tō it-ti̍t teh ha̍k-si̍p,"
,學坐、學爬、學講話。,"o̍h tsē, o̍h pê, o̍h kóng-uē."
,等到去學校讀冊，,"Tán-kàu khì ha̍k-hāu tha̍k-tsheh,"
,開始學習數學、國語、天文、地理，,"khai-sí ha̍k-si̍p sòo-ha̍k, kok-gí, thian-bûn, tē-lí,"
,猶閣有做人做事的道理。,iáu-koh ū tsò-lâng tsò sū ê tō-lí.
,檢采，,"Kiám-tshái,"
,咱若是用「好奇」的心理來探討遮的學問佮義理，,"lán nā-sī iōng “hònn-kî” ê sim-lí lâi thàm-thó tsia-ê ha̍k-būn kah gī-lí,"
,是毋是會增加學習的趣味咧？,sī m̄ sī ē tsing-ka ha̍k-si̍p ê tshù-bī --leh?
,有一句話講了真好：「食一歲，學一歲。」,"Ū tsi̍t kù uē kóng liáu tsin hó: “Tsia̍h tsi̍t huè, o̍h tsi̍t huè.”"
,現此時的科技遮爾發達，,"Hiān-tshú-sî ê kho-ki tsiah-nī huat-ta̍t,"
,逐工都有新奇的物件佮技術出現，,"ta̍k kang to ū sin-kî ê mi̍h-kiānn kah ki-su̍t tshut-hiān,"
,敢講你攏袂好奇明仔載的世界會變啥款？,kám-kóng lí lóng bē hònn-kî bîn-á-tsài ê sè-kài ē pìnn siánn-khuán?
,逐个人的心內攏有「好奇」的栽仔，,"Ta̍k ê lâng ê sim-lāi lóng ū “hònn-kî” ê tsai-á,"
,咱需要的就是用「期待」的養份來共伊照顧。,lán su-iàu--ê tō sī iōng “kî-thāi” ê ióng-hūn lâi kā i tsiàu-kòo.
,「期待」的養份需要調配，,"“Kî-thāi” ê ióng-hūn su-iàu tiâu-phuè,"
,伊愛用三份的「耐心」、,"i ài iōng sann hūn ê “nāi-sim”,"
,三份的「信心」加上四份的「拍拚」，,"sann hūn ê “sìn-sim” ka-siōng sì hūn ê “phah-piànn”,"
,囥入去「目標」的甕仔內底攪攪咧。,khǹg ji̍p-khì “bo̍k-piau” ê àng-á lāi-té kiáu-kiáu --leh.
,製造好勢的養份逐工掖佇「好奇」的栽仔，,"Tsè-tsō hó-sè ê ióng-hūn ta̍k kang iā tī “hònn-kî” ê tsai-á,"
,年久月深，,"nî-kú-gue̍h-tshim,"
,「好奇」的栽仔會生湠，,"“hònn-kî” ê tsai-á ē senn-thuànn,"
,會開「歡喜」的花，,"ē khui “huann-hí” ê hue,"
,會結「成功」的子。,ē kiat “sîng-kong” ê tsí.
,到時陣，,"Kàu sî-tsūn,"
,你就會知影，,"lí tō ē tsai-iánn,"
,用心行路，,"iōng-sim kiânn-lōo,"
,就會𤆬咱行向美麗的新樂園。,tō ē tshuā lán kiânn hiòng bí-lē ê sin lo̍k-hn̂g.
