Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,淑芬in翁佇銀行做主管，,"Siok-hun in ang tī gîn-hâng tsò tsú-kuán,"
,有一工，,"ū tsi̍t kang,"
,風邪、頭疼、流鼻水，,"hong-siâ, thâu-thiànn, lâu phīnn-tsuí,"
,掠準家己的身體猶足勇健，,"lia̍h-tsún ka-kī ê sin-thé iáu tsiok ióng-kiānn,"
,平常時仔逐工攏有咧運動、拍球，,"pîng-siông-sî-á ta̍k kang lóng ū teh ūn-tōng, phah-kiû,"
,略略仔寒著，,"lio̍h-lio̍h-á kuânn--tio̍h,"
,凊彩買便藥仔食食咧就好。,tshìn-tshái bé piān-io̍h-á tsia̍h-tsia̍h --leh tō hó.
,無疑悟幾工後煞頭眩目暗、跤痠手軟、,"Bô-gî-ngōo kuí kang āu suah thâu hîn ba̍k àm, kha sng tshiú nńg ,"
,四肢無力，,"sù-ki bô-la̍t,"
,就緊共送去病院。,tō kín kā sàng-khì pēnn-īnn.
,醫生講著愛隨入院急救，,"I-sing kóng tio̍h-ài suî ji̍p īnn kip-kiù,"
,啥人知影過無個外月就來過身去。,siánn-lâng tsai-iánn kuè bô kò-guā-gue̍h tō lâi kuè-sin --khì.
,這件代誌予六十歲的淑芬按怎都料想袂到，,"Tsit kiānn tāi-tsì hōo la̍k-tsa̍p huè ê Siok-hun án-tsuánn to liāu-sióng bē kàu,"
,雄雄毋知欲按怎才好。,hiông-hiông m̄ tsai beh án-tsuánn tsiah hó.
,彼站伊艱苦甲袂食袂睏，,"Hit-tsām i kan-khóo kah bē-tsia̍h-bē-khùn,"
,規個月無代無誌就會腹肚疼，,"kui kò gue̍h bô-tāi-bô-tsì tō ē pak-tóo thiànn,"
,有時閣無緣無故會腰骨痠疼、,"ū-sî koh bô-iân-bô-kòo ē io-kut sng-thiànn,"
,心臟咇噗惝、血壓衝誠懸。,"sim-tsōng phi̍h-pho̍k-tshíng, hueh-ap tshìng tsiânn kuân."
,定定半暝仔咧反症，,"Tiānn-tiānn puànn-mê-á teh huán-tsìng,"
,就緊坐計程車去病院掛急診。,tō kín tsē kè-tîng-tshia khì pēnn-īnn kuà kip-tsín.
,隨看著醫生，,"Suî khuànn-tio̍h i-sing,"
,病就好矣。,pēnn tō hó --ah.
,醫生檢查幾若擺嘛捎無頭摠。,I-sing kiám-tsa kuí-nā pái mā sa bô thâu-tsáng.
,轉去到厝，,"Tńg-khì kàu tshù,"
,不時上班三、兩工就喝欲退休，,"put-sî siōng-pan sann, nn̄g kang tō huah beh thè-hiu,"
,同事攏嘛有家己的家庭愛顧，,"tông-sū lóng mā ū ka-kī ê ka-tîng ài kòo,"
,無才調一日到暗來共安搭。,bô tsâi-tiāu tsi̍t-ji̍t-kàu-àm lâi kā an-tah.
,彼陣in主管想著一个步數，,"Hit-tsūn in tsú-kuán siūnn-tio̍h tsi̍t ê pōo-sòo,"
,成立「考證照團隊」，,"sîng-li̍p “khó tsìng-tsiàu thuân-tuī”,"
,鼓勵逐家參加電腦證照考試，,"kóo-lē ta̍k-ke tsham-ka tiān-náu tsìng-tsiàu khó-tshì,"
,先爭取訓練所開#『word』#初級班。,sing tsing-tshú hùn-liān-sóo khui #‘word’# tshoo-kip pan.
,自按呢淑芬的生活開始有目標，,"Tsū-án-ne Siok-hun ê sing-ua̍h khai-sí ū bo̍k-piau,"
,下班了後一直練習考試題目，,"hā-pan liáu-āu it-ti̍t liān-si̍p khó-tshì tê-bo̍k,"
,就算歇睏日同事攏無來上班，,"tō sǹg hioh-khùn-ji̍t tông-sū lóng bô lâi siōng-pan,"
,伊家己一个人嘛足綿爛去辦公室繼續練習，,"i ka-kī tsi̍t ê lâng mā tsiok mî-nuā khì pān-kong-sik kè-sio̍k liān-si̍p,"
,考前一個月閣去報名參加#『word』#進階班。,khó tsîng tsi̍t kò gue̍h koh khì pò-miâ tsham-ka #‘word’# tsìn-kai pan.
,知影有過關彼工，,"Tsai-iánn ū kuè-kuan hit kang,"
,伊隨敲電話予in主管，,"i suî khà tiān-uē hōo in tsú-kuán,"
,那笑那哭講：「我考過矣！,ná tshiò ná  khàu kóng :“Guá khó --kuè --ah!
,我考過矣！」,Guá khó --kuè --ah!”
,淑芬共人講，,"Siok-hun kā lâng kóng,"
,伊規世人上蓋大的改變就是對提著人生頭一張證照彼年。,i kui-sì-lâng siōng-kài tuā ê kái-piàn tō sī uì the̍h-tio̍h jîn-sing thâu tsi̍t tiunn tsìng-tsiàu hit nî.
,會記得頭一擺勞委會丙級電腦技術士的考照，,"Ē-kì-tit thâu tsi̍t pái Lô-uí-huē piánn-kip tiān-náu ki-su̍t-sū ê khó tsiàu,"
