Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,對臺北到平溪駛車差不多點外鐘，,"Uì Tâi-pak kàu Pîng-khe sái-tshia tsha-put-to tiám-guā-tsing,"
,山路彎彎斡斡，,"suann-lōo uan-uan-uat-uat,"
,一爿是山、一爿是溪。,"tsi̍t pîng sī suann , tsi̍t pîng sī khe."
,春天的時陣，,"Tshun-thinn ê sî-tsūn,"
,兩爿的櫻花開甲滿滿是；,nn̄g-pîng ê ing-hue khui kah muá-muá-sī;
,熱天油桐花滿山遍野，,"jua̍h-thinn iû-tâng-hue muá-suann phiàn-iá,"
,一陣風吹來若像咧落雪咧。,tsi̍t tsūn hong tshue--lâi ná-tshiūnn teh lo̍h seh --leh.
,一簇一簇的紅毛杜鵑共山坪染甲五花十色，,"Tsi̍t tshok tsi̍t tshok ê âng-mn̂g tōo-kuan kā suann-phiânn ní kah gōo-hue-tsa̍p-sik,"
,實在誠迷人。,si̍t-tsāi tsiânn bê-lâng.
,平溪是一个誠媠的山城，,"Pîng-khe sī tsi̍t ê tsiânn suí ê suann-siânn,"
,遮的厝攏順溪仔邊的山坪起的，,"tsia-ê tshù lóng sūn khe-á-pinn ê suann-phiânn khí --ê,"
,庄裡的路細條閣懸懸低低，,"tsng--lí ê lōo sè tiâu koh kuân-kuân kē-kē,"
,有的所在誠狹，,"ū ê sóo-tsāi tsiânn e̍h,"
,無法度相閃車，,"bô-huat-tōo sio-siám-tshia,"
,所以駛車的時愛先看頭前有車來無？,sóo-í sái-tshia ê sî ài sing khuànn thâu-tsîng ū tshia lâi --bô?
,若無，,"Nā-bô,"
,佇彼號山路倒退攄，,"tī hit-lō suann-lōo tò-thè-lu,"
,毋是咧滾耍笑。,m̄ sī teh kún-sńg-tshiò.
,遐真少跤踏車，,"Hia tsin tsió kha-ta̍h-tshia,"
,出門若毋是怙行的，,"tshut-mn̂g nā m̄ sī kōo kiânn --ê,"
,就是騎『oo-tóo-bái』。,tō sī khiâ ‘oo-tóo-bái’.
,平常時仔有較稀微淡薄仔，,"Pîng-siông-sî-á ū khah hi-bî --tām-po̍h-á ,"
,因為少年的攏出外去拍拚，,"in-uī siàu-liân--ê lóng tshut-guā khì phah-piànn,"
,厝裡賰老人佮囡仔，,"tshù--lí tshun lāu-lâng kah gín-á,"
,所以講遮是一个老人囡仔庄。,sóo-í kóng tsia sī tsi̍t ê lāu-lâng gín-á tsng.
,你若坐火車去平溪，,"Lí nā tsē hué-tshia khì Pîng-khe,"
,菁桐坑是頭一站，,"Tshenn-tông-khenn sī thâu tsi̍t tsām,"
,這是炭空上濟的所在。,tse sī thuànn-khang siōng tsē ê sóo-tsāi.
,這馬猶會當參觀舊磅空、炭礦博物館，,"Tsit-má iáu ē-tàng tsham-kuan kū pōng-khang,thuànn-khòng phok-bu̍t-kuán,"
,會當了解當時炭工的生活，,"ē-tàng liáu-kái tong-sî thuànn-kang ê sing-ua̍h,"
,順紲參觀古早時代的老火車頭，,"sūn-suà tsham-kuan kóo-tsá sî-tāi ê lāu hué-tshia-thâu,"
,閣會當共你的願望寫好掛踮車頭邊，,"koh ē-tàng kā lí ê guān-bōng siá hó kuà tiàm tshia-thâu pinn,"
,向望後擺會當實現。,ǹg-bāng āu-pái ē-tàng si̍t-hiān.
,日本時代捌佇彼个所在挖塗炭。,Ji̍t-pún sî-tāi bat tī hit ê sóo-tsāi óo thôo-thuànn.
,台陽會社為著欲載塗炭造鐵枝路，,"Tâi-iông huē-siā uī-tio̍h beh tsài thôo-thuànn tsō thih-ki-lōo,"
,平溪就按呢鬧熱起來，,"Pîng-khe tsiū-án-ne lāu-jia̍t --khí-lâi,"
,所以平溪人共塗炭號做「烏金」。,sóo-í Pîng-khe-lâng kā thôo-thuànn hō-tsò “oo-kim”.
,風對樹林內吹來有野花的芳味，,"Hong uì tshiū-nâ lāi tshue--lâi ū iá-hue ê phang-bī,"
,山鳥tsi̍h tsiu̍h叫，,"suann-tsiáu tsi̍h tsiu̍h kiò,"
,草蜢仔的歌聲，,"tsháu-meh-á ê kua-siann,"
,遠遠的溪水聲，,"hn̄g-hn̄g ê khe-tsuí siann,"
,予人攏行袂開跤。,hōo lâng lóng kiânn-bē-khui-kha.
,若是拄著西北雨了後，,"Nā-sī tú-tio̍h sai-pak-hōo liáu-āu,"
,田頭khiaunnh佇田岸跤、,"tshân-thâu khiaunnh tī tshân-huānn-kha,"
,佇溪溝仔墘，,"tī khe-kau-á kînn,"
,khiaunnh、khiaunnh、khiaunnh的叫聲，,"khiaunnh, khiaunnh, khiaunnh ê kiò-siann,"
,若像咧叫你愛閣來喔！,ná-tshiūnn teh kiò lí ài koh lâi --ooh!
,熱天的暗暝，,"Jua̍h-thinn ê àm-mê,"
,滿天的天星閃爍，,"muá-thinn ê thinn-tshenn siám-sih,"
