Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,臺灣是一个海洋島嶼的國家，,"Tâi-uân sī tsi̍t ê hái-iûnn tó-sū ê kok-ka,"
,四箍輾轉攏是海。,sì-khoo-liàn-tńg lóng sī hái.
,基隆徛佇臺灣頭，,"Ke-lâng khiā tī Tâi-uân thâu,"
,一个天然的港口，,"tsi̍t ê thian-jiân ê káng-kháu,"
,三面山一面海的地勢，,"sann bīn suann tsi̍t bīn hái ê tē-sè,"
,一个有山有海的山海城市。,tsi̍t ê ū suann ū hái ê suann-hái siânn-tshī.
,這个山海城市數百年來幾若擺的戰爭，,"Tsit ê suann-hái siânn-tshī sòo pah nî lâi kuí-nā pái ê tsiàn-tsing,"
,差一屑仔就予人踏做平地。,tsha tsi̍t-sut-á tō hōo lâng ta̍h-tsò pênn-tē.
,佳哉！,Ka-tsài!
,人講：「拍斷手骨，顛倒勇。」,"Lâng kóng: “Phah-tn̄g tshiú-kut, tian-tò ióng.”"
,先民勇敢的精神，,"Sian-bîn ióng-kám ê tsing-sîn,"
,喙齒根咬牢咧，,"tshuì-khí-kin kā-tiâu --leh,"
,無予in拍倒去。,bô hōo in phah-tó --khì.
,一擺閣一擺徛起來，,"Tsi̍t pái koh tsi̍t pái khiā --khí-lâi,"
,重新建立家園。,tiông-sin kiàn-li̍p ka-hn̂g.
,一粒一粒青ling-ling的山，,"Tsi̍t lia̍p tsi̍t lia̍p tshenn-ling-ling ê suann,"
,猶原徛騰騰佇遐，,"iu-guân khiā-thîng-thîng tshāi tī hia,"
,予人做岫閣開枝散葉，,"hōo lâng tsò siū koh khui ki suànn hio̍h,"
,代代生湠。,tāi-tāi senn-thuànn.
,海水流過來閣流過去，,"Hái-tsuí lâu --kuè-lâi koh lâu --kuè-khì,"
,溢過來閣溢過去，,"ik --kuè-lâi koh ik --kuè-khì,"
,港口的船隻嘛仝款出出入入，,"káng-kháu ê tsûn-tsiah mā kāng-khuán tshut-tshut-ji̍p-ji̍p,"
,替這个山海城市創造濟濟的商機。,thè tsit ê suann-hái siânn-tshī tshòng-tsō tsē-tsē ê siong-ki.
,俗語講：「靠山食山，,"Sio̍k-gí kóng: “Khò suann tsia̍h suann,"
,靠海食海。」,khò hái tsia̍h hái.”
,基隆人真少靠山咧種作來生活，,"Ke-lâng-lâng tsin tsió khò suann teh tsìng-tsoh lâi sing-ua̍h,"
,三面山反倒轉是基隆交通無法度發展上大的阻礙。,sann bīn suann huán-tò-tńg sī Ke-lâng kau-thong bô-huat-tōo huat-tián siōng tuā ê tsóo-gāi.
,一面海晟養濟濟的基隆人佇遮拍拚，,"Tsi̍t bīn hái tshiânn-ióng tsē-tsē ê Ke-lâng-lâng tī tsia phah-piànn,"
,有一半較加攏是靠碼頭港口佇咧趁食。,ū tsi̍t-puànn khah ke lóng sī khò bé-thâu káng-kháu tī-leh thàn-tsia̍h.
,遮的行業有船員、報關人員、,"Tsia ê hâng-gia̍p ū tsûn-uân, pò-kuan jîn-uân,"
,碼頭苦力、運輸業者等等。,"bé-thâu ku-lí, ūn-su gia̍p-tsiá tíng-tíng."
,因為in日常生活的需要，,"In-uī in ji̍t-siông sing-ua̍h ê su-iàu,"
,閣帶來食、穿、行、蹛相關行業的發展。,"koh tuà-lâi tsia̍h, tshīng, kiânn, tuà siong-kuan hâng-gia̍p ê huat-tián."
,遮的各行各業佮這个山海城市的關係，,"Tsia-ê kok-hâng-kok-gia̍p kah tsit ê suann-hái siânn-tshī ê kuan-hē,"
,就像咱人的皮牢肉、肉牢皮仝款，,"tō tshiūnn lán lâng ê phuê tiâu bah, bah tiâu phuê kāng-khuán,"
,這个關係是削袂甪的。,tsit ê kuan-hē sī siah bē lut--ê.
,「海水會當養飼萬物」，,"“Hái-tsuí ē-tàng ióng-tshī bān-bu̍t”,"
,有海水咧流的所在就袂餓死。,ū hái-tsuí teh lâu ê sóo-tsāi tō bē gō--sí.
,佇遮除了靠碼頭港口趁食，,"Tī tsia tû-liáu khò bé-thâu káng-kháu thàn-tsia̍h,"
,討海是上原始的趁食行業。,thó-hái sī siōng guân-sí ê thàn-tsia̍h hâng-gia̍p.
,像講八斗仔漁村，,"Tshiūnn kóng Pat-táu-á hî-tshun,"
,當地的人攏是靠掠魚維持生活的討海人。,tong-tē ê lâng lóng sī khò lia̍h hî î-tshî sing-ua̍h ê thó-hái-lâng.
,海洋豐富的資源，,"Hái-iûnn hong-hù ê tsu-guân,"
,對遮的討海人來講就像掘袂盡的寶藏仝款。,tuì tsia-ê thó-hái-lâng lâi kóng tō tshiūnn ku̍t bē tsīn ê pó-tsōng kāng-khuán.
,這陣人就是靠闊莽莽的大海佇咧生活。,Tsit tīn lâng tō sī khò khuah-bóng-bóng ê tuā-hái tī-leh sing-ua̍h.
,山海城市上媠的是一爿靠山，,"Suann-hái siânn-tshī siōng suí--ê sī tsi̍t pîng khò suann,"
,一爿倚海的山海景緻。,tsi̍t pîng uá hái ê suann-hái kíng-tì.
,一家伙仔抑是三、五个仔親朋戚友，,"Tsi̍t-ke-hué-á ia̍h-sī sann, gōo-ê-á tshin-pîng-tshik-iú,"
,紮一寡點心，,"tsah tsi̍t-kuá tiám-sim,"
,泡一鈷仔茶米茶，,"phàu tsi̍t kóo á tê-bí-tê,"
,抑是苦te̍h-te̍h歹落喉閣干干仔愛啉的咖啡，,"ia̍h-sī khóo-te̍h-te̍h pháinn lo̍h-âu koh kan-kan-á ài lim ê ka-pi,"
,坐佇涼亭仔來哈兩杯仔，,"tsē tī liâng-tîng-á lâi ha --nn̄g-pue-á,"
,會使講是人生上大的享受。,ē-sái kóng sī jîn-sing siōng tuā ê hiáng-siū.
,佇遐毋管你是牛聲馬喉，,"Tī hia m̄-kuán lí sī gû-siann-bé-âu,"
,抑是破銅管仔聲，,"ia̍h-sī phuà tâng-kóng-á siann,"
,嘛無人會嫌你噪耳，,"mā bô lâng ē hiâm lí tshò-hīnn,"
,無人會報警察來取締。,bô lâng ē pò kíng-tshat lâi tshú-tè.
,看海湧起起落落，,"Khuànn hái-íng khí-khí-lo̍h-lo̍h,"
