Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,阮小弟阿祥是屘仔囝，,"Guán sió-tī A-siông sī ban-á-kiánn,"
,出世彼陣，,"tshut-sì hit tsūn,"
,厝裡已經幾若冬無生細漢囡仔。,tshù--lí í-king kuí-nā tang bô senn sè-hàn gín-á.
,看伊會笑、會哭，,"Khuànn i ē tshiò, ē khàu,"
,身軀洗了閣芳kòng-kòng，,"sin-khu sé liáu koh phang-kòng-kòng,"
,反來反去真健丟。,píng lâi píng khì tsin kiān-tiu.
,一个尪仔面遐古錐，,"Tsi̍t ê ang-á-bīn hiah kóo-tsui,"
,規厝間攏誠歡喜，,"kui tshù-king lóng tsiânn huann-hí,"
,獨獨煩惱的是基層公務人員阿爸伊。,to̍k-to̍k huân-ló --ê sī ki-tsân kong-bū-jîn-uân a-pah i.
,厝內頭喙遮大堆，,"Tshù-lāi thâu-tshuì tsiah tuā tui,"
,一肩擔雞雙頭啼。,tsi̍t king tann ke siang thâu thî.
,彼幾冬阿爸誠巴結，,"Hit kuí tang a-pah tsiânn pa-kiat,"
,寫文章投稿領寡稿費，,"siá bûn-tsiong tâu-kó niá kuá kó-huì,"
,參加國術、演講、論文各種比賽拚獎金。,"tsham-ka kok-su̍t, ián-káng, lūn-bûn kok-tsióng pí-sài piànn tsióng-kim."
,阿爸定定講：「骨力食粟，,"A-pah tiānn-tiānn kóng: “Kut-la̍t tsia̍h tshik,"
,貧惰吞瀾。」,pîn-tuānn thun nuā.”
,同事嘛知影阿爸擔頭重，,"Tông-sū mā tsai-iánn a-pah tànn-thâu tāng,"
,若無愛做的暗班就讓伊代班，,"nā bô ài tsò ê àm-pan tō niū i tāi-pān,"
,予伊加趁寡錢來相添。,hōo i ke thàn kuá tsînn lâi sio-thinn.
,阿母一工到暗買菜、煮飯、車衫、,"A-bú tsi̍t kang kàu àm bé tshài, tsú pn̄g, tshia sann,"
,洗衫、曝衫、收衫，,"sé sann, pha̍k sann, siu sann,"
,無閒甲若親像干樂玲瑯踅。,bô-îng kah ná-tshin-tshiūnn kan-lo̍k lin-long-se̍h.
,小弟自細漢就真認命嘛足拍拚，,"Sió-tī tsū sè-hàn tō tsin jīn-miā mā tsiok phah-piànn,"
,臺北工專土木科出業，,"Tâi-pak Kang-tsuan thóo-bo̍k-kho tshut-gia̍p,"
,順利考入捷運局。,sūn-lī khó-ji̍p Tsia̍t-ūn-kio̍k.
,結婚了後連紲生兩个查某囝，,"Kiat-hun liáu-āu liân-suà senn nn̄g ê tsa-bóo-kiánn,"
,尾仔徙去臺北蹛，,"bué-á suá khì Tâi-pak tuà,"
,賰過年過節才會轉來。,tshun kuè-nî kuè-tseh tsiah ē tńg--lâi.
,伊不時唸講：「死薪水飼囝真艱苦，,"I put-sî liām kóng: “Sí sin-suí tshī kiánn tsin kan-khóo,"
,愛揣寡外路仔來轉踅，,"ài tshuē kuá guā-lōo-á lâi tńg-se̍h,"
,所費就會當較冗剩。,sóo-huì tō ē-tàng khah liōng-siōng.
,誠想欲加趁寡錢，,"Tsiânn siūnn-beh ke thàn kuá tsînn,"
,予爸母和某囝的生活會當較快活。」,hōo pē-bú hām bóo-kiánn ê sing-ua̍h ē-tàng khah khuìnn-ua̍h.”
,就按呢，,"Tsiū-án-ne,"
,無講無呾，,"bô-kóng-bô-tànn,"
,並無參厝裡參詳，,"pīng bô tsham tshù--lí tsham-siông,"
,大主大意就辭掉穩定的頭路。,tuā-tsú-tuā-ì tō sî-tiāu ún-tīng ê thâu-lōo.
,阿祥想講事業若是比人較頂真、較拍拚，,"A-siông siūnn-kóng sū-gia̍p nā-sī pí lâng khah tíng-tsin, khah phah-piànn,"
,早慢就會出頭天，,"tsá-bān tō ē tshut-thâu-thinn,"
,嘛趁會著錢。,mā thàn ē tio̍h tsînn.
,看講目前食頭路的人真濟，,"Khuànn kóng bo̍k-tsiân tsia̍h-thâu-lōo ê lâng tsin tsē,"
,厝內無煮食，,"tshù-lāi bô tsú-tsia̍h,"
,食外口的人愈來愈濟，,"tsia̍h guā-kháu ê lâng jú lâi jú tsē,"
,就按呢去考勞委會丙級廚師證照，,"tsiū-án-ne khì khó Lô-uí-huē piánn kip tû-su tsìng-tsiàu,"
,開始賣早頓，,"khai-sí bē tsá-tǹg,"
,像講豆奶、米奶、包仔、飯丸。,"tshiūnn kóng tāu-ling, bí-ling, pau-á, pn̄g-uân."
,翁仔某仝心做生理，,"Ang-á-bóo kāng sim tsò-sing-lí,"
,大碗閣滿墘，,"tuā uánn koh buán kînn,"
,利純無懸毋過人氣好，,"lī-sûn bô kuân m̄-koh jîn-khì hó,"
,做無一冬就有趁錢，,"tsò bô tsi̍t tang tō ū thàn-tsînn,"
,分店嘛加開兩間。,hun-tiàm mā ke khui nn̄g king.
,伊嘛兼做敆作佮裝潢，,"I mā kiam tsò kap-tsoh kah tsong-hông,"
,穡頭愈允愈齊勻。,sit-thâu jú ín jú tsiâu-ûn.
,阿祥有善良的心，,"A-siông ū siān-liông ê sim,"
,不時幫贊艱苦人，,"put-sî pang-tsān kan-khóo-lâng,"
,愛交朋友閣講義氣。,ài kau pîng-iú koh kóng gī-khì.
,人緣好，,"Lâng-iân hó,"
,嘛來做到商圈發展協進會會長，,"mā lâi tsò kàu Siong-khuan huat-tián hia̍p-tsìn-huē huē-tiúnn,"
,事業愈做愈大，,"sū-gia̍p jú tsò jú tuā,"
,顛倒變甲誠罕得轉來看爸母。,tian-tò piàn kah tsiânn hán-tit tńg--lâi khuànn pē-bú.
,一个人無暝無日舞袂煞，,"Tsi̍t ê lâng bô-mê-bô-ji̍t bú bē suah,"
,本成身體勇甲若牛，,"pún-tsiânn sin-thé ióng kah ná gû,"
,哪知日操暝拚咧拖磨，,"ná tsai ji̍t tshau mê piànn teh thua-buâ,"
,一晃十外冬身體煞袂堪得。,tsi̍t huánn tsa̍p-guā tang sin-thé suah bē-kham--tit.
,等到知影各樣矣，,"Tán kàu tsai-iánn koh-iūnn --ah,"
,緊去蹛院、檢查、治療兼打揲，,"kín khì tuà-īnn, kiám-tsa, tī-liâu kiam tánn-tia̍p,"
,前後都無半年，,"tsîng-āu to bô puànn nî,"
,人生旅途就煞鼓。,jîn-sing lí-tôo tō suah-kóo.
,拍拚為家庭付出的小弟一生，,"Phah-piànn uī ka-tîng hù-tshut ê sió-tī it-sing,"
,是阮心內上毋甘閣上數念的心悶，,"sī guán sim-lāi siōng m̄-kam koh siōng siàu-liām ê sim-būn,"
,伊用性命共阮提醒「趁錢有數，,"i iōng sènn-miā kā guán thê-tshénn “Thàn-tsînn iú sòo,"
,性命愛顧」的意義。,sènn-miā ài kòo” ê ì-gī.
