Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,若提起金湖，,"Nā thê-khí Kim-ôo,"
,事先無講予清楚，,"sū-sian bô kóng hōo tshing-tshó,"
,相信真濟人攏會共伊當做是金門的金湖鎮，,"siong-sìn tsin tsē lâng lóng ē kā i tòng-tsò sī Kim-mn̂g ê Kim-ôo-tìn,"
,其實這个庄頭算是雲林縣口湖鄉，,"Kî-si̍t tsit ê tsng-thâu sǹg sī Hûn-lîm-kuān Kháu-ôo-hiong,"
,外海就是臺灣海峽。,guā-hái tō sī Tâi-uân Hái-kiap.
,早期來往的船隻，,"Tsá-kî lâi-óng ê tsûn-tsiah,"
,定定共出海掠轉來的漁貨踮遮做買賣，,"tiānn-tiānn kā tshut-hái lia̍h tńg--lâi ê hî-huè tiàm tsia tsò bé-bē,"
,所以出入的人較濟，,"sóo-í tshut-ji̍p ê lâng khah tsē,"
,就共遮叫做海口新港。,tō kā tsia kiò-tsò hái-kháu sin-káng.
,原本這个所在是以種作為主，,"Guân-pún tsit ê sóo-tsāi sī í tsìng-tsoh uî-tsú,"
,大部份的百姓過的攏是純樸的田庄生活。,tuā-pōo-hūn ê peh-sènn kuè --ê lóng sī sûn-phok ê tshân-tsng sing-ua̍h.
,因為倚海的關係，,"In-uī uá hái ê kuan-hē,"
,土地的鹽分有較懸，,"thóo-tē ê iâm-hun ū khah kuân,"
,收成自然就較䆀，,"siu-sîng tsū-jiân tō khah bái,"
,經濟上加真艱苦。,king-tsè siōng ke tsin kan-khóo.
,為著生活，,"Uī-tio̍h sing-ua̍h,"
,民國六十年間開始沓沓仔共田地挖來做魚塭仔，,"bîn-kok la̍k-tsa̍p nî kan khai-sí ta̍uh-ta̍uh-á kā tshân-tē óo lâi tsò hî-ùn-á,"
,用來飼虱目魚、蝦、鰻、蚶仔、烏魚等等，,"iōng-lâi tshī sat-ba̍k-hî, hê, muâ, ham-á, oo-hî tíng-tíng,"
,嘛創造當地的經濟奇蹟，,"mā tshòng-tsō tong-tē ê king-tsè kî-tsik,"
,會使講家家戶戶攏足富裕的。,ē-sái kóng ke-ke-hōo-hōo lóng tsiok hù-jū --ê.
,毋過，,"M̄-koh,"
,世間事常在無兩好通相排，,"sè-kan-sū tshiâng-tsāi bô nn̄g hó thang sio-pâi,"
,尾仔煞發覺塗跤愈來愈低，,"bué--á suah huat-kak thôo-kha jú lâi jú kē,"
,這就是地下水抽了傷過頭的關係。,tse tō sī tē-hā-tsuí thiu-liáu siunn kuè-thâu ê kuan-hē.
,欲改善這種「地層下陷」所面對的問題，,"Beh kái-siān tsit tsióng “tē-tsân hā-hām” sóo bīn-tuì ê būn-tê,"
,是政府佮所有鄉民愛共同解決的。,sī tsìng-hú kah sóo-ū hiong-bîn ài kiōng-tông kái-kuat --ê.
,自六輕來麥寮設廠了後，,"Tsū la̍k-khin lâi Be̍h-liâu siat-tshiúnn liáu-āu,"
,雖然有帶動附近各庄頭的繁榮，,"sui-jiân ū tài-tōng hù-kīn kok tsng-thâu ê huân-îng,"
,毋過所帶來的空氣汙染佮水質惡化的影響，,"m̄-koh sóo tuà lâi ê khong-khì u-jiám kah tsuí-tsit ok-huà ê íng-hióng,"
,害養殖業的利純就變較差矣。,hāi ióng-si̍t-gia̍p ê lī-sûn tō piàn khah tsha --ah.
,長久以來，,"Tn̂g-kú í-lâi,"
,身體上各種奇奇怪怪的症頭也出現囉，,"sin-thé siōng kok-tsióng kî-kî-kuài-kuài ê tsìng-thâu iā tshut-hiān --looh,"
,致使庄裡的少年輩姑不而將去他鄉外里發展。,tì-sú tsng--lí ê siàu-liân-puè koo-put-jî-tsiong khì thann-hiong guā-lí huat-tián.
,所以這馬庄內看會著的，,"Sóo-í tsit-má tsng-lāi khuànn ē tio̍h --ê,"
,差不多攏是老歲仔佮送轉來予序大人照顧的囡仔。,tsha-put-to lóng sī lāu-huè-á kah sàng tńg-lâi hōo sī-tuā-lâng tsiàu-kòo ê gín-á.
,日頭若暗落來就袂輸是一座空城仝款，,"Ji̍t-thâu nā àm --lo̍h-lâi tō bē-su sī tsi̍t tsō khang-siânn kāng-khuán,"
,佮以前的奢颺比起來予人真感慨。,kah í-tsîng ê tshia-iānn pí --khí-lâi hōo lâng tsin kám-khài.
,因為文創活動的推展，,"In-uī bûn-tshòng ua̍h-tāng ê thui-tián,"
,金湖的牽水藏#(車藏)#，,"Kim-ôo ê Khan-tsuí-tsn̄g #(車藏)#,"
,成做縣府推動文化祭的特色，,"tsiânn-tsò kuān-hú thui-tōng bûn-huà-tsè ê ti̍k-sik,"
,這幾年攏有吸引真濟熱愛本土文化的人士來參與。,tsit kuí nî lóng ū khip-ín tsin tsē jia̍t-ài pún-thóo bûn-huà ê jîn-sū lâi tsham-ú.
,配合隔壁庄「成龍溼地」的生態保育佮養殖業所推動的產銷參觀活動，,"Phuè-ha̍p keh-piah tsng “Sîng-liông sip-tē” ê sing-thài pó-io̍k kah ióng-si̍t-gia̍p sóo thui-tōng ê sán-siau tsham-kuan ua̍h-tāng,"
,加減攏有帶動金湖當地的繁榮。,ke-kiám lóng ū tài-tōng Kim-ôo tong-tē ê huân-îng.
,問題是這若「瓊花無一暝」仝款，,"Būn-tê sī tse ná “khîng-hue bô tsi̍t mê” kāng-khuán,"
