Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,自細漢，,"Tsū sè-hàn,"
,我就足愛食阿母煮的苦瓜封。,guá tō tsiok ài tsia̍h a-bú tsú ê khóo-kue-hong.
,阿母若廚師的手藝通人呵咾，,"A-bú ná tû-su ê tshiú-gē thong lâng o-ló,"
,苦瓜封若上桌，,"khóo-kue-hong nā tsiūnn-toh,"
,連鞭就鍋仔見底，,"liâm-mi tō ue-á kìnn té,"
,跤手慢鈍的就搶無份矣！,kha-tshiú bān-tūn --ê tō tshiúnn bô hūn --ah!
,苦瓜封是阿母的手路菜，,"Khóo-kue-hong sī a-bú ê tshiú-lōo-tshài,"
,嘛是阮全家上愛食的料理。,mā sī guán tsuân-ke siōng ài tsia̍h ê liāu-lí.
,這馬，,"Tsit-má,"
,阿母已經離開阮去天國矣，,"a-bú í-king lī-khui guán khì thian-kok --ah,"
,數念伊的時陣，,"siàu-liām i ê sî-tsūn,"
,我就會去灶跤，,"guá tō ē khì tsàu-kha,"
,綴阿母的步數，,"tuè a-bú ê pōo-sòo,"
,煮一鍋苦瓜封來食。,tsú tsi̍t ue khóo-kue-hong lâi tsia̍h.
,食落喉的苦瓜封，,"Tsia̍h lo̍h âu ê khóo-kue-hong,"
,每一喙攏有阿母甘甘甜甜的愛。,muí tsi̍t tshuì lóng ū a-bú kam-kam-tinn-tinn ê ài.
,阮囝若食著苦瓜封，,"Guán kiánn nā tsia̍h-tio̍h khóo-kue-hong,"
,in就知影阿母咧想外媽矣！,in tō tsai-iánn a-bú teh siūnn guā-má --ah!
,好佳哉，,"Hó-ka-tsài,"
,我做囡仔的時，,"guá tsò gín-á ê sî,"
,有共阿母的功夫學過手。,ū kā a-bú ê kang-hu o̍h kuè tshiú.
,阿母講：「查某囡仔以後嫁人愛扞家，,"A-bú kóng: “Tsa-bóo gín-á í-āu kè--lâng ài huānn-ke,"
,功夫學上手，,"kang-hu o̍h tsiūnn-tshiú,"
,就一世人用會著。」,tō tsi̍t-sì-lâng iōng ē tio̍h.”
,伊教我先共香菇絲佮薑絲剁予幼幼，,"I kà guá sing kā hiunn-koo-si kah kiunn-si tok hōo iù-iù,"
,紲落去佮魚漿、絞肉、蝦米、蔥仔珠和香油摻做伙，,"suà --lo̍h-khì kah hî-tsiunn, ká-bah, hê-bí, tshang-á-tsu hām hiang-iû tsham tsò-hué,"
,才閣施展五爪功共遮的材料搜予齊勻。,tsiah koh si-tián ngóo-jiáu-kong kā tsia-ê tsâi-liāu tshiau hōo tsiâu-ûn.
,上煞尾共櫼入去苦瓜中箍，,"Siōng suah-bué kā tsinn --ji̍p-khì khóo-kue tiong-khoo,"
,鍋仔內底囥水用文文仔火煨半點鐘。,ue-á lāi-té khǹg tsuí iōng bûn-bûn-á hué ue puànn tiám-tsing.
,燒喔！,Sio --ooh!
,苦瓜封來囉！,Khóo-kue-hong lâi --looh!
,是啦！,Sī --lah!
,苦瓜封，,"Khóo-kue-hong,"
,毋但封牢阮對爸母的感恩佮數念，,"m̄-nā hong-tiâu guán tuì pē-bú ê kám-un kah siàu-liām,"
,嘛封存阮人生「食苦就是食補」的奮鬥意志。,mā hong-tsûn guán jîn-sing “Tsia̍h khóo tō sī tsia̍h póo” ê hùn-tàu ì-tsì.
,幾十年來，,"Kuí tsa̍p nî lâi,"
,一直鼓舞家己愛有「先苦而後甘」的精神！,it-ti̍t kóo-bú ka-kī ài ū “sing khóo jî hiō kam” ê tsing-sîn!
,這馬的囡仔無愛食苦瓜封，,"Tsit-má ê gín-á bô ài tsia̍h khóo-kue-hong,"
,毋過阮佇夢中較想嘛是伊。,m̄-koh guán tī bāng-tiong khah siūnn mā sī i.
,佇四、五十年代，,"Tī sì, gōo-tsa̍p nî-tāi,"
,物資欠缺的環境，,"bu̍t-tsu khiàm-khueh ê khuân-kíng,"
,阮爸母逐工攏愛操煩七个囡仔的三頓。,guán pē-bú ta̍k kang lóng ài tshau-huân tshit ê gín-á ê sann tǹg.
,逐日天一下光，,"Ta̍k ji̍t thinn tsi̍t-ē kng,"
,就喙仔開開等欲食，,"tō tshuì-á khui-khui tán beh tsia̍h,"
