Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,早前電視無親像這陣遮普遍，,"Tsá-tsîng tiān-sī bô tshin-tshiūnn tsit-tsūn tsiah phóo-phiàn,"
,尤其庄跤人較散赤，,"iû-kî tsng-kha lâng khah sàn-tshiah,"
,買會起電視的無幾口灶。,bé ē khí tiān-sī--ê bô kuí kháu-tsàu.
,聽講阮草地的第一台電視就是阿母的嫁粧，,"Thiann-kóng guán tsháu-tē ê tē-it tâi tiān-sī tō sī a-bú ê kè-tsng,"
,逐遍厝裡若開電視，,"ta̍k piàn tshù--lí nā khui tiān-sī,"
,阮兜的客廳佮厝埕攏會𤲍誠濟人，,"guán tau ê kheh-thiann kah tshù-tiânn lóng ē kheh tsiânn tsē lâng,"
,袂輸咧搬大戲仝款。,bē-su teh puann tuā-hì kāng-khuán.
,電視雖然好看，,"Tiān-sī sui-jiân hó-khuànn,"
,猶毋過阮阿媽因為目睭青盲，,"iáu-m̄-koh guán a-má in-uī ba̍k-tsiu tshenn-mê,"
,佇伊的枴仔邊永遠結一台細台的『la-jí-ooh』，,"tī i ê kuái-á-pinn íng-uán kiat tsi̍t tâi sè tâi ê ‘la-jí-ooh’,"
,阿媽講這才是伊上好的伴。,a-má kóng tse tsiah sī i siōng hó ê phuānn.
,阮阿媽上愛聽廣播劇，,"Guán a-má siōng ài thiann kóng-pòo-kio̍k,"
,尤其是「臺灣民間故事」，,"iû-kî sī “Tâi-uân bîn-kan kòo-sū”,"
,每一暗，,"muí tsi̍t àm,"
,阮一陣囡仔攏會覕佇棉襀被內底，,"guán tsi̍t tīn gín-á lóng ē bih tī mî-tsioh-phuē lāi-té,"
,綴阿媽做伙聽「林投姊仔」，,"tuè a-má tsò-hué thiann “Nâ-tâu-tsí--á”,"
,阮囡仔人又閣驚又閣愛聽。,guán gín-á-lâng iū-koh kiann iū-koh ài thiann.
,故事定定會佇上緊張、,"Kòo-sū tiānn-tiānn ē tī siōng kín-tiunn,"
,上刺激的時陣，,"siōng tshì-kik ê sî-tsūn,"
