Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,細漢的時，,"Sè-hàn ê sî,"
,定定聽大人咧講：「送你去海口食番薯。」,tiānn-tiānn thiann tuā-lâng teh kóng: “Sàng lí khì hái-kháu tsia̍h han-tsî.”
,雖然彼當時無真了解這句話的意思是啥物？,Sui-jiân hit tong-sî bô tsin liáu-kái tsit kù uē ê ì-sù sī siánn-mih?
,毋過，,"M̄-koh,"
,攏是會感覺彼就是一種警告。,lóng sī ē kám-kak he tō sī tsi̍t tsióng kíng-kò.
,時代進步，,"Sî-tāi tsìn-pōo,"
,環境嘛綴咧改變。,khuân-kíng mā tuè teh kái-piàn.
,較早講番薯是生活較艱苦的人咧食的，,"Khah-tsá kóng han-tsî sī sing-ua̍h khah kan-khóo ê lâng teh tsia̍h--ê,"
,這馬煞成做是經濟富裕的人，,"tsit-má suah tsiânn-tsò sī king-tsè hù-jū ê lâng,"
,養生保健的食食。,ióng-sing pó-kiān ê tsia̍h-si̍t.
,這就可比是騎跤踏車，,"Tse tō khó-pí sī khiâ kha-ta̍h-tshia,"
,早前是一般人出入的交通工具，,"tsá-tsîng sī it-puann lâng tshut-ji̍p ê kau-thong kang-khū,"
,這陣煞變做是休閒運動的器材。,tsit-tsūn suah piàn-tsò sī hiu-hân ūn-tōng ê khì-tsâi.
,這種轉變敢會是天公伯仔咧共咱啟示，,"Tsit tsióng tsuán-piàn kám ē sī thinn-kong-peh-á teh kā lán khé-sī,"
,愛來注重咱四周圍的生活環境。,ài lâi tsù-tiōng lán sì-tsiu-uî ê sing-ua̍h khuân-kíng.
,若講著番薯，,"Nā kóng-tio̍h han-tsî,"
,彼袂輸是阿媽的心肝仔寶貝仝款。,he bē-su sī a-má ê sim-kuann-á pó-puè kāng-khuán.
,阮逐工的食飯桌頂，,"Guán ta̍k kang ê tsia̍h-pn̄g-toh-tíng,"
,攏會看著一盤番薯排佇遐。,lóng ē khuànn-tio̍h tsi̍t puânn han-tsî pâi tī hia.
,雖然阿母煮番薯的方式攏有咧換款，,"Sui-jiân a-bú tsú han-tsî ê hong-sik lóng ū teh uānn khuán,"
,食起來嘛感覺真好食。,tsia̍h --khí-lâi mā kám-kak tsin hó-tsia̍h.
