Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,「祝你生日快樂。」,“Tsiok lí senn-ji̍t khuài-lo̍k.”
,第一擺做生日，,"Tē-it pái tsò-senn-ji̍t,"
,是阮大家規家伙仔替我做的。,sī guán ta-ke kui-ke-hué-á thè guá tsò--ê.
,阮老母真早就過身，,"Guán lāu-bú tsin tsá tō kuè-sin,"
,大家對我遮爾疼惜，,"ta-ke tuì guá tsiah-nī thiànn-sioh,"
,予我非常感動。,hōo guá hui-siông kám-tōng.
,我想欲共大家講：,Guá siūnn beh kā ta-ke kóng:
,「我欲共你當做我的阿母來有孝。」,“Guá beh kā lí tòng-tsò guá ê a-bú lâi iú-hàu.”
,「這領衫予你穿。」,“Tsit niá sann hōo lí tshīng.”
,拄結婚無幾工，,"Tú kiat-hun bô kuí kang,"
,下班轉來，,"hā-pan tńg--lâi,"
,你講：「花愛紅，,"lí kóng: “Hue ài âng,"
,人愛妝。,lâng ài tsng.
,做新娘愛穿較紅咧。」,Tsò sin-niû ài tshīng khah âng --leh.”
,閣講這領衫真媠，,"koh kóng tsit niá sann tsin suí,"
,有合我穿，,"ū ha̍h guá tshīng,"
,叫我緊穿看覓。,kiò guá kín tshīng khuànn-māi.
,結婚第二個月，,"Kiat-hun tē-jī kò gue̍h,"
,我就有身。,guá tō ū-sin.
,你足歡喜講這是你頭一个孫，,"Lí tsiok huann-hí kóng tse sī lí thâu tsi̍t ê sun,"
,就提幾若千箍，,"tō the̍h kuí-nā tshing khoo,"
,請大嫂陪我去買幾領仔大腹肚衫。,tshiánn tuā-só puê guá khì bé kuí-niá-á tuā-pak-tóo sann.
,閣交代佮意就好，,"Koh kau-tāi kah-ì tō hó,"
,毋免儉。,m̄-bián khiām.
,有身當中，,"Ū-sin tang-tiong,"
,你若聽人講定定食啥、啉啥，,"lí nā thiann lâng kóng tiānn-tiānn tsia̍h siánn, lim siánn,"
,對母身、對囡仔較好，,"tuì bú-sin, tuì gín-á khah hó,"
,你就會緊去買、緊去攢，,"lí tō ē kín khì bé, kín khì tshuân,"
,叫我愛加食寡、加啉寡，,"kiò guá ài ke tsia̍h --kuá, ke lim --kuá,"
,攏袂驚麻煩。,lóng bē kiann mâ-huân.
,第一胎雖然是查某囡仔，,"Tē-it the sui-jiân sī tsa-bóo gín-á,"
,毋過你頭一擺做阿媽，,"m̄-koh lí thâu tsi̍t pái tsò a-má,"
,嘛是足歡喜、足歡喜的。,"mā sī tsiok huann-hí, tsiok huann-hí--ê."
,逐工攢麻油雞、腰子共我補。,"Ta̍k kang tshuân muâ-iû-ke, io-tsí kā guá póo."
,無奶水，,"Bô ling-tsuí,"
,你就緊去問，,"lí tō kín khì mn̄g,"
,看愛食啥物才會有奶水？,khuànn ài tsia̍h siánn-mih tsiah ē ū ling-tsuí?
,豬跤𤉙塗豆、麻油煮蚵仔，,"Ti-kha kûn thôo-tāu, muâ-iû tsú ô-á,"
,人若報，,"lâng nā pò,"
,你就攢。,lí tō tshuân.
,除了三頓，,"Tû-liáu sann tǹg,"
,猶有點心。,iáu-ū tiám-sim.
,你嘛會問我較愛食啥，,"Lí mā ē mn̄g guá khah ài tsia̍h siánn,"
,你來煮。,lí lâi tsú.
,做月內的時，,"Tsò-gue̍h-lāi ê sî,"
,毋管是洗手抑是拭身軀用的水，,"M̄-kuán sī sé tshiú ia̍h-sī tshit sin-khu īng ê tsuí,"
,你攏堅持毋予我沐一滴生水，,"lí lóng kian-tshî m̄ hōo guá bak tsi̍t tih tshenn-tsuí,"
,水一定愛燃滾過才予我洗。,tsuí it-tīng ài hiânn-kún --kuè tsiah hōo guá sé.
,除了照顧我做月內，,"Tû-liáu tsiàu-kòo guá tsò-gue̍h-lāi,"
,三胎三个孫，,"sann the sann ê sun,"
,月內攏是你共in洗身軀。,gue̍h-lāi lóng sī lí kā in sé-sin-khu.
