Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,救人啊！,Kiù-lâng --ah!
,有怪物喔！,Ū kuài-bu̍t --ooh!
,有怪物喔！,Ū kuài-bu̍t --ooh!
,救人喔！,Kiù-lâng --ooh!
,較細膩的！,Khah sè-jī--ê!
,啊！啊！,Ah! Ah!
,你騙我，你騙我，弘毅啊！,"Lí phiàn guá, lí phiàn guá, Hông-ik --ah!"
,你予我騙去矣！予我騙去矣！,Lí hōo guá phiàn--khì --ah! Hōo guá phiàn--khì --ah!
,你莫走，弘毅啊！,"Lí mài tsáu, Hông-ik --ah!"
,較過來淡薄仔的，倒爿。,"Khah kuè--lâi tām-po̍h-á--ê, tò-pîng."
,好啦！,Hó --lah.
,林老爺又閣會鋪橋造路矣，,"Lîm lāu-iâ iū-koh ē phoo kiô tsō lōo --ah,"
,毋就留機會予阮。,m̄ tō lâu ki-huē hōo --gún.
,無啥啦！,Bô siánn --lah!
,小可仔代誌爾爾。,Sió-khuá-á tāi-tsì niā-niā.
,林老爺，,"Lîm lāu-iâ,"
,你看按呢會用得無。,lí khuànn án-ne ē-īng-eh --bô?
,弘毅啊，,"Hông-ik --ah,"
,你莫走，你莫走！,"lí mài tsáu, lí mài tsáu!"
,來啊，來啊！來啊，來啊，,"Lâi --ah, lâi --ah! Lâi --ah, lâi --ah,"
,你掠我袂著！,lí lia̍h guá buē tio̍h!
,你閣覕！,Lí koh bih!
,阿爹，弘毅伊欺負我！,"A-tia, Hông-ik i khi-hū guá!"
,弘毅啊，,"Hông-ik --ah,"
,你就欲做阿兄，,"lí tō beh tsò a-hiann,"
,哪閣欺負恁阿姊啦。,ná koh khi-hū lín a-tsí --lah.
,弘毅啊，,"Hông-ik --ah,"
,恁阿娘若是生一个弟弟乎，,"lín a-niâ nā-sī senn tsi̍t ê ti--tih --honnh,"
,你就無遐衝矣。,lí tō bô hiah tshìng --ah.
,毋著啦，,"M̄-tio̍h --lah,"
,是生一个妹妹，,"sī senn tsi̍t ê me--meh,"
,我佮意妹妹。,guá kah-ì me--meh.
,喔？敢按呢？,Ooh? Kám án-ne?
,著，是生妹妹。,"Tio̍h, sī sinn me--meh."
,囡仔人，足古錐！傷腦筋！,"Gín-á-lâng, tsiok kóo-tsui! Siong náu-kin!"
,乎，,"Honnh,"
,你共看，,"lí kā khuànn,"
,哪會遮濟毛蟹啦？,ná ē tsiah tsē môo-hē --lah?
,哎喲喂矣！,Ai-iō-uê --ah!
,哪會按呢啦？,Ná ē án-ni --lah?
,啊！,Ah!
,咬我的尻川啦，,"Kā guá ê kha-tshng --lah,"
,足疼的，啊唷！,"tsiok thiànn--ê, ah ioh!"
,足疼的啦！,Tsiok thiànn--ê --lah!
,緊走，,"Kín tsáu,"
,毛蟹掠狂矣啦！,môo-hē lia̍h-kông --ah --lah!
,喂！較緊咧，,"Ueh! Khah kín --leh,"
,面巾攢予好，,"bīn-kin tshuân hōo hó,"
,猶閣有燒水，較緊咧。,"iáu-koh ū sio-tsuí, khah kín --leh."
,來矣，來矣！,"Lâi --ah, lâi --ah!"
,趕緊提入去！,Kuánn-kín the̍h ji̍p-khì!
,好！,Hó!
,紅嬰仔的衫閣欠兩領。,Âng-inn-á ê sann koh khiàm nn̄g niá.
,嗯，我去提。,"Mh, guá khì the̍h."
,喂，莫提遐的，愛提櫥仔內底的喔！,"Ueh, mài the̍h hia--ê, ài the̍h tû-á lāi-té--ê --ooh!"
,喔！,Ooh!
,嘿嘿！,Heh heh!
,喂！你想欲創啥？,Ueh! Lí siūnn-beh tshòng siánn?
,啊！共我放開啦！,Ah! Kā guá pàng--khui --lah!
,我已經共你講過幾改矣，,"Guá í-king kā lí kóng-kuè kuí kái --ah,"
,袂用得入去產房，,"bē-īng-eh ji̍p-khì sán-pâng,"
,你緊共我出去。,lí kín kā guá tshut--khì.
,啊創啥啦？,Ah tshòng siánn --lah?
,弘毅，袂用得按呢！,"Hông-ik, bē-īng-eh án-ne!"
,查埔人欲哪會用得凊彩入去產房？,Tsa-poo-lâng beh ná ē-īng-eh tshìn-tshái ji̍p-khì sán-pâng?
,就是啊！,Tō sī --ah!
,你有夠袂見笑的呢！,Lí ū-kàu bē kiàn-siàu--ê --neh!
,共我放開啦！,Kā guá pàng--khui --lah!
,緊出去啦！,Kín tshut--khì --lah!
,我是查埔囡仔，,"Guá sī tsa-poo gín-á,"
,啊毋是查埔人啊！,ah m̄ sī tsa-poo-lâng --ah!
,我欲來看阿娘生囝。,Guá beh lâi khuànn a-niâ senn-kiánn.
,袂用得去啦！,Bē-īng-tit khì --lah!
,我宛若欲看，,"Guá uan-nā beh khuànn,"
,欲按怎！,beh án-tsuánn!
,想欲掠我，,"Siūnn-beh lia̍h guá,"
,誠拚咧！哎唷！,tsiânn piànn --leh! Aih-ioh!
,恁啥人，,"Lín siánn-lâng,"
,趕緊去提一寡燒水入來，,"kuánn-kín khì the̍h tsi̍t-kuá sio-tsuí li̍p--lâi,"
,啥人欲去唅？,siánn-lâng beh khì --hannh?
,提燒水入去？,The̍h sio-tsuí ji̍p-khì?
,我去我去，,"Guá khì guá khì,"
,我提燒水入去。,guá the̍h sio-tsuí ji̍p-khì.
,較細膩的。,Khah sè-jī--ê.
,我知啦！,Guá tsai --lah!
,弘毅啊，你愛較細膩一點仔喔。,"Hông-ik --ah, lí ài khah sè-jī tsi̍t-tiám-á --ooh."
,多謝。,To-siā.
,弘毅，等我啦！,"Hông-ik, tán guá --lah!"
,你莫綴來啦！,Lí mài tuè --lâi --lah!
,水無夠滾，,"Tsuí bô-kàu kún,"
,外口的人閣去提一寡柴來。,guā-kháu ê lâng koh khì the̍h tsi̍t-kuá tshâ lâi.
,啊！,Ah!
,喂？,Ueh?
,林家的小霸王嘛會驚入去柴房喔！,Lîm--ka ê sió-pà-ông mā ē kiann ji̍p-khì tshâ-pâng --ooh!
,哈哈！,Ha ha!
,你才會驚咧！,Lí tsiah ē kiann --leh!
,我看乎一定是你毋敢去。,Guá khuànn --hoonh it-tīng sī lí m̄ kánn khì.
,我毋敢去？,Guá m̄ kánn khì?
,哼！行啦！,Hngh! Kiânn --lah!
,行就行，,"Kiânn tō kiânn,"
,啥人驚啥人！,siánn-lâng kiann siánn-lâng!
,毋敢去的是狗仔囝。,M̄ kánn khì--ê sī káu-á-kiánn.
,弘毅啊，行！,"Hông-ik --ah, kiânn!"
,按怎？,Án-tsuánn?
,會驚是無？,Ē kiann sī --bô?
,天猶未暗呢，,"Thinn iáu-buē àm --neh,"
,你佇咧驚啥？,lí tī-leh kiann siánn?
,啥人講我會驚？,Siánn-lâng kóng guá ē kiann?
,你嘛會驚乎？,Lí mā ē kiann --hoonh?
,你家己嘛是會驚啊！,Lí ka-kī mā sī ē kiann --ah!
,無，我家己先入去好矣啦。啊！,"Bô, guá ka-kī sing ji̍p-khì hó --ah --lah. Ah!"
,小等我啦！,Sió-tán guá --lah!
,忍耐喔！,Lím-nāi --ooh!
,較出力的！,Khah tshut-la̍t--ê!
,這胎敢若較慢乎？,Tsit the kán-ná khah bān --hoonh?
,我專工對南海來遮看恁。,Guá tsuan-kang uì Lâm-hái lâi tsia khuànn --lín.
,感謝觀世音菩薩，,"Kám-siā Kuan-sè-im-phôo-sat,"
,請菩薩閣賜予阮一个麟兒好無？,tshiánn Phôo-sat koh sù hōo gún tsi̍t ê lîn-jî hó --bô?
,子嗣由天安排，不得強求。,"Tsú-sū iû thian an-pâi, put tik kiông kiû."
,猶毋過阮林家的香火。,Iáu-m̄-koh gún Lîm--ka ê hiunn-hué.
,林家代代行善積德，,"Lîm--ka tāi-tāi hîng siān tsik-tik,"
,一定會受著上天保庇。,it-tīng ē siū-tio̍h siōng-thian pó-pì.
,若按呢請問菩薩。,Nā án-ne tshiánn-mn̄g phôo-sat.
,生矣！生矣！,Sinn --ah! Sinn --ah!
,阿娘生矣！實在足好的！,A-niâ sinn --ah! Si̍t-tsāi tsiok hó--ê!
,恭喜老爺！恭喜老爺！,Kiong-hí lāu-iâ! Kiong-hí lāu-iâ!
,是弟弟抑是妹妹？,Sī ti--tih ia̍h-sī me--meh?
,恭喜老爺，夫人生一个千金。,"Kiong-hí lāu-iâ, hu-jîn sinn tsi̍t ê tshian-kim."
,哇！是妹妹呢！閣加一个妹妹矣。,Uah! Sī me--meh --neh! Koh ke tsi̍t ê me--meh --ah.
,嘛好啦！嘛好啦！平安就好，平安就好。,"Mā hó --lah! Mā hó --lah! Pîng-an tiō hó, pîng-an tiō hó."
,足讚的！,Tsiok tsán --ê!
,這个囡仔真特別，,"Tsit ê gín-á tsin ti̍k-pia̍t,"
,一生出來就會對人笑，,"tsi̍t senn--tshut-lâi tō ē tuì lâng tshiò,"
,這種囡仔我猶是頭一擺拄著。,tsit tsióng gín-á guá ah sī thâu-tsi̍t-pái tú--tio̍h.
,阮會用得入去看覓咧無？,Gún ē-īng-eh ji̍p-khì khuànn-māi --leh --bô?
,小等咧，這馬猶袂用得入去。,"Sió-tán --leh, tsit-má iáu bē-īng-tit ji̍p-khì."
,弘毅啊，你這馬有妹妹矣喔。,"Hông-ik --ah, lí tsit-má ū me--meh --ah --ooh."
,生一个妹妹矣！我欲入去共抱。,Sinn tsi̍t ê me--meh --ah! Guá beh ji̍p-khì kā phō.
,有看著無啦？,Ū khuànn--tio̍h --bô --lah?
,佇紅嬰仔的眠床看袂著啦！,Tī âng-enn-á ê bîn-tshn̂g khuànn bē tio̍h --lah!
,借過，借過，,"Tsioh-kuè, tsioh-kuè,"
,我欲看妹妹、,"guá beh khuànn me--meh,"
,我欲看妹妹。,guá beh khuànn me--meh.
,我看著矣！手伸出來矣！,Guá khuànn--tio̍h --ah! Tshiú tshun tshut--lâi --ah!
,誠實的，足古錐的！,"Tsiânn-si̍t--ê, tsiok kóo-tsui--ê!"
,我看著矣！啊！,Guá khuànn--tio̍h --ah! Ah!
,弘毅，你欲創啥？,"Hông-ik, lí beh tshòng siánn?"
,啥人叫恁攏無愛予我入去！,Siánn-lâng kiò lín lóng bô ài hōo guá ji̍p-khì!
,我就是無愛予你入去！,Guá tō sī bô ài hōo lí ji̍p-khì!
,弘毅，聽話，莫閣吵矣！,"Hông-ik, thiann-uē, mài koh tshá --ah!"
,哇！林家金光閃閃，,"Uah! Lîm--ka kim kong siám-siám,"
,一定有貴人出世矣。,it-tīng ū kuì-lîn tshut-sì --ah.
,哇！是弘毅in兜呢！,Uah! Sī Hông-ik in tau --neh!
,嗯？彼是啥物？,Mh? He sī siánn-mih?
,莫走！,Mài tsáu!
,是按怎？,Sī án-nuá?
,莫走！喂！轉來！,Mài tsáu! Ueh! Tńg--lâi!
,啊！害矣！著火矣啦！著火矣啦！,Ah! Hāi --ah! To̍h-hué --ah --lah! To̍h-hué --ah --lah!
,過來！你袂用得入去！,Kuè--lâi! Lí bē-īng-eh ji̍p-khì!
,共我放開啦！我欲看妹妹啦！,Kā guá pàng-khui --lah! Guá beh khuànn me--meh --lah!
,緊捾水來！較緊咧！,Kín kuānn tsuí lâi! Khah kín --leh!
,我來捾水。,Guá lâi kuānn tsuí.
,水來矣、水來矣。,"Tsuí lâi --ah, tsuí lâi --ah."
,妹妹，乖乎！毋通哭喔！,"me--meh, kuai --honnh! M̄-thang khàu --ooh!"
,夫人。,Hu-lîn.
,阿娘。,A-niâ.
,恁逐个攏佇咧遮喔！,Lín ta̍k ê lóng tī-leh tsia --ooh!
,這个囡仔我聽產婆講，,"Tsit ê gín-á guá thiann sán-pô kóng,"
,一生落來就袂吵袂哭。,tsi̍t sinn --lo̍h-lâi tō buē tshá buē khàu.
,這个囡仔既然袂吵袂哭，,"Tsit ê gín-á kì-jiân buē tshá buē khàu,"
,若按呢就叫伊默娘好矣。,nā án-ne tiō kiò i Bua̍t-niû hó --ah.
,默娘！足讚的！足讚的！,Bua̍t-niû! Tsiok tsán --ê! Tsiok tsán --ê!
,默娘！默娘！這个名真好聽！,Bua̍t-niû! Bua̍t-niû! tsit ê miâ tsin hó-thiann!
,默娘！默娘！這个名我佮意！,Bua̍t-niû! Bua̍t-niû! Tsit ê miâ guá kah-ì!
,我欲看默娘！伊咧對我笑呢！,Guá beh khuànn Bua̍t-niû! I leh tuì guá tshiò --neh!
,足古錐的。,Tsiok kóo-tsui--ê.
,喂！換恁矣！緊跳啊！,Ueh! Uānn lín --ah! Kín thiàu --ah!
,準備好矣未？,Tsún-pī hó --ah--bē?
,好矣！阮先跳。,Hó --ah! Gún sing thiàu.
,等我，我來矣。,"Tán guá, guá lâi --ah."
,默娘！In遮的軟跤蝦根本毋是咱的對手，,"Bua̍t-niû! In tsia-ê nńg-kha-hê kun-pún m̄ sī lán ê tuì-tshiú,"
,你講著無？行！,lí kóng tio̍h --bô? Kiânn!
,嗯！,Mh!
,緊咧啦！,Kín --leh --lah!
,緊咧啦！,Kín --leh --lah!
,緊跳落來啦！,Kín thiàu--lo̍h-lâi --lah!
,緊咧！,Kín --leh!
,緊來！,Kín lâi!
,較緊的喔！,Khah kín --ê --ooh!
,足害的，,"Tsiok hāi --ê,"
,in是咧變啥魍啊？,in sī leh pìnn siánn báng --ah?
,遮久閣猶未來？,Tsiah kú koh iáu-bē lâi?
