Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,都市囡仔草地倯,Too-tshī gín-á tsháu-tē sông
,佇我的囡仔時代，,"Tī guá ê gín-á sî-tāi,"
,都市人若看草地人無起，,"too-tshī-lâng nā khuànn tsháu-tē-lâng bô khí,"
,嫌人農村味較重，,"hiâm lâng lông-tshun bī khah tāng,"
,定定攏愛笑人「草地倯」。,tiānn-tiānn lóng ài tshiò lâng “tsháu-tē-sông.”
,對我這个有一半草地人血脈的都市囡仔來講，,"Tuì guá tsit ê ū tsi̍t-puànn tsháu-tē-lâng hiat-me̍h ê too-tshī gín-á lâi kóng,"
,細漢的時，,"sè-hàn ê sî,"
,猶毋知影「草地倯」是啥物意思？,iáu m̄ tsai-iánn “tsháu-tē-sông” sī siánn-mih ì-sù?
,事實上，,"Sū-si̍t-siōng,"
,我嘛無咧關心。,guá mā bô teh kuan-sim.
,到這幾年，,"Kàu tsit kuí nî,"
,臺灣到處已經攏都市化，,"Tâi-uân tàu-tshù í-king lóng too-tshī-huà,"
,誠濟人對發展過頭的都市現象愈來愈感覺齷齪，,"tsiânn tsē lâng tuì huat-tián kuè-thâu ê too-tshī hiān-siōng jú lâi jú kám-kak ak-tsak,"
,煞顛倒漸漸較欣羨農村的種種好處。,suah tian-tò tsiām-tsiām khah him-siān lông-tshun ê tsióng-tsióng hó-tshù.
,所以定定會利用週休兩日的機會，,"Sóo-í tiānn-tiānn ē lī-iōng tsiu-hiu nn̄g ji̍t ê ki-huē,"
,四界去草地所在𨑨迌、渡假。,"sì-kè khì tsháu-tē sóo-tsāi tshit-thô, tōo-ká."
,對現代都市人來講，,"Tuì hiān-tāi too-tshī-lâng lâi kóng,"
,只要有機會通脫離紅毛塗佮打馬膠的「水泥森林」，,"tsí-iàu ū ki-huē thang thuat-lī âng-mn̂g-thôo kah tá-má-ka ê “tsuí-nî sim-lîm”,"
,來到有山、有樹閣有溪仔水通親近的草地所在，,"lâi kàu ū suann, ū tshiū koh ū khe-á-tsuí thang tshin-kīn ê tsháu-tē sóo-tsāi,"
,就會當排解壓力，歇睏兼充電。,"tō ē-tàng pâi-kái ap-li̍k, hioh-khùn kiam tshiong-tiān."
,其實，,"Kî-si̍t,"
