Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,閣行一擺彼條故鄉的路,Koh kiânn tsi̍t pái hit tiâu kòo-hiong ê lōo
,自三冬前，,"Tsū sann tang tsîng,"
,阿爸過身了後，,"a-pah kuè-sin liáu-āu,"
,就賰阿母家己一个人，,"tō tshun a-bú ka-kī tsi̍t ê lâng,"
,蹛佇庄跤的舊厝。,tuà tī tsng-kha ê kū-tshù.
,幾若擺，,"Kuí-nā pái,"
,阮姑情伊來市內做伙蹛，,"guán koo-tsiânn i lâi tshī-lāi tsò-hué tuà,"
,較有伴，,"khah ū phuānn,"
,咱嘛才會安心。,lán mā tsiah ē an-sim.
,毋過，,"M̄-koh,"
,逐遍攏無超過一禮拜，,"ta̍k piàn lóng bô tshiau-kuè tsi̍t lé-pài,"
,伊就吵欲倒轉去矣。,i tō tshá beh tò-tńg--khì --ah.
,伊若毋是講：,I nā m̄ sī kóng:
,我這隻青盲牛，,"guá tsit tsiah tshenn-mê-gû,"
,毋捌字毋捌墨，,"m̄ bat jī m̄ bat ba̍k,"
,毋敢出去烏白行，,"m̄ kánn tshut-khì oo-pe̍h kiânn,"
,驚予無去。,kiann hōo bô--khì.
,厝邊頭尾又閣無熟無似，,"Tshù-pinn-thâu-bué iū-koh bô si̍k bô sāi,"
,不時門仔戶仔關牢牢，,"put-sî mn̂g-á hōo-á kuainn tiâu-tiâu,"
,無人通開講，,"bô lâng thang khai-káng,"
,規工屈咧厝內底，,"kui kang khut teh tshù lāi-té,"
,袂輸籠仔內的犯人咧，,"bē-su láng-á lāi ê huān-lâng --leh,"
,我蹛袂慣勢啦﹗,guá tuà bē kuàn-sì --lah!
,伊講的嘛是有理，,"I kóng--ê mā sī ū lí,"
,幾十冬來一直蹛佇庄跤，,"kuí tsa̍p tang lâi it-ti̍t tuà tī tsng-kha,"
,佮都市比起來，,"kah too-tshī pí--khí-lâi,"
