Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,一場無練習的比賽,Tsi̍t tiûnn bô liān-si̍p ê pí-sài
,車駛過長長的文心路，,"Tshia sái-kuè tn̂g-tn̂g ê Bûn-sim-lōo,"
,因為當咧起造臺中市頭一條捷運，,"in-uī tng-teh khí-tsō Tâi-tiong-tshī thâu tsi̍t tiâu tsia̍t-ūn,"
,原本開闊的四線道煞減去中央的兩線，,"guân-pún khui-khuah ê sì suànn tō suah kiám khì tiong-ng ê nn̄g suànn,"
,懸懸懸的鐵枋共倚安全島的雙爿圍起來，,"kuân-kuân-kuân ê thih-pang kā uá an-tsuân-tó ê siang-pîng uî--khí-lâi,"
,予駛車的人有一種錯覺──感覺倒手爿親像山崁，,"hōo sái-tshia ê lâng ū tsi̍t tsióng tshò-kak－－ kám-kak tò-tshiú-pîng tshin-tshiūnn suann-khàm,"
,若是無細膩摖著，,"nā-sī bô-sè-jī tshè--tio̍h,"
,彼台車定著愛送去美容；,hit tâi tshia tiānn-tio̍h ài sàng khì bí-iông;
,抑，正手爿生狂的機車，,"ia̍h, tsiànn-tshiú-pîng tshenn-kông ê ki-tshia,"
,親像崁跤掣流的溪溝，,"tshin-tshiūnn khàm-kha tshuah-lâu ê khe-kau,"
,#『ハンドル』#(ha̋n-tóo-luh)扞無好勢，,"#‘ハンドル’# (ha̋n-tóo-luh) huānn bô hó-sè,"
,驚會墜落無底深坑。,kiann ē tuī-lo̍h bô té tshim-khenn.
,──佳哉！,－－Ka-tsài!
,頭前閣過一个地下道就到比賽的會場矣！,Thâu-tsîng koh kuè tsi̍t ê tē-hā-tō tō kàu pí-sài ê huē-tiûnn --ah!
,逐年的這个時陣，,"Ta̍k nî ê tsit ê sî-tsūn,"
,總是會載學生來參加比賽，,"tsóng--sī ē tsài ha̍k-sing lâi tsham-ka pí-sài,"
,往過佇車頂，,"íng-kuè tī tshia-tíng,"
,嘛是把握最後的機會練習，,"mā sī pá-ak tsuè-āu ê ki-huē liān-si̍p,"
,針對講稿的內容、聲調、動作、表情、眼神……，,"tsiam-tuì káng-kó ê luē-iông, siann-tiāu, tōng-tsok, piáu-tsîng, gán-sîn...,"
,再三叮嚀交代；,tsài-sann ting-lîng kau-tài;
,又閣袂當予in傷緊張，,"iū-koh bē-tàng hōo in siunn kín-tiunn,"
,著愛那講笑，,"tio̍h-ài ná kóng-tshiò,"
,予in心情保持輕鬆，,"hōo in sim-tsîng pó-tshî khin-sang,"
,「養兵千日，用在一朝」，,"“Ióng ping tshian ji̍t, iōng tsāi it tiâu”,"
,若有失覺察，,"nā ū sit-kak-tshat,"
,恐驚會影響比賽的名次；,khióng-kiann ē íng-hióng pí-sài ê miâ-tshù;
,毋過，,"m̄-koh,"
,這場比賽佮較早完全無siāng――這過，,"tsit tiûnn pí-sài kah khah-tsá uân-tsuân bô siāng－－ tsit kuè,"
,毋是拚懸低，,"m̄ sī piànn kuân-kē,"
,這過，,"tsit kuè,"
,向望予in佇心肝底保留一个難忘的記持……。,ǹg-bāng hōo in tī sim-kuann-té pó-liû tsi̍t ê lân-bōng ê kì-tî....
,伊會來參加比賽，,"I ē lâi tsham-ka pí-sài,"
,的確是一場奇蹟！,tik-khak sī tsi̍t tiûnn kî-tsik!
,想彼時，,"Siūnn hit-sî,"
,我宣佈這个決定，,"guá suan-pòo tsit ê kuat-tīng,"
,伊的導師用攕擔仝款的聲嗽，,"i ê tō-su iōng tshiam-tann kāng-khuán ê siann-sàu,"
,喊出聲：「你欲訓練伊去比賽？,hiàm tshut-siann: “Lí beh hùn-liān i khì pí-sài?
,是著抑毋著？」,Sī tio̍h ia̍h m̄-tio̍h?”
,我予喝彼聲，,"Guá hōo huah hit siann,"
,心內懍一下：「學生的成績是老師的面子，,"sim-lāi lún --tsi̍t-ē: “Ha̍k-sing ê sîng-tsik sī lāu-su ê bīn-tsú,"
,更加是學校的光彩，,"kìng-ka sī ha̍k-hāu ê kong-tshái,"
,伊――敢會當代表學校做選手？」,i－－ kám ē-tàng tāi-piáu ha̍k-hāu tsò suán-tshiú? ”
,我不得不徛佇評判的角度秤斤兩……。,Guá put-tik-put khiā tī phîng-phuànn ê kak-tōo tshìn kin-niú....
,毋過，,"M̄-koh,"
,徛佇教育的立場來考慮，,"khiā tī kàu-io̍k ê li̍p-tiûnn lâi khó-lī,"
,相信這改的比賽，,"siong-sìn tsit kái ê pí-sài,"
,對這个囡仔的意義，,"tuì tsit ê gín-á ê ì-gī,"
,絕對勝過是毋是會當著等。,tsua̍t-tuì sìng-kuè sī m̄ sī ē-tàng tio̍h tíng.
,這時，,"Tsit-sî,"
,我罕得展出教育部專業級認證的 kha̋ng-páng 替伊掛保證，,"guá hán-tit tián-tshut Kàu-io̍k-pōo tsuan-gia̍p-kip jīn-tsìng ê kha̋ng-páng thè i kuà-pó-tsìng,"
,講：「仝年級的學生內底，,"kóng: “Kāng nî-kip ê ha̍k-sing lāi-té,"
,伊是唯一會曉朗讀閩南語文稿的囡仔。」,i sī uî-it ē-hiáu lóng-tho̍k Bân-lâm-gí bûn-kó ê gín-á.”
,因為我的堅持，,"In-uī guá ê kian-tshî,"
,這層代誌就按呢決定落來！,tsit tsân tāi-tsì tsiū-án-ne kuat-tīng --lo̍h-lâi!
