Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,天漸漸光矣。,Thinn tsiām-tsiām kng --ah.
,光線佇彼欉翠青茂密的榕仔樹尾溜，,"Kng-suànn tī hit tsâng tshuì-tshenn bōo-bi̍t ê tshîng-á-tshiū bué-liu,"
,躊躇。,tiû-tû.
,我的目屎大概已經焦矣。,Guá ê ba̍k-sái tāi-khài í-king ta --ah.
,規暗，,"Kui àm,"
,這个公園天頂的星，,"tsit ê kong-hn̂g thinn-tíng ê tshenn,"
,會當見證所有的一切，,"ē-tàng kiàn-tsìng sóo-ū ê it-tshè,"
,我的孤單、悲傷佮絕望。,"guá ê koo-tuann, pi-siong kah tsua̍t-bōng."
,長長的柴椅，,"Tn̂g-tn̂g ê tshâ í,"
,已經有淡薄仔露水。,í-king ū tām-po̍h-á lōo-tsuí.
,這是我頭一擺家己睏佇臺北街頭，,"Tse sī guá thâu tsi̍t pái ka-kī khùn tī Tâi-pak ke-thâu,"
,其實袂當講睏，,"kî-si̍t bē-tàng kóng khùn,"
,因為我干焦坐佇遐爾爾，,"in-uī guá kan-na tsē tī hia niā-niā,"
,干焦流目屎，,"kan-na lâu ba̍k-sái,"
,干焦後悔怨恨。,kan-na hiō-hué uàn-hūn.
,本來咧想，,"Pún-lâi teh siūnn,"
,一个查某囡仔家己佇遮，,"tsi̍t ê tsa-bóo gín-á ka-kī tī tsia,"
,定著會發生啥物恐怖的代誌,tiānn-tio̍h ē huat-sing siánn-mih khióng-pòo ê tāi-tsì
,─管待伊去死咧，,"–kuán-thāi i khì sí --leh,"
,恁祖媽就是無想欲活矣，,"lín tsóo-má tō sī bô siūnn-beh ua̍h --ah,"
,我刁工欲等待魔神仔來掠─ 想袂到，,"guá thiau-kang beh tán-thāi môo-sîn-á lâi lia̍h– siūnn bē kàu,"
,臺北的治安無親像人所講遐爾䆀，,"Tâi-pak ê tī-an bô tshin-tshiūnn lâng sóo kóng hiah-nī bái,"
,規暝干焦有一个若歹人的人經過，,"kui mê kan-na ū tsi̍t ê ná pháinn-lâng ê lâng king-kuè,"
,斟酌看，,"tsim-tsiok khuànn,"
,根本是燒酒醉的，,"kin-pún sī sio-tsiú-tsuì--ê,"
,伊醉甲徛袂在，,"i tsuì kah khiā bē tsāi,"
,甚至連路就看袂清，,"sīm-tsì liân lōo tō khuànn bē tshing,"
,佇殕殕霧霧的電火柱仔跤，,"tī phú-phú bū-bū ê tiān-hué-thiāu-á-kha,"
,若欲看著我，,"nā beh khuànn-tio̍h guá,"
,就愛誠拚的。,tō ài tsiânn piànn--ê.
,閣講，,"Koh kóng,"
,假使伊真正看著我，,"ká-sú i tsin-tsiànn khuànn-tio̍h guá,"
