Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,自3冬前，,"Tsū 3 tang tsîng,"
,阿爸過身了後，,"a-pah kuè-sin liáu-āu,"
,就賰阿母1个人蹛佇故鄉的舊厝。,tō tshun a-bú 1 ê lâng tuà tī kòo-hiong ê kū tshù.
,有幾若擺，,"Ū kuí-nā pái,"
,姑情伊來市內佮咱做伙蹛，,"koo-tsiânn i lâi tshī-lāi kah lán tsò-hué tuà,"
,較有伴。,khah ū phuānn.
,毋過，,"M̄-koh,"
,逐擺攏無超過1禮拜，,"ta̍k pái lóng bô tshiau-kuè 1 lé-pài,"
,伊就唸講蹛袂慣勢，,"i tō liām kóng tuà bē kuàn-sì,"
,欲轉去庄跤較快活。,beh tńg-khì tsng-kha khah khuìnn-ua̍h.
,咱做序細的，,"Lán tsò sī-sè--ê,"
,當然嘛毋敢傷共勉強。,tong-jiân mā m̄ kánn siunn kā bián-kióng.
,是講，,"Sī kóng,"
,放伊1个80歲的老大人，,"pàng i 1 ê 80 huè ê lāu-tuā-lâng,"
,家己佇厝裡，,"ka-kī tī tshù--lí,"
,咱哪會安心？,lán ná ē an-sim?
,佳哉，,"Ka-tsài,"
,對市內徛家到庄跤舊厝，,"uì tshī-lāi khiā-ke kàu tsng-kha kū tshù,"
,駛車，,"sái-tshia,"
,差不多1點鐘的時間爾。,tsha-put-to 1 tiám-tsing ê sî-kan niā.
,所以，,"Sóo-í,"
,見若搪著歇假，,"kiàn-nā tn̄g-tio̍h hioh-ká,"
,我攏會倒轉去看伊。,guá lóng ē tó-tńg-khì khuànn --i.
,幾十冬來，,"Kuí tsa̍p tang lâi,"
,阮查畝營東勢頭這款庄跤所在，,"guán Tsa-bóo-iânn Tang-sì-thâu tsit khuán tsng-kha sóo-tsāi,"
,完全無任何的發展，,"uân-tsuân bô jīm-hô ê huat-tián,"
,根本看袂出有啥前途。,kin-pún khuànn bē tshut ū siánn tsiân-tôo.
