Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,古早的時，,"Kóo-tsá ê sî,"
,臺灣不時有人咧講：,Tâi-uân put-sî ū lâng teh kóng:
,「第一賣冰，,"“Tē-it bē ping,"
,第二做醫生！」,tē jī tsò i-sing!”
,意思是講：,Ì-sù sī kóng:
,做醫生雖然收入袂䆀、社會地位嘛懸，,"tsò i-sing sui-jiân siu-ji̍p bē-bái, siā-huē tē-uī mā kuân,"
,毋過若欲趁閣較濟錢，,"m̄-koh nā beh thàn koh-khah tsē tsînn,"
,賣冰會當算第一！,bē ping ē-tàng sǹg tē-it!
,但是佇#春平仔#這馬的心內來講：,Tān-sī tī #Tshun-pîng--á# tsit-má ê sim-lāi lâi kóng:
,「第一做廟公，,"“Tē-it tsò biō-kong,"
,第二做莊！」,tē-jī tsò-tsong!”
,佇#臺灣#，,"Tī #Tâi-uân#,"
,干焦政府會當合法做莊─,kan-na tsìng-hú ē-tàng ha̍p-huat tsò-tsong─
,手攑做公益的旗仔，賣彩券、𤆬頭跋筊，,"tshiú gia̍h tsò kong-ik ê kî-á, bē tshái-kǹg, tshuā-thâu pua̍h-kiáu,"
,閣會當抽稅金。,koh ē-tàng thiu suè-kim.
,啊若是遐的烏社會咧做莊、跋筊，,"Ah nā-sī hia-ê oo-siā-huē teh tsò-tsong, pua̍h-kiáu,"
,趁僥倖錢的，,"thàn hiau-hīng-tsînn--ê,"
,若拄著政府咧掃烏的時，,"nā tú-tio̍h tsìng-hú teh sàu-oo ê sî,"
,就隨時予人掠去關；,tō suî-sî hōo lâng lia̍h-khì kuainn;
,若是開廟做生理就無仝矣，,"nā-sī khui biō tsò-sing-lí tō bô kāng --ah,"
,趁的錢可能無做莊、跋筊遐濟，,"thàn ê tsînn khó-lîng bô tsò-tsong, pua̍h-kiáu hiah tsē,"
,毋過#臺灣人#上愛拜拜，,"m̄-koh #Tâi-uân-lâng# siōng ài pài-pài,"
,行山拜山、遇海拜海，,"kiânn suann pài suann, gū hái pài hái,"
,一四界攏嘛是大細間廟，,"tsi̍t-sì-kè lóng mā sī tuā-sè king biō,"
,香火閣不止仔旺！,hiunn-hué koh put-tsí-á ōng!
,上重要的是政府官員嘛真濟人愛拜拜，,"Siōng tiōng-iàu--ê sī tsìng-hú kuann-uân mā tsin tsē lâng ài pài-pài,"
,嘛毋敢對神明不敬，,"mā m̄ kánn tuì sîn-bîng put kìng,"
,當時捌聽著講神明予人掠去關的？,tang-sî bat thiann-tio̍h kóng sîn-bîng hōo lâng lia̍h-khì kuainn--ê?
,便若想到遮，,"Piān-nā siūnn kàu tsia,"
,#春平仔#就感覺家己當初的選擇有影是正確的，,"#Tshun-pîng--á# tō kám-kak ka-kī tong-tshoo ê suán-ti̍k ū-iánn sī tsìng-khak--ê,"
,愈想是愈歡喜！,jú siūnn sī jú huann-hí!
,叮咚……叮咚……，,"Ting-tong... ting-tong...,"
,辦公桌頂的對講機拄響兩聲，,"pān-kong-toh-tíng ê tuì-káng-ki tú hiáng nn̄g siann,"
,#春平仔#就紲手提起來講：,#Tshun-pîng--á# tō suà-tshiú the̍h-khí-lâi kóng:
,「#阿娟#！,“#A-kuan#!
,啥物代誌？,Siánn-mih tāi-tsì?
,喔，,"Ooh,"
,好！,Hó!
,按呢你先佮伊約後禮拜三、早起#10#點，,"Án-ne lí sing kah i iok āu lé-pài sann, tsá-khí #10# tiám,"
,交代伊一定愛準時，,"kau-tài i it-tīng ài tsún-sî,"
,彼工我中晝閣佮#林#議員約欲食飯，,"hit kang guá tiong-tàu koh kah #Lîm# gī-uân iok beh tsia̍h-pn̄g,"
,你嘛愛做伙去喔！,lí mā ài tsò-hué khì --ooh!
,上重要的，,"Siōng tiōng-iàu--ê,"
,伊干焦會當#一#个人來，,"i kan-na ē-tàng #tsi̍t# ê lâng lâi,"
,袂當有一寡生份人抑是記者在場，,"bē-tàng ū tsi̍t-kuá senn-hūn-lâng ia̍h-sī kì-tsiá tsāi-tiûnn,"
,嘛袂當翕相，,"mā bē-tàng hip-siòng,"
,知無？」,tsai --bô?”
,話筒#一#囥落去，,"Uē-tâng #tsi̍t# khǹg --lo̍h-khì,"
,#春平仔#隨喙笑目笑，,"#Tshun-pîng--á# suî tshuì-tshiò-ba̍k-tshiò,"
,對這間廟的未來……,tuì tsit king biō ê bī-lâi...
,毋著！,m̄-tio̍h!
,應該是「這間公司」的未來，,"Ing-kai sī “tsit king kong-si” ê bī-lâi,"
,充滿了自信。,tshiong-buán liáu tsū-sìn.
,當當春平仔咧思考愈來愈好的,Tng-tong Tshun-pîng--á teh su-khó jú lâi jú hó ê
,生理應該愛按怎經營的時，,"sing-lí ing-kai ài án-tsuánn king-îng ê sî,"
,叮咚、叮咚、叮咚、叮咚……,"ting-tong, ting-tong, ting-tong, ting-tong..."
,辦公桌頂的對講機這改叫甲真著急的款，,"pān-kong-toh-tíng ê tuì-káng-ki tsit kái kiò kah tsin tio̍h-kip ê khuán,"
,#春平仔#仝款寬寬仔共話筒提起來，,"#Tshun-pîng--á# kāng-khuán khuann-khuann-á kā uē-tâng the̍h--khí-lâi,"
,氣口無蓋歡喜：,khuì-kháu bô kài huann-hí:
,「按怎？,“Án-tsuánn?
,毋是共你交代過，,"M̄ sī kā lí kau-tài --kuè,"
,緊事愛寬辦，,"kín-sū ài khuann-pān,"
,你不時按呢兇兇狂狂，,"lí put-sî án-ne hiong-hiong-kông-kông,"
,欲哪會有才調做大事業哩？」,beh ná ē ū tsâi-tiāu tsò tuā sū-gia̍p --lih?”
,「主委！,「Tsú-uí!
,毋是我欲攪擾你啦，,"M̄ sī guá beh kiáu-jiáu --lí --lah,"
,是#民政局#的#蔡#局長講,sī #Bîn-tsìng-kio̍k# ê #Tshuà# kio̍k-tiúnn kóng
,有重要的代誌欲親身共你講，,"ū tiōng-iàu ê tāi-tsì beh tshin-sin kā lí kóng,"
,叫我一定愛趕緊揣你啦！,kiò guá it-tīng ài kuánn-kín tshuē --lí --lah!
,伊講敲你的手機仔鈃規晡久攏無接，,"I kóng khà lí ê tshiú-ki-á giang kui poo kú lóng bô tsiap,"
,毋才會敲對我遮來。」,m̄-tsiah ē khà uì guá tsia lâi.」
,#阿娟仔#是#春平仔#上信任的助理，,"#A-kuan--á# sī #Tshun-pîng--á# siōng sìn-jīm ê tsōo-lí,"
,干焦伊會當隨時聯絡著#春平仔#，,"kan-na i ē-tàng suî-sî liân-lo̍k tio̍h #Tshun-pîng--á#,"
,這條專線的對講機嘛只有兩人知影。,tsit tiâu tsuan-suànn ê tuì-káng-ki mā tsí-ū nn̄g lâng tsai-iánn.
,「好！,“Hó!
,按呢你共局長講我中晝#12#點半,Án-ne lí kā kio̍k-tiúnn kóng guá tiong-tàu #12# tiám puànn
,佇頂改彼間咖啡廳等伊，,"tī tíng-kái hit king ka-pi-thiann tán --i,"
