Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,愈讀彼張批，,"Jú tha̍k hit tiunn phue,"
,伊的目箍愈紅。,i ê ba̍k-khoo jú âng.
,感情的池滇起來，,"Kám-tsîng ê tî tīnn --khí-lâi,"
,目屎輾，,"ba̍k-sái liàn,"
,規面洗，,"kui bīn sé,"
,四淋垂。,sì-lâm-suî.
,我毋敢講話，,"Guá m̄ kánn kóng-uē,"
,身軀直直坐佇膨椅頂，,"sin-khu ti̍t-ti̍t tsē tī phòng-í-tíng,"
,恬恬聽大廳吊鐘規律的拍拍聲，,"tiām-tiām thiann tuā-thiann tiàu-tsing kui-lu̍t ê phah-phik siann,"
,佮，,"kah,"
,不三時珠淚磕批紙慒心肝的滴答。,put-sam-sî tsu-luī kha̍p phue-tsuá tso sim-kuann ê tih-tap.
,有風，,"Ū hong,"
,huê過阮的頭鬃，,"huê-kuè guán ê thâu-tsang,"
,大片的玻璃窗仔予斜西的溫暖日頭光走入來。,tuā phìnn ê po-lê thang-á hōo tshiâ sai ê un-luán ji̍t-thâu-kng tsáu --ji̍p-lâi.
,是暗頭仔，,"Sī àm-thâu-á,"
,我應該來走矣。,guá ing-kai lâi-tsáu --ah.
,「先生娘！,“Sian-sinn-niû!
,時間無早矣，,"Sî-kan bô tsá --ah,"
,我愛先來去。」,guá ài sing lâi-khì.”
,我起身，,"Guá khí-sin,"
,kha-báng捾咧，,"kha-báng kuānn --leh,"
,毋敢閣加共伊攪擾。,m̄ kánn koh ke kā i kiáu-jiáu.
,「你桌頂彼甌茶，,"“Lí toh-tíng hit au tê,"
,一喙都無啉。」,tsi̍t tshuì to bô lim.”
,我愣一下，,"Guá gāng --tsi̍t-ē,"
,閣坐落來。,koh tsē --lo̍h-lâi.
,「30外冬過去，,"“30 guā tang kuè-khì,"
,我也歡喜甘願矣！,guá iā huann-hí kam-guān --ah!
,伊欲轉去臺灣共伊少年時代袂赴做的理想實現，,"I beh tńg-khì Tâi-uân kā i siàu-liân sî-tāi bē-hù tsò ê lí-sióng si̍t-hiān,"
,我也做伊去。,guá iā tsò i khì.
,牽手一世人，,"Khan-tshiú tsi̍t-sì-lâng,"
,晟養囝大漢嘛已經大學出業，,"tshiânn-ióng kiánn tuā-hàn mā í-king tāi-ha̍k tshut-gia̍p,"
,無啥物通好遺憾，,"bô siánn-mih thang hó uî-hām,"
,無啥物通好怨恨。,bô siánn-mih thang-hó uàn-hūn.
,想袂到,Siūnn bē kàu
,是按呢的結局」,sī án-ne ê kiat-kio̍k”
,伊的目箍胮，,"I ê ba̍k-khoo hàng,"
,慼心慼聲，,"tsheh-sim tsheh-siann,"
,「林先-生，,"“Lîm --sian-sinn,"
,感謝你專工提這張批來」,kám-siā lí tsuan-kang the̍h tsit tiunn phue lâi”
,陳教授in兜是我傷心旅途的上尾站。,Tân kàu-siū in tau sī guá siong-sim lí-tôo ê siōng bué tsām.
,轉來到旅社，,"Tńg-lâi kàu lú-siā,"
,天色已經暗，,"thinn-sik í-king àm,"
,賰無六點鐘！,tshun bô la̍k tiám-tsing!
,佇我往過讀冊的時陣，,"Tī guá íng-kuè tha̍k-tsheh ê sî-tsūn,"
,陳教授佮我就是忘年之交，,"Tân kàu-siū kah guá tō sī bōng-liân-tsi-kau,"
,是恩師也是破腹好友。,sī un-su iā sī phuà-pak hó-iú.
,佇美國提著博士學位，,"Tī Bí-kok the̍h-tio̍h phok-sū ha̍k-uī,"
,做五冬外的博士後研究員，,"tsò gōo tang guā ê phok-sū āu gián-kiù-uân,"
,一直到轉來臺灣的大學教冊這幾冬，,"it-ti̍t kàu tńg-lâi Tâi-uân ê tāi-ha̍k kà-tsheh tsit kuí tang,"
,阮的連繫毋捌斷去，,"guán ê liân-hē m̄ bat tn̄g --khì,"
,無論是人生抑是研究的課題，,"bô-lūn sī jîn-sing ia̍h-sī gián-kiù ê khò-tê,"
,伊啟蒙、引𤆬我濟濟！,"i khé-bông,  ín-tshuā guá tsē-tsē!"
,過去的三冬攏無伊的消息，,"Kuè-khì ê sann tang lóng bô i ê siau-sit,"
,我共佇美國的先生娘佮伊的後生探聽，,"guá kā tī Bí-kok ê sian-sinn-niû kah i ê hāu-senn thàm-thiann,"
,嘛是霧嗄嗄。,mā sī bū-sà-sà.
,逐家焦心擘腹，,"Ta̍k-ke ta-sim peh-pak,"
,四界揣無線索。,sì-kè tshuē bô suànn-soh.
,先生娘講伊煩惱甲袂食袂睏，,"Sian-sinn-niû kóng i huân-ló kah bē-tsia̍h-bē-khùn,"
,in後生講阿母仔無半冬就瘦十外公斤，,"in hāu-senn kóng a-bú-á bô puànn tang tō sán tsa̍p guā kong-kin,"
,家己的白頭毛嘛加幾若簇。,ka-kī ê pe̍h thâu-mn̂g mā ke kuí-nā tshok.
,無人予阮一个交代，,"Bô lâng hōo guán tsi̍t ê kau-tài,"
,教授就按呢無去？,kàu-siū tō án-ne bô--khì?
,這，,"Tse,"
,凡勢是上好的結局？,huān-sè sī siōng hó ê kiat-kio̍k?
,無拍算我提著彼支鎖匙。,Bô phah-sǹg guá the̍h-tio̍h hit ki só-sî.
,我坐踮倚窗的桌仔頭前，,"Guá tsē tiàm uá thang ê toh-á thâu-tsîng,"
,面對電腦，,"bīn-tuì tiān-náu,"
,心臟噗噗惝，,"sim-tsōng  pho̍k-pho̍k-tshíng,"
,倒手掠正手，,"tò-tshiú lia̍h tsiànn-tshiú,"
,猶咧掣，,"iáu teh tshuah,"
,無法度拍字。,bô-huat-tōo phah-jī.
