Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,活欲死欲活,Ua̍h beh sí beh ua̍h
,「我欲穿我的衫……」,“Guá beh tshīng guá ê sann……”
,「恁阿兄仔對院裡敲電話來講阿媽欲討衫。」,“Lín a-hiann--á uì īnn--e khà tiān-uē lâi kóng a-má beh thó sann.”
,敏仔佇擔頭佮宣仔咧講代誌：,Bín--á tī tànn-thâu kah Suan--á teh kóng tāi-tsì:
,「敢會是咱這久傷過無閒？,“Kám ē sī lán tsit-kú siunn kuè bô-îng?
,無去看伊？」,Bô khì khuànn --i?”
,敏仔按呢臭疑。,Bín--á án-ne tshàu-gî.
,毋過宣的顧無閒伊擔頭整理的事工無應in阿母敏仔。,M̄-koh Suan--ê kòo bô-îng i tànn-thâu tsíng-lí ê sū-kang bô ìn in a-bú Bín--á.
,「的確是按呢？,“Tik-khak sī án-ne?
,挔衫毋才看會著我…」,Hiannh sann m̄-tsiah khuànn-ē-tio̍h guá…”
,敏仔按呢ngauh咧ngauh咧毋敢確定伊的想法。,Bín--á án-ne ngauh --leh ngauh --leh m̄ kánn khak-tīng i ê siūnn-huat.
,莫烏白想，,"Mài oo-pe̍h siūnn,"
,烏鴉喙串講串著。,oo-a-tshuì tshuàn-kóng tshuàn tio̍h.
,無代誌！,Bô tāi-tsì!
,莫想對遐去。,Mài siūnn uì hia khì.
,「阿母，」,"“A-bú,”"
,宣仔塗跤沖一半較加：,Suan--á thôo-kha tshiâng tsi̍t-puànn khah ke:
,「你若袂放心你就院裡閣行一逝。」,“lí nā bē hòng-sim lí tō īnn--e koh kiânn tsi̍t tsuā.”
,敏仔聽宣仔按呢應了後：,Bín--á thiann Suan--á án-ne ìn liáu-āu:
,「毋囉！,“M̄ --looh!
,恁外媽予人趕出來十數年。,Lín guā-má hōo lâng kuánn tshut-lâi tsa̍p sòo nî.
,我毋愛閣揹這个責任。」,Guá m̄ ài koh phāinn tsit ê tsik-jīm.”
,講是按呢講。,Kóng sī án-ne kóng.
,心早就飛對院裡去。,Sim tsá tō pue uì īnn--e khì.
,宣仔繼續沖擔頭塗跤準備收擔。,Suan--á kè-sio̍k tshiâng tànn-thâu thôo-kha tsún-pī siu-tànn.
