Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,你來矣喔，,"Lí lâi --ah --ooh,"
,你猶會記得阮無?,lí iah ē-kì-tit guán --bô?
,足濟年前，,"Tsiok tsē nî tsîng,"
,咱捌相拄過，,"lán bat sio-tú kuè,"
,嘛是這款的春天，,"mā sī tsit khuán ê tshun-thinn,"
,溼氣真重，,"sip-khì tsin tāng,"
,暗時的水面頂親像有一沿水氣，,"àm-sî ê tsuí-bīn-tíng tshan-tshiūnn ū tsi̍t iân tsuí-khì,"
,天氣拄拄欲燒烙，,"thinn-khì tú-tú beh sio-lō,"
,毋過水猶是真冷。,m̄-koh tsuí iah sī tsin líng.
,彼个時陣淡水河較闊，,"Hit ê sî-tsūn Tām-tsuí-hô khah khuah,"
,水嘛無遮臭。,tsuí mā bô tsiah tshàu.
,你有共阮拭面、拭身軀，,"Lí ū kā gún tshit bīn, tshit sin-khu,"
,拭甲真頂真，,"tshit kah tsin tíng-tsin,"
,毋過你有流目屎，,"m̄-koh lí ū lâu ba̍k-sái,"
,毋知影是因為悲傷抑是驚惶，,"m̄ tsai-iánn sī in-uī pi-siong ia̍h-sī kiann-hiânn,"
,恁khà-sàng閣有交代你，,"lín khà-sàng koh ū kau-tài lí,"
,毋通共目屎滴佇阮的身軀，,"m̄-thang kā ba̍k-sái tih tī gún ê sin-khu,"
,你敢袂記得矣？,lí kám bē-kì-tit --ah?
,乎，,"Honnh,"
,是你喔！,sī lí --ooh!
,啊！,Ah!
,我一世人攏袂放袂記得啦！,Guá tsi̍t-sì-lâng lóng bē pàng bē-kì-tit --lah!
,前一站仔乎，,"Tsîng tsi̍t-tsām-á --honnh,"
,我閣去共朋友講乎，,"guá koh khì kā pîng-iú kóng --honnh,"
,講這馬乎欲選總統彼个少年的乎，,"kóng tsit-má --honnh beh suán tsóng-thóng hit ê siàu-liân --ê --honnh,"
,我少年時代敢若看過這个人，,"guá siàu-liân sî-tāi kán-ná khuànn-kuè tsit ê lâng,"
,我講的就是你啦！,guá kóng --ê tō sī lí --lah!
,啊！,Ah!
,生做誠成，,"Senn-tsò tsiânn sîng,"
,庄跤面啊庄跤面，,"tsng-kha-bīn --ah tsng-kha-bīn,"
,啊誠古意，,"ah tsiânn kóo-ì,"
,啊嘛有淡薄仔倔強，,"ah mā ū tām-po̍h-á khut-kiông,"
,啊驚歹勢啊驚歹勢，,"ah kiann pháinn-sè --ah kiann pháinn-sè,"
,猶毋過乎三不五時仔乎嘛是誠hong-sî，,"iáu-m̄-koh --honnh sam-put-gōo-sî-á --honnh mā sī tsiânn hong-sî,"
,我按呢講你袂無歡喜啦乎？,guá án-ne kóng lí bē bô huann-hí --lah --honnh?
,喂！,Ueh!
,是講乎我較無了解的是乎，,"Sī kóng --honnh guá khah bô liáu-kái--ê sī --honnh,"
,伊彼頭毛乎敢一定愛抹甲遐油諾？,i he thâu-moo --honnh kám it-tīng ài buah kah hiah iû --hioh?
,啊！,Ah!
,抹甲規个額頭按呢金鑠鑠，,"Buah kah kui-ê hia̍h-thâu án-ne kim-siak-siak,"
,啊閣有啦伊佮阮講話敢一定著愛遐爾仔出力，,"ah koh ū --lah i kah gún kóng-uē kám it-tīng to̍h-ài hiah-nī-á tshut-la̍t,"
,一句話乎攏愛講 兩 遍以上，,"tsi̍t kù uē --honnh lóng ài kóng  nn̄g  piàn í-siōng,"
,恁講按呢好毋好啊！,lín kóng án-ne hó m̄ hó --ah!
,按呢有好毋好啊！,Án-ne ū hó m̄ hó --ah!
,哈哈，,"Ha ha,"
,是講乎伊毋知會選牢袂，,"sī kóng --honnh i m̄ tsai ē suán tiâu --bē,"
,啊伊若選牢乎，,"ah i nā suán tiâu --honnh,"
,電視頂乎定定就有伊的鏡頭，,"tiān-sī-tíng --honnh tiānn-tiānn tō ū i ê kiànn-thâu,"
,啊我若看著伊乎，,"ah guá nā khuànn-tio̍h i --honnh,"
,啊我就會想著你，,"ah guá tō ē siūnn-tio̍h lí,"
,啊閣想著恁，,"ah koh siūnn-tio̍h lín,"
,啊想著我的青春佮我一世人。,ah siūnn-tio̍h guá ê tshing-tshun kah guá tsi̍t-sì-lâng.
,喂！,Ueh!
,啊是講恁哪會攏袂老啦！,Ah sī kóng lín ná ē lóng bē lāu --lah!
,唅？,Hannh?
,活咧的人毋才會老，,"Ua̍h --leh ê lâng m̄-tsiah ē lāu,"
