Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,今仔日是欲參加 蔡 家的生日宴會。,Kin-á-ji̍t sī beh tsham-ka  Tshuà  --ka ê senn-ji̍t iàn-huē.
,我問你到底人走去tueh？,Guá mn̄g --lí tàu-té lâng tsáu khì tueh?
,毋過，,"M̄-koh,"
,頭家娘若欲出去攏無共我講。,thâu-ke-niû nā beh tshut-khì lóng bô kā guá kóng.
,共你講？,Kā lí kóng?
,人咧？,Lâng --leh?
,昨暗嘛無看見伊出去。,Tsa-àm mā bô khuànn-kìnn i tshut-khì.
,我無佇咧的時，,"Guá bô tī-leh ê sî,"
,伊捌踮外口過暝無？,i bat tàm guā-kháu kè-mî --bô?
,伊毋捌按呢啦！,I m̄ bat án-ne --lah!
,派人去揣！,Phài lâng khì tshuē!
,好！,Hó!
,你是 高鳳嬌 小姐是毋？,Lí sī  Ko Hōng-kiau  sió-tsiá sī --m̄?
,高景敏 是毋是你的大兄？,Ko Kíng-bín  sī m̄ sī lí ê tuā-hiann?
,是啦！,Sī --lah!
,是怎樣？,Sī-tsánn-iūnn?
,呃，,"Eh,"
,我欲共你報告一个不幸的消息！,guá beh kā lí pò-kò tsi̍t ê put-hīng ê siau-sit!
,拄才 野柳 派出所有電話來，,"Tú-tsiah  Iá-liú  phài-tshut-sóo ū tiān-uē lâi,"
,有一臺遊艇失事，,"ū tsi̍t tâi iû-thíng sit-sū,"
,船內一對男女跋落海中，,"tsûn-lāi tsi̍t tuì lâm-lú pua̍h lo̍h hái-tiong,"
,男的死體已經揣著，,"lâm ê sí-thé í-king tshē--tio̍h,"
,可能是 高景敏 ，,"khó-lîng sī  Ko Kíng-bín ,"
,你來看覓咧！,lí lâi khuànn-māi --eh!
,啥物？,Siánn-mih?
,我的大兄？,Guá ê tuā-hiann?
,是啦！,Sī --lah!
,女的只干焦留一跤皮包，,"Lú--ê tsí kan-na lâu tsi̍t kha phê-pau,"
,啊屍體揣猶未著！,ah si-thé tshē á-bē tio̍h!
,希望高小姐你即時來現場認屍！,Hi-bāng Ko sió-tsiá lí tsik-sî lâi hiān-tiûnn jīn si!
,好！,Hó!
,哪有這號代誌？,Ná ū tsit lō tāi-tsì?
,伊今仔日欲去 香港 ！,I kin-á-ji̍t bueh khì  Hiong-káng !
,我想講恁結婚七、八年矣，,"Guá siūnn-kóng lín kiat-hun tshit, pueh nî --ah,"
