Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,新娘來喔，,"Sin-niû lâi --ooh,"
,新娘來喔！,sin-niû lâi --ooh!
,新娘媠噹噹！,Sin-niû suí-tang-tang!
,足媠的！,Tsiok suí --ê!
,新娘媠噹噹！,Sin-niû suí-tang-tang!
,恭喜喔、恭喜！,"Kiong-hí --ooh, kiong-hí!"
,足媠的呢！,Tsiok suí --ê --neh!
,新娘足媠的！,Sin-niû tsiok suí --ê!
,來來來！,Lâi lâi lâi!
,等待車門兩邊開，,"Tán-thāi tshia-mn̂g lióng pian khai,"
,金銀財寶做伙來，,"kim-gîn tsâi-pó tsò-hué lâi,"
,新人歡喜入房內，,"sin-lîn huann-hí ji̍p pâng-lāi,"
,生囝生孫狀元才。,senn-kiánn senn sun tsiōng-guân tsâi.
,木成 啊！,Bo̍k-sîng  --ah!
,你閣徛咧遮創啥，,"Lí koh khiā leh tsia tshòng sánn,"
,來看新娘仔，,"lâi khuànn sin-niû-á,"
,足媠的呢！,tsiok suí --ê --neh!
,拜。,Pài.
,送入洞房。,Sàng ji̍p tōng-pâng.
,蓋棉被。,Kah mî-phuē.
,拜託咧，,"Pài-thok --eh,"
,人咧無急，,"lâng leh bô kip,"
,恁兩个是咧急啥啦？,lín nn̄g ê sī leh kip sánn --ah ?
,啊重點就佇咧遮啊。,Ah tiōng-tiám tō tī-leh tsia --ah.
,就是meh。,Tō sī --meh.
,三八啦。,Sam-pat --lah.
,掀頭巾。,Hian thâu-kin.
,今仔日真歡喜呢！,Kin-á-ji̍t tsin huann-hí --neh!
,我的後生佮牡丹小姐，,"Guá ê hāu-sinn kah Bóo-tan sió-tsiá,"
,兩人牽手結連理，,"nn̄g lâng khan-tshiú kiat liân lí,"
,來建立一个新的家庭，,"lâi kiàn-li̍p tsi̍t ê sin ê ka-tîng,"
,乎，,"honnh,"
,翁某同心，,"ang-bóo tâng-sim,"
,共同奮鬥，,"kiōng-tông hùn-tàu,"
,恩恩愛愛一世人！,un-un-ài-ài tsi̍t-sì-lâng!
,講了好、講了好！,"Kóng liáu hó, kóng liáu hó!"
,哈哈哈。,Ha ha ha.
,閣有，,"Koh ū,"
,乎，,"honnh,"
,啊 木成仔 咧？,ah  Bo̍k-sîng--á  --leh?
,木成 喔？,Bo̍k-sîng  --ooh?
,木成 啊、 木成 喔、 木成 啊！,"Bo̍k-sîng  --ah,  Bo̍k-sîng  --ooh,  Bo̍k-sîng  --ah!"
,佇遐，,"Tī hia,"
,嘿嘿！,heh heh!
,頭家！,Thâu-ke!
,十幾年前呢，,"Tsa̍p kuí nî tsîng --neh,"
,我佇咱遮的彼火車頭口遐仔，,"guá tī lán tsia ê he hué-tshia-thâu-kháu hia--á,"
,看著一个囡仔佇咧擦皮鞋，,"khuànn-tio̍h tsi̍t ê gín-á tī-leh tshat phê-uê,"
,伊擦了足認真的，,"i tshat liáu tsiok līn-tsin --ê,"
,我佇後壁偷偷仔共看啦，,"guá tī āu-piah thau-thau-á kā khuànn --lah,"
,伊攏無發現著，,"i lóng bô huat-hiān --tio̍h,"
,我入來共問講，,"guá ji̍p-lâi kā mn̄g kóng,"
,啊你是佮啥物人學的啊？,ah lí sī kah sánn-mih lâng o̍h --ê --ah?
,伊共我講乎，,"I kā guá kóng --honnh,"
,伊攏無佮人學，,"i lóng bô kah lâng o̍h,"
,乎，,"honnh,"
,伊就看人擦過，,"i tō khuànn lâng tshat--kuè,"
,啊自然就會曉矣，,"ah tsū-liân tō ē-hiáu --ah,"
,我就啊共這个囡仔𤆬轉來厝裡，,"guá tsiū ah kā tsit ê gín-á tshuā tńg--lâi tshù--e,"
,教伊做皮鞋，,"kà i tsò phê-ê,"
,果然無錯，,"kó-liân bô tshò,"
,頭殼真巧真認真，,"thâu-khak tsin khiáu tsin līn-tsin,"
,一學就會曉，,"tsi̍t o̍h tō ē-hiáu,"
,鞋仔嘛做甲真好。,ê-á mā tsò kah tsin hó.
,正義啊，,"Tsìng-gī --ah,"
,啊今仔日乎，,"ah kin-á-ji̍t --honnh,"
,是 榮燦 的好日子，,"sī  Îng-tshàn  ê hó ji̍t-tsí,"
,啊你講這欲創啥啦？,ah lí kóng tse beh tshòng siánn --lah?
,你恬恬聽我講啦。,Lí tiām-tiām thiann guá kóng --lah.
,今仔日呢，,"Kin-á-ji̍t --neh,"
,是阮 黃 家雙喜臨門的好日子，,"sī guán  N̂g  --ka siang hí lîm mn̂g ê hó ji̍t-tsí,"
,頭一喜呢，,"thâu tsi̍t hí --neh,"
,是我的後生娶新婦，,"sī guá ê hāu-sinn tshuā-sin-pū,"
,乎，,"honnh,"
,啊第二喜呢，,"ah tē-jī hí --neh,"
,我準備欲共這个囡仔收改做我家己的囝。,guá tsún-pī beh kā tsit ê gín-á siu kái-tsò guá ka-tī ê kiánn.
,我欲掠。,Guá beh lia̍h.
,我嘛欲掠。,Guá mā beh lia̍h.
,我掠著矣。,Guá lia̍h-tio̍h --ah.
,彼是啥？,He sī siánn?
,相機啊。,Siòng-ki --ah.
,翕相的喔？,Hip-siòng --ê --ooh?
,哈、著！,"Ha, tio̍h!"
,嘻，,"Hi,"
,啊毋緊翕！,ah m̄ kín hip!
,喔好！,Ooh hó!
,翕我！,hip guá!
,等咧！,Tán --eh!
,莫急！,Mài kip!
,好、好！,"Hó, hó!"
,慢慢仔來！,Bān-bān-á lâi!
,好啦、好啦！,"Hó --lah, hó --lah!"
,慢慢仔來！,Bān-bān-á lâi!
,一个一个來，,"Tsi̍t ê tsi̍t ê lâi,"
,好無？,hó --bô?
,莫搶、莫搶！,"Mài tshiúnn, mài tshiúnn!"
,啊！,Ah!
,恁猶閣咧佇遮耍？,Lín iah koh leh tī tsia sńg?
,緊去 萬財 叔in兜食滿月酒，,"Kín khì  Bān-tsâi  tsik in tau tsia̍h muá-gue̍h-tsiú,"
,欲袂赴矣啦。,beh bē-hù --ah --lah.
,你受傷矣喔？,Lí siū-siong --ah --ooh?
,我拄仔聽你講你欲去 萬財 遐，,"Guá tú-á thiann lí kóng lí beh khì  Bān-tsâi  hia,"
,我綴你來去好無？,guá tuè lí lâi-khì hó --bô ?
