Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,小馬 ，,"Sió-má ,"
,你若有想欲佮我久長，,"lí nā ū siūnn-beh kah guá kú-tn̂g,"
,我交代你的代誌，,"guá kau-tài lí ê tāi-tsì,"
,你愛會記得做喔。,lí ài ē-kì-eh tsò --ooh.
,有聽咧無？,Ū thiann --eh --bô?
,知影啦。,Tsai-iánn --lah.
,時間若配合無拄好，,"Sî-kan nā phuè-ha̍p bô tú-hó,"
,一切就變成水泡。,it-tshè tō piàn-sîng tsuí-phau.
,哪著交代。,Ná tio̍h kau-tài.
,啊！,Ah!
,搖啊搖。,Iô --ah iô.
,奶母。,Ni-bú.
,唅？,Hannh?
,阮媽媽咧？,Gún má-mah --leh?
,毋通吵伊，,"M̄-thang tshá --i,"
,媽媽人艱苦，,"má-mah lâng kan-khóo,"
,這陣入去內面食藥。,tsit-tsūn ji̍p-khì lāi-bīn tsia̍h io̍h.
,喔，,"Ooh,"
,爸爸！,Pá-pah!
,Mh？,Mh?
,賊喔、,"Tsha̍t --ooh,"
,賊啦，,"tsha̍t --lah,"
,緊來掠啦，,"kín lâi lia̍h --lah,"
,賊喔！,tsha̍t --ooh!
,喂，,"Uê,"
,啥物人？,siánn-mih lâng?
,你講欲轉去，,"Lí kóng beh tńg--khì,"
,我掠做是咧共我騙，,"guá lia̍h-tsò sī leh kā guá phiàn,"
,所以我毋才會敲電話予你。,sóo-í guá m̄-tsiah ē khà tiān-uē hōo --lí.
,有代誌緊講啦，,"Ū tāi-tsì kín kóng --lah,"
,我的厝內這陣若像有著賊偷佇咧。,guá ê tshù-lāi tsit-tsūn ná-tshiūnn ū tio̍h-tsha̍t-thau tī --eh.
,緊揣看覓咧，,"Kín tshē khuànn-māi --leh,"
,i̋ng暗我才佮你聯絡。,i̋ng-àm guá tsiah kah lí liân-lo̍k.
,呃？,Eh?
,啊，,"Ah,"
,志明 ，,"Tsì-bîng ,"
,有。,ū.
,有啥物啦？,Ū siánn-mih --lah?
,這領內褲啥物人的？,Tsit niá lāi-khòo siánn-mih lâng ê?
,啥物人的？,Siánn-mih lâng ê?
,我毋知影，,"Guá m̄ tsai-iánn,"
,啊！,ah!
,你想講我外面有查某，,"Lí siūnn-kóng guá guā-bīn ū tsa-bóo,"
,你會當厝內共我討客兄。,lí ē-tàng tshù-lāi kā guá thó-kheh-hiann.
,志明 ，,"Tsì-bîng ,"
,我太客氣是毋？,Guá thài kheh-khì sī --m̄?
,你客兄光時白日共我𤆬入門，,"Lí kheh-hiann kng-sî-pe̍h-li̍t kā guá tshuā ji̍p-mn̂g,"
,我猶閣客氣佇咧外面咧偷來暗去，,"guá ah-koh kheh-khì tī-leh guā-bīn leh thau-lâi-àm-khì,"
,啊唷，,"Ah --ioh,"
,頭家啊，,"thâu-ke --ah,"
,毋通拍啦。,m̄-thang phah --lah.
,爸爸、,"Pá-pah,"
,媽媽。,má-mah.
,你莫拍媽媽啦。,lí mài phah má-mah --lah.
,走啦。,Tsáu --lah.
,頭家啊，,"Thâu-ke --ah,"
,毋通啦，,"m̄-thang --lah,"
,好矣啦。,hó --ah --lah.
,你甲有客兄，,"Lí kah ū kheh-hiann,"
,規氣予你去自由，,"kui-khì hōo lí khì tsū-iû,"
,即時共我出去，,"tsik-sî kā guá tshut-khì,"
,出去。,tshut-khì.
,好矣啦。,Hó --ah --lah.
,出去啦！,Tshut-khì --lah!
,媽媽、,"má-mah,"
,媽媽、,"má-mah,"
,媽媽！,má-mah!
,恁這間是當時換頭家的，,"Lín tsit king sī tang-sî uānn thâu-ke --ê,"
,我哪會攏毋知影。,guá ná ē lóng m̄ tsai-iánn.
,半個外月矣，,"Puànn kò guā ge̍h --ah,"
,頭家娘是 臺北 來的，,"thâu-ke-niû sī  Tâi-pak  lâi --ê,"
,伊做人真好。,i tsò-lâng tsin hó.
,來坐，,"Lâi tsē,"
,來坐。,lâi tsē.
,我頭一擺做這个生理，,"Guá thâu tsi̍t pái tsò tsit ê sing-lí,"
,若有啥物欠點抑是招待不周，,"nā ū siánn-mih khiàm tiám a̍h-sī tsiau-thāi-put-tsiu,"
,請多多指教唅。,tshiánn to-to tsí-kàu --hannh.
,頭家娘，,"Thâu-ke-niû,"
,你哪會遐客氣nooh。,lí ná ē hiah kheh-khì --nooh.
,啊這領洋裝足媠的，,"Ah tsit niá iûnn-tsong tsiok suí --ê,"
,借我看一下乎！,tsioh guá khuànn --tsi̍t-ē --honnh!
,好、,"Hó,"
,好！,hó!
,姊姊。,Tse--tseh.
,秀娟 、,"Siù-kuan ,"
,鴻文 。,Hông-bûn .
,唅？,Hannh?
,太太走矣，,"Thài-thài tsáu --ah,"
,細姨錢拐咧綴人走矣。,sè-î tsînn kuái --leh tuè lâng tsáu --ah.
,出來。,Tshut-lâi.
,這个大漢tsa̋u 囝乎真可憐，,"Tsit ê tuā-hàn tsa̋u-kiánn --honnh tsin khó-liân,"
,遐爾細漢就閣愛育彼號細漢小妹。,hiah-nī sè-hàn tō koh ài io hit-lō sè-hàn sió-muē.
,有錢的時陣乎，,"Ū-tsînn ê sî-tsūn --honnh,"
,就來揣姑娘，,"tō lâi tshuē koo-niû,"
,娶細姨啦。,tshuā suè-î --lah.
,報應啦！,Pò-ìng --lah!
,你按呢，,"Lí án-ne,"
,啊你閣問我講欲創啥貨，,"ah lí koh mn̄g guá kóng beh tshòng siánn-hè,"
,人咧？,lâng --leh?
,哼，,"Hng,"
,mh，,"mh,"
,我知喔，,"guá tsai --ooh,"
,照實講，,"tsiàu-si̍t kóng,"
,你是去貼著佗一个？,lí sī khì tah-tio̍h tueh tsi̍t ê?
,你罵我痟豬母喔？,Lí mā guá siáu ti-bó --ooh?
,哎唷！,Aih --ioh!
,哎，,"Aih,"
,人我是講去買一塊小小的豬母肉呢，,"lâng guá sī kóng khì bué tsi̍t tè sió-sió ê ti-bú bah --neh,"
,啊你按呢話聽無清楚，,"ah lí án-ne uē thiann bô tshing-tshóo,"
,見面一聲就共我按呢，,"kìnn-bīn tsi̍t-siann tō kā guá án-ne,"
,功夫閣袂䆀喔，,"kang-hu koh buē-bái --ooh,"
,喂這毋敢若彼號母夜叉佇咧叉麵龜咧。,eh tse m̄ kánn-ná hit-lō bó-iā-tshe tī-leh tshe mī-ku --leh.
,若佮意乎，,"Nā kah-ì --honnh,"
,閣來一步「 風鳥栽官蘭 」。,koh lâi tsi̍t pōo “ Hong niáu tsai kuann-lân .”
,喂，,"Eh,"
,擋咧！,tòng --leh!
,哎、,"Ai,"
,哎喲喂啊、,"ai-iō-uê --ah,"
,哎喲。,ai-iō.
,哈哈哈哈。,Ha ha ha ha.
,無啊你這步啥物貨唅？,Bô --ah lí tsit pōo siánn-mih huè --hannh?
,喂，,"Eh,"
,這步喔，,"tsit pōo --ooh,"
,這「雞胿順風飛」咧，,"tse “Ke-kui sūn-hong pe” --leh,"
,嘿嘿。,heh heh.
,好，,"Hó,"
,本姑娘。,pún koo-niû.
,我咧弄獅頭啦，,"Guá teh lāng sai-thâu --lah,"
,哈哈哈哈哈哈。,ha ha ha ha ha ha.
,恁去死啦。,Lín khì sí --lah.
,嘿嘿嘿，,"Heh heh heh,"
,喂，,"eh,"
,頇顢頇顢啦，,"han-bān han-bān --lah,"
,啊功夫啦，,"ah kang-hu --lah,"
,就咱遮的厝邊頭尾的老師爸佮老師姆啦，,"tō lán tsia-ê tshù-pinn-thâu-bé ê lāu sai-pē kah lāu sai-ḿ --lah,"
,喂，,"eh,"
,喂，,"eh,"
,今仔日乎，,"kin-á-li̍t --honnh,"
,來遮就是欲來講古 福來 氣球公司的太空氣球。,lâi tsia tō sī beh lâi kóng-kóo  Hok-lâi  khì-kiû kong-si ê thài-khong khì-kiû.
,死人啊，,"Sí-lâng --ah,"
,菜冷去矣啦，,"tshài líng--khì --ah --lah,"
,猶閣踮遐脫？,iah-koh tiàm hia thuat.
,顧講，,"Kòo kóng,"
,煞袂記得講我一个腹肚枵甲,suah bē-kì-eh kóng guá tsi̍t ê pak-tóo iau kah
,敢若乎過暝的雞胿仔咧，,"kánn-ná --honnh kè-mî ê ke-kui-á --leh,"
,啊恁嘛好轉去食暗矣呢。,"Ah lín mā hó tńg-khì tsia̍h-àm --ah --neh,"
,哈哈哈哈。,Ha ha ha ha.
,喂，,"Ueh,"
,今轉來矣、,"tann tńg--lâi --ah,"
,轉來矣。,tńg--lâi --ah.
,你做生理轉來矣，,"lí tsuè sing-lí tńg--lâi --ah,"
,Mh？,Mh?
,你讀書這馬才轉來喔？,Lí tha̍k-tsu tsit-má tsiah tńg--lâi --ooh?
,去賣獎券啦。,Khì buē tsióng-kuàn --lah.
,啊？,Ah?
,唅？,Hannh?
,賣獎券？,Buē tsióng-kuàn?
,阿伯、,"A-peh,"
,阿姆，,"a-ḿ,"
,我欲來煮飯矣。,guá beh lâi tsú-pn̄g --ah.
,喔喔，,"Ooh ooh,"
,好。,hó.
,嘿，,"Heh,"
,遮細漢就遮骨力。,tsiah suè-hàn tō tsiah kut-la̍t.
,咱緊轉來食飯啦。,Lán kín tńg--lâi tsia̍h-pn̄g --lah.
,搖喔搖搖搖。,Iô --ooh iô iô iô.
,鴻文 啊，,"Hông-bûn  --ah,"
,恁姊姊轉來矣呢。,lín tse--tseh tńg--lâi --ah --neh.
,唅？,Hannh?
,阮姊姊轉來矣。,Guán tse--tseh tńg--lâi --ah.
,喂，,"Eh,"
,今咱兩个結婚遮爾久，,"tann lán nn̄g ê kiat-hun tsiah-nī kú,"
,啊連啥生一隻虼蚻就無啦，,"ah liân siánn sinn tsi̍t tsiah ka-tsua̍h tō bô --lah,"
,啊in一下搬來乎，,"ah in tsi̍t-ē puann --lâi --honnh,"
,秀娟 佮 鴻文仔 閣真有咱的緣呢，,"Siù-kuan  kah  Hông-bûn--á  koh tsin ū lán ê iân --neh,"
,啊人我買一塊肉就是欲提來去予in食的啦。,ah lâng guá bué tsi̍t tè bah tō sī beh the̍h lâi-khì hōo in tsia̍h --ê --lah.
,唅？,Hannh?
,你這馬代誌哪毋免冗早共我講。,Lí tsit-má tāi-tsì ná m̄-bián liōng-tsá kā guá kóng.
,啊我這陣共你講，,"Ah guá tsit-tsūn kā lí kóng,"
,你就咧大細聲矣，,"lí tō leh tuā-suè-siann --ah,"
,會堪得冗早講。,ē kham-eh liōng-tsá kóng.
,唅，,"Hannh,"
,你！,lí!
,謼，,"Hooh,"
,按呢啦、,"án-ni --lah,"
,按呢啦，,"án-ni--lah,"
,哼。,hngh.
,我買這个創啥貨？,Guá bé tsit ê tshòng siánn-hè?
,啊，,"Ah,"
,我知啦，,"guá tsai --lah,"
,你早起時仔貧惰起來起火，,"lí tsái-khí-sî-á pîn-tuānn khí-lâi khí-hé,"
,洗米，,"sué bí,"
,煮糜予我食，,"tsír bê hōo guá tsia̍h,"
,所以泡牛奶欲予我配麵包的啦。,sóo-í phàu gû-ni beh hōo guá phè mī-pau ê --lah.
,食你欲食啦，,"Tsia̍h lí beh tsia̍h --lah,"
,你若閣減二、三十歲仔乎，,"lí nā koh kiám lī, sann-tsa̍p huè--á --honnh,"
,我才泡予你食。,guá tsiah phàu hōo lí tsia̍h.
,我閣減二、三十歲，,"Guá koh kiám lī, sann-tsa̍p hè,"
,啊毋賰一球仔，,"ah m̄ tshun tsi̍t kiû-á,"
,喔，,"ooh,"
,按呢我知，,"án-ni guá tsai,"
,你欲買予 秀娟 in小妹仔食的，,"lí beh bé hōo  Siù-kuan  in sió-bē-á tsia̍h --ê,"
,著毋？,tio̍h --m̄?
,Mh！,Mh!
,我是看 秀娟 in老爸揣的頭路攏是臨時工，,"guá sī khuànn  Siù-kuan  in lāu-pē tshuē ê thâu-lōo lóng sī lîm-sî-kang,"
,閣三做四歇睏，,"koh sann tsò sì hioh-khùn,"
,定定看in彼个細漢的佇咧共飼泔，,"tiānn-tiānn khuànn in hit ê sè-hàn--ê tī-leh kā tshī ám,"
,我拄才閣聽伊哭袂恬喔，,"guá tú-tsiah koh thiann i khàu buē tiām --ooh,"
,毋才乎，,"m̄-tsiah --honnh,"
,走去買一罐欲予伊。,tsáu khì bé tsi̍t kuàn beh hōo --i.
,啊，,"Ah,"
,按呢我緊提來去予伊。,án-ni guá kín the̍h lâi khì hōo --i.
,喂，,"Eh,"
,小等咧，,"sió-tán --leh,"
,我想著矣啦，,"guá siūnn-tio̍h --ah --lah,"
,你這馬若提去予 秀娟 乎，,"lí tsit-má nā the̍h-khì hōo  Siù-kuan  --honnh,"
,伊絕對毋共咱提的啦，,"i tsua̍t-tuì m̄ kā lán the̍h --ê --lah,"
,等候in爸爸轉來咱才提予伊。,tán-hāu in pá-pah tńg--lâi lán tsiah the̍h hōo --i.
,Mh，,"Mh,"
,這步嘛無通，,"tsit pōo mā bô thong,"
,會去剋著人的意思。,ē khì khik-tio̍h lâng ê ì-sù.
,唅，,"Hannh,"
,按呢欲按怎？,án-ne beh án-tsuánn?
,肉若煮熟乎，,"bah nā tsú-si̍k --honnh,"
,捀來去予in，,"phâng lâi-khì hōo --in,"
,按呢意思就無仝款矣呢。,án-ne ì-sù tō bô kāng-khuán --ah --neh.
,按呢嘛無通，,"án-ni mā bô thong,"
,啊就無代無誌提物件欲去予人，,"ah tō bô-tāi-bô-tsì the̍h mn̍gh-kiānn beh khì hōo --lâng,"
,按呢嘛袂用得呢。,án-ni mā buē-īng-eh --neh.
