Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,翠翠 啊。,Tshuì-tshuì  --ah.
,救人喔！,Kiù-lâng --ooh!
,翠翠 啊。,Tshuì-tshuì  --ah.
,救人喔！,Kiù-lâng --ooh!
,我、,"Guá,"
,我毋敢倚去，,"guá m̄ kánn uá--khì,"
,我會驚。,guá ē kiann.
,緊來救咧啦！,Kín lâi kiù --leh --lah!
,我，,"Guá,"
,免你啦。,bián lí --lah.
,去啦，,"Khì --lah,"
,你是怎樣呢？,lí sī tsánn-iūnn --nih?
,救人喔、,"Kiù-lâng --ooh,"
,救人喔，,"kiù-lâng --ooh,"
,緊來救啦，,"kín lâi kiù --lah,"
,啊！,ah!
,緊來救咧，,"Kín lâi kiù --leh,"
,救人喔！,kiù-lâng --ooh!
,哎喲！,Ai-iō!
,伊無法度啦。,I bô-huat-tōo --lah.
,真多謝乎。,Tsin to-siā --honnh.
,免客氣。,Bián kheh-khì.
,哎喲、,"Ai-iō,"
,哎喲。,ai-iō.
,啊！,Ah!
,三八，,"Sam-pat,"
,食甲 三十 歲矣，,"tsia̍h kah  sann-tsa̍p  hè --ah,"
,囡仔性猶閣放袂離喔。,gín-á-sìng iáu-koh pàng buē lī --ooh.
,母仔，,"Bú--á,"
,表小弟寫批講下晡欲轉來，,"piáu-sió-tī siá phue kóng ē-poo beh tńg--lâi,"
,哪會到這陣猶未飛轉來唅？,ná ē kàu tsit-tsūn iáu-buē pe --tńg-lâi --hannh?
,啊，,"Ah,"
,表小弟、,"piáu-sió-tī,"
,表小弟啊。,piáu-sió-tī --ah.
,喔，,"Ooh,"
,表姊，,"Piáu-tsí,"
,這个所在真好。,tsit ê sóo-tsāi tsin hó.
,來講。,Lâi --kóng.
,喂，,"Eh,"
,莫振動喔，,"mài tín-tāng --ooh,"
,斡過來一絲仔，,"uat --kè-lâi --tsi̍t-si-á,"
,過來一絲仔啦，,"kè-lâi --tsi̍t-si-á --lah,"
,哎啊毋是啦，,"aih-iah m̄ sī --lah,"
,斡過這爿啦。,uat-kè tsit pîng --lah.
,較正的，,"Khah tsiànn --ê,"
,喂、,"eh,"
,喂著，,"eh tio̍h,"
,笑一下。,tshiò --tsi̍t-ē.
,哼？,Hngh?
,表小弟啊，,"Piáu-sió-tī --ah,"
,你是按怎啦？,lí sī-án-tsuánn --lah?
,嘿。,Heh.
,喔，,"Ooh,"
,我知影矣啦，,"guá tsai-iánn --ah --lah,"
,哈哈！,ha ha!
,阿爸。,A-pah.
,遮爾暗矣，,"Tsiah-nī àm --ah,"
,猶未睏？,iáu-bē khùn?
,好啦！,Hó --lah!
,我的心、,"Guá ê sim,"
,我的骨、,"guá ê kut,"
,哼！,hngh!
,今你閣家己佇咧痟啥物貨唅？,Tann lí koh ka-kī tī-leh siáu siánn-mih hè --hannh?
,啊就，,"Ah tō,"
,按呢啦。,án-ni --lah.
,啥物啊？,Siánn-mih --ah?
,欲按呢？,Beh án-ni?
,嘿啦。,Heh --lah.
,哼，,"Hngh,"
,起痟。,khí-siáu.
