Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
"Sep 15, 2018 01_25.wav",八百空二篇，外交政策佮bàn-bah貼紙,"Peh-pah khòng jī phinn, guā-kau tsìng-tshik kah bàn-bah tah-tsuá",,
,外交政策佮bàn-bah貼紙,Guā-kau tsìng-tshik kah bàn-bah tah-tsuá,,
,美國總統Barack Obama主導 Iran核子問題的談判，,"Bí-kok tsóng-thóng Barack Obama tsú-tō Iran hi̍k-tsú būn-tê ê tâm-phuànn,",,
,4月初談成原則要點，,"4 gue̍h-tshe tâm sîng guân-tsik iàu-tiám,",,
,有希望佇6月底以前達成協議。,ū hi-bāng tī 6 gue̍h-té í-tsîng ta̍t-sîng hia̍p-gī.,,
,另外，,"Līng-guā,",,
,伊閣佮Cuba總統Raúl Castro見面會談，,"i koh kah Cuba tsóng-thóng Raúl Castro kìnn-bīn huē-tâm,",,
,推動兩國外交正常化。,thui-tōng nn̄g kok guā-kau tsìng-siông-huà.,,
,贊成者呵咾伊行務實路線，,"Tsàn-sîng-tsiá o-ló i kiânn bū-si̍t lōo-suànn,",,
,毋過共和黨佇國會共抵制，,"m̄-koh kiōng-hô-tóng tī kok-huē kā tí-tsè,",,
,講伊讓步傷濟。,kóng i niū-pōo siunn tsē.,,
,有意願抑是有可能佇2016年參選總統的共和黨人士，,"Ū ì-guān ia̍h-sī ū khó-lîng tī 2016 nî tsham-suán tsóng-thóng ê kiōng-hô-tóng jîn-sū,",,
,攏主張強硬的外交政策。,lóng tsú-tiunn kiông-ngē ê guā-kau tsìng-tshik.,,
,英國《金融時報》副總編輯Philip Stephens拜五的一篇文章，,"Ing-kok “Kim-iông sî-pò” hù tsóng-pian-tsi̍p Philip Stephens pài-gōo ê tsi̍t phinn bûn-tsiong,",,
,共遮的主張稱做「bàn-bah貼紙」的世界觀。,kā tsia-ê tsú-tiunn tshing-tsò “bàn-bah tah-tsuá” ê sè-kài-kuan.,,
,美國人時行佇車的bàn-bah頂頭貼一寡標語，,"Bí-kok-lâng sî-kiânn tī tshia ê bàn-bah  tíng-thâu tah tsi̍t-kuá piau-gí,",,
,表達家己的主張、趣味抑是講一寡笑詼。,"piáu-ta̍t ka-kī ê tsú-tiunn, tshù-bī ia̍h-sī kóng tsi̍t-kuá tshiò-khue.",,
,Stephens就是剾洗共和黨，,"Stephens tō sī khau-sé kiōng-hô-tóng,",,
,講in喝欲按怎處理中東、中國佮Russia，,"kóng in huah beh án-tsuánn tshú-lí Tiong-tang, Tiong-kok kah Russia,",,
,只是家己喝爽的。,tsí-sī ka-kī huah sóng --ê.,,
,重點是：美國已經無像以前遐強大矣。,Tiōng-tiám sī: Bí-kok í-king bô tshiūnn í-tsîng hiah kiông-tāi --ah.,,
,而且，,"Jî-tshiánn,",,
,冷戰結束了後的世界，,"líng-tsiàn kiat-sok liáu-āu ê sè-kài,",,
,袂當簡單看做正邪雙方之爭。,bē-tàng kán-tan khuànn-tsò tsìng siâ siang-hong tsi tsing.,,
,比論講，,"Pí-lūn kóng,",,
,Islam國是一个大威脅，,"Islam kok sī tsi̍t ê tuā ui-hia̍p,",,
,毋過Iran閣是Islam國的死對頭。,m̄-koh Iran koh sī Islam kok ê sí-tuì-thâu.,,
,作者認為，,"Tsok-tsiá jīn-uî,",,
,Obama有認清這个複雜的世界新形勢，,"Obama ū jīn-tshing tsit ê ho̍k-tsa̍p ê sè-kài sin hîng-sè,",,
,伊佮Iran發展關係是真有勇氣的一步。,i kah Iran huat-tián kuan-hē sī tsin ū ióng-khì ê tsi̍t pōo.,,
,Stephens嘛毋是完全咧替Obama辯護。,Stephens mā m̄ sī uân-tsuân teh thè Obama piān-hōo.,,
,伊認為，,"I jīn-uî,",,
,對Obama的批判內底，,"tuì Obama ê phue-phuànn lāi-té,",,
,有部分道理的，,"ū pōo-hūn tō-lí --ê,",,
,是講伊為著結束前總統George W. Bush留落來的兩場戰爭，,"sī kóng i uī-tio̍h kiat-sok tsîng tsóng-thóng George W. Bush lâu --lo̍h-lâi ê nn̄g tiûnn tsiàn-tsing,",,
,Iraq佮Afghanistan，,"Iraq kah Afghanistan,",,
,煞佇其他所在傷過細膩。,suah tī kî-thann sóo-tsāi siunn kuè sè-jī.,,
,這予全世界的盟邦佮敵人看在眼內，,"Tse hōo tsuân sè-kài ê bîng-pang kah ti̍k-jîn khuànn tsāi gán-lāi,",,
,有不利的影響。,ū put-lī ê íng-hióng.,,
,舉例講，,"Kí-lē kóng,",,
,Syria政府一再用化學武器攻擊平民，,"Syria tsìng-hú it-tsài īng huà-ha̍k bú-khì kong-kik pîng-bîn,",,
,早就迒過Obama的紅線，,"tsá tō hānn-kuè Obama ê âng-suànn,",,
,毋過美國攏無實際行動。,m̄-koh Bí-kok lóng bô si̍t-tsè hîng-tōng.,,
,中國佇東海佮南海直直出招，,"Tiong-kok tī Tang-hái kah Lâm-hái ti̍t-ti̍t tshut-tsiau,",,
,就是估算美國想欲避免衝突。,tō sī kóo-sǹg Bí-kok siūnn-beh pī-bián tshiong-tu̍t.,,
