Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,Hillary Clinton欲終結大量監禁,Hillary Clinton beh tsiong-kiat tāi-liōng kam-kìm
,佇美國Baltimore種族暴動當炎的時，,"Tī Bí-kok Baltimore tsíng-tso̍k pō-tōng tng iām ê sî,"
,爭取民主黨提名參選總統的Hillary Clinton宣示欲「終結大量監禁的時代 」。,tsing-tshú bîn-tsú-tóng thê-miâ tsham-suán tsóng-thóng ê Hillary Clinton suan-sī beh “tsiong-kiat tāi-liōng kam-kìm ê sî-tāi”.
,美國20外年來刑事政策過度依賴監獄，,"Bí-kok 20 guā nî lâi hîng-sū tsìng-tshik kuè-tōo i-nāi kann-ga̍k,"
,後果尤其不利烏人。,hiō-kó iû-kî put-lī oo-lâng.
,Clinton想欲共這个政策反輾轉，,"Clinton siūnn beh kā tsit ê tsìng-tshik píng-liàn-tńg,"
,行向佮影響真值得關注。,kiânn hiòng kah íng-hióng tsin ta̍t-tit kuan-tsù.
,大量監禁，,"Tāi-liōng kam-kìm,"
,是一个真特殊的美國現象。,sī tsi̍t ê tsin ti̍k-sû ê Bí-kok hiān-siōng.
,有偌恐怖？,Ū guā khióng-pòo?
,就親像Clinton 4月29佇紐約的Columbia大學這場演說講的，,"Tō tshin-tshiūnn Clinton 4 gue̍h 29 tī Niú-iok ê Columbia tāi-ha̍k tsit tiûnn ián-suat kóng --ê,"
,全美國有超過200萬人佇咧關。,tsuân Bí-kok ū tshiau-kuè 200 bān lâng tī-leh kuainn.
,1/3的烏人男性，,"1/3 ê oo-lâng lâm-sìng,"
,一生中會入櫳仔至少一擺。,it-sing tiong ē ji̍p lông-á tsì-tsió tsi̍t pái.
,美國人口佔全世界無到5%，,"Bí-kok jîn-kháu tsiàm tsuân sè-kài bô kàu 5%,"
,毋過伊的監獄人口佔全世界監獄人口的25%。,m̄-koh i ê kann-ga̍k jîn-kháu tsiàm tsuân sè-kài kann-ga̍k jîn-kháu ê 25%.
,這造成的，,"Tse tsō-sîng --ê,"
,毋但是監獄傷𤲍、費用傷懸、管理困難爾爾。,"m̄-nā sī kann-ga̍k siunn kheh, huì-iōng siunn kuân, kuán-lí khùn-lân niā-niā."
,遮濟人去關，,"Tsiah tsē lâng khì kuainn,"
,對in厝內的衝擊是啥款？,tuì in tshù-lāi ê tshiong-kik sī siánn-khuán?
,in中斷的人生欲按怎？,In tiong-tuān ê jîn-sing beh án-tsuánn?
,Clinton講，,"Clinton kóng,"
,囚犯內底真大部分只是犯輕罪的，,"siû-huān lāi-té tsin tuā-pōo-hūn tsí-sī huān khin-tsuē --ê,"
,「共in關起來，無啥會降低犯罪，顛倒真會拆散家庭和社區」。,"“kā in kuainn --khí-lâi, bô siánn ē kàng-kē huān-tsuē, tian-tò tsin ē thiah-suànn ka-tîng hām siā-khu”."
,閣加上因為規个體系的偏見，,"Koh ka-siōng in-uī kui-ê thé-hē ê phian-kiàn,"
,烏人坐監的機會遠遠比白人較大、刑期較長。,"oo-lâng tsē-kann ê ki-huē uán-uán pí pe̍h-lâng khah tuā, hîng-kî khah tn̂g."
,遮的問題毋是新聞，,"Tsia-ê būn-tê m̄ sī sin-bûn,"
,專家學者佇十幾年前就捌警告過矣，,"tsuan-ka ha̍k-tsiá tī tsa̍p kuí nî tsîng tō bat kíng-kò--kuè --ah,"
,只是美國跨黨派的政治風向就按呢吹。,tsí-sī Bí-kok khuà tóng-phài ê tsìng-tī hong-hiòng tsiū-án-ne tshue.
,講來，,"Kóng--lâi,"
,造成大量監禁的關鍵，,"tsō-sîng tāi-liōng kam-kìm ê kuan-kiān,"
,是1994年的刑事法，,"sī 1994 nî ê hîng-sū huat,"
,這是Hillary Clinton in翁Bill Clinton做總統的時簽署的；,tse sī Hillary Clinton in ang Bill Clinton tsò tsóng-thóng ê sî tshiam-sú --ê;
,主導擬定的，,"tsú-tō gí-tīng --ê,"
,是彼陣的參議員、現任的副總統 Joe Biden。,"sī hit-tsūn ê tsham-gī-uân, hiān-jīm ê hù-tsóng-thóng Jue Biden."
,Hillary Clinton佇這時陣做這个宣示，,"Hillary Clinton tī tsit sî-tsūn tsò tsit ê suan-sī,"
,Slate新聞網站的評論家Jamelle Bouie認為真有時代意義，,"Slate sin-bûn bāng-tsām ê phîng-lūn-ka Jamelle Bouie jīn-uî tsin ū sî-tāi ì-gī,"
,尤其Clinton共終結大量監禁連結著更闊的社會不平等問題，,"iû-kî Clinton kā tsiong-kiat tāi-liōng kam-kìm liân-kiat-tio̍h kìng khuah ê siā-huē put pîng-tíng būn-tê,"
,佮警察改革，,"kah kíng-tshat kái-kik,"
