Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
"Oct 6, 2018_98.wav",八百十篇，教宗成做左派領袖？,"Peh-pah tsa̍p phinn, kàu-tsong tsiânn-tsò tsó-phài líng-siù? Kàu-tsong tsiânn-tsò tsó-phài líng-siù?",,
"Oct 6, 2018_99.wav",教宗Francis六月十八發佈「通諭」，呼籲世界共同對抗氣候變化。,"Kàu-tsong Francis la̍k-gue̍h tsa̍p-peh hō huat-pòo “thong-jū”,",,
"Oct 6, 2018_100.wav",毋但按呢，伊閣真大聲咧批評追求「短期佮私人利益」的消費主義，,"M̄-nā án-ne, i koh tsin tuā-siann leh phue-phîng tui-kiû “té-kî kah su-jîn lī-ik” ê siau-huì tsú-gī,",,
"Oct 6, 2018_101.wav",伊予評論者寫講「羅馬天主教廷這馬是一粒一的資本主義批判者」。,i hōo phîng-lūn-tsiá siá kóng “Lô-má Thian-tsú kàu-tîng tsit-má sī it-lia̍p-it ê tsu-pún tsú-gī phue-phuànn-tsiá”.,,
"Oct 6, 2018_102.wav",這句是英國《衛報》的專欄作家Giles Fraser的理解，伊嘛是一个英國國教的教區牧師。,"Tsit kù sī Ing-kok “Uē-pò” ê tsuan-nuâ tsok-ka Giles Fraser ê lí-kái, i mā sī tsi̍t ê Ing-kok kok-kàu ê kàu-khu bo̍k-su.",,
"Oct 6, 2018_103.wav",伊閣寫講「當左派佇全世界失去權威，教廷又閣講話有聲」。,"I koh siá kóng “Tng tsó-phài tī tsuân sè-kài sit-khì khuân-ui, Kàu-tîng iū-koh kóng-uē ū siann"".",,
"Oct 6, 2018_104.wav",教宗的英文版通諭有三萬七千外字。,Kàu-tsong ê Ing-bûn-pán thong-jū ū sann-bān tshit-tshing-guā jī.,,
"Oct 6, 2018_105.wav",照Fraser的摘要，咱人受著濟濟的慾望束縛，,"Tsiàu Fraser ê tiah-iàu, lán lâng siū-tio̍h tsē-tsē ê io̍k-bōng sok-pa̍k,",,
"Oct 6, 2018_106.wav",資本主義欲來滿足遮的慾望，無去分啥物是人真正「需要」的、啥物只是人「想欲愛」的，,"tsu-pún tsú-gī beh lâi buán-tsiok tsia-ê io̍k-bōng, bô khì hun siánn-mih sī lâng tsin-tsiànn “su-iàu”--ê, siánn-mih tsí-sī lâng “siūnn-beh ài”--ê,",,
"Oct 6, 2018_107.wav",這兩項的差別就可比救命藥仔佮電動𨑨迌物。,tsit nn̄g hāng ê tsha-pia̍t tō khó-pí kiù-miā io̍h-á kah tiān-tōng tshit-thô-mi̍h.,,
"Oct 6, 2018_108.wav",「市場」無管這，對伊來講攏是「選擇」；市場嘛無欲管各種選擇對公共利益抑是地球生態有啥物款影響，干焦欲做伊有閣較濟的選項。,"“Tshī-tiûnn” bô kuán tse, tuì i lâi kóng lóng sī “suán-ti̍k”; tshī-tiûnn mā bô beh kuán kok-tsióng suán-ti̍k tuì kong-kiōng lī-ik a̍h-sī tē-kiû sing-thài ū siánn-mih khuán íng-hióng, kan-tann beh tsò i ū koh-khah tsē ê suán-hāng.",,
"Oct 6, 2018_109.wav",過度消費的後果，就是予地球變做一个糞埽桶。,"Kuè-tōo siau-huì ê hiō-kó, tō sī hōo tē-kiû piàn-tsò tsi̍t ê pùn-sò-tháng.",,
"Oct 6, 2018_110.wav",面對這个問題，經濟學家嘛變無步。,"Bīn-tuì tsit ê būn-tê, king-tsè ha̍k-ka mā pìnn bô pōo.",,
"Oct 6, 2018_111.wav",地球的資源是有限的，毋過主流的經濟模型攏假設成長會當無限。,"Tē-kiû ê tsu-guân sī iú-hān--ê, m̄-koh tsú-liû ê king-tsè bôo-hîng lóng ká-siat sîng-tióng ē-tàng bû-hān.",,
"Oct 6, 2018_112.wav",教宗的呼籲，就是咱人袂當直直痟貪落去，愛知影撙節。,"Kàu-tsong ê hoo-io̍k, tō sī lán lâng bē-tàng ti̍t-ti̍t siáu-tham--lo̍h-khì, ài tsai-iánn tsún-tsat.",,
"Oct 6, 2018_113.wav",通諭內底無直接用著「資本主義」這个詞，毋過真濟擺唱名「市場」，,"Thong-jū lāi-té bô ti̍t-tsiap iōng-tio̍h “tsu-pún tsú-gī” tsit ê sû, m̄-koh tsin tsē pái tshiàng-miâ “tshī-tiûnn”,",,
"Oct 6, 2018_114.wav",比如：「市場竟然信篤只要增加公司佮個人的利益，就會當解決問題，咱愛拒絕這種想法」、,"pí-jû: “tshī-tiûnn kìng-jiân sìn-táu tsí-iàu jīn-uî tsing-ka kong-si kah kò-jîn ê lī-ik, tō ē-tàng kái-kuat būn-tê, lán ài kī-tsua̍t tsit-tsióng siūnn-huat”,",,
"Oct 6, 2018_115.wav",「為著銷路，市場大力推捒極端的消費主義，予人一時仔就隨牢佇無必要的開銷」。,"“uī-tio̍h siau-lōo, tshī-tiûnn tuā-la̍t thui-sak ki̍k-tuan ê siau-huì tsú-gī, hōo lâng tsi̍t-sî-á tō suî tiâu tī bô pit-iàu ê khai-siau”.",,
"Oct 6, 2018_116.wav",《衛報》的社論講，這是百年來上蓋予人想袂到、嘛可能是上蓋有氣魄的教宗文件，,"“Uē-pò” ê siā-lūn kóng, tse sī pah nî lâi siōng-kài hōo lâng siūnn bē kàu, mā khó-lîng sī siōng-kài ū khì-phik ê Kàu-tsong bûn-kiānn,",,
"Oct 6, 2018_117.wav",毋但是對天主教徒抑是基督教徒講話，嘛是講予地球頂的每一个人聽。,"m̄-nā sī tuì Thian-tsú kàu-tôo a̍h-sī Ki-tok kàu-tôo kóng-uē, mā sī kóng hōo tē-kiû-tíng ê muí tsi̍t ê lâng thiann.",,
"Oct 6, 2018_118.wav",猶毋是逐个人攏會聽，親像美國共和黨佮石油界的幾若个頭人就倒彈矣。,"Iáu m̄ sī ta̍k ê lâng lóng ē thiann, tshin-tshiūnn Bí-kok Kiōng-hô-tóng kah tsio̍h-iû-kài ê kuí-nā ê thâu-lâng tō tò-tuānn--ah.",,
"Oct 6, 2018_119.wav",總是，以教宗的地位，對拖棚的聯合國氣候談判會當發揮偌大的影響力，逐家猶是真期待。,"Tsóng--sī, í Kàu-tsong ê tē-uī, tuì thua-pênn ê Liân-ha̍p-kok khì-hāu tâm-phuànn ē-tàng huat-hui guā tuā ê íng-hióng-li̍k, ta̍k-ke iáu sī tsin siū-tio̍h kî-thāi.",,
"Oct 6, 2018_120.wav",總是，以教宗的地位，對拖棚的聯合國氣候談判會當發揮偌大的影響力，逐家猶是真好玄。,"Tsóng--sī, í Kàu-tsong ê tē-uī, tuì thua-pênn ê Liân-ha̍p-kok khì-hāu tâm-phuànn ē-tàng huat-hui guā tuā ê íng-hióng-li̍k, ta̍k-ke iáu sī tsin hònn-hiân.",,
