Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,老高的 啊，,"Láu-ko--ê  --ah,"
,哪會遐無閒？,ná ē hiah bô-îng?
,啊都這馬畫了當咧趣味啦，,"Ah to tsit-má uē liáu tng-leh tshù-bī --lah,"
,自我這張欲緊共趕起來。,tsū guá tsit tiunn beh kín kā kuánn --khí-lâi.
,老高的 啊，,"Láu-ko--ê  --ah,"
,這張遮媠，,"tsit tiunn tsiah suí,"
,彼張敢若鬼的。,hit tiunn kán-ná kuí --ê.
,唉，,"Haih,"
,講起來是真長啦，,"kóng --khí-lâi sī tsin tn̂g --lah,"
,就是這兩張像有一段真悲慘的往事。,tiō sī tsit nn̄g tiunn siōng ū tsi̍t-tuānn tsin pi-tshám ê óng-sū.
,三 年前啊，,"Sann  nî tsîng --ah,"
,我有一日去孤身去畫圖，,"guá ū tsi̍t li̍t khì koo-sin khì uē-tôo,"
,拄著一个田庄的姑娘。,tú-tio̍h tsi̍t ê tshân-tsng ê koo-niû.
,喂喂 玲玲 啊！,Eh eh  Lîng-lîng  --ah!
,玲玲 啊！,Lîng-lîng  --ah!
,行喔！,Kiânn --ooh!
,喔！,Ooh!
,來去喔！,Lâi-khì --ooh!
,我欲來去做工課。,Guá beh lâi-khì tsò khang-khè.
,好。,Hó.
,小姐，,"Sió-tsiá,"
,你遐爾媠，,"lí hiah-nī suí,"
,毋知會用予我做moo-lé-luh抑袂？,m̄ tsai ē-īng hōo guá tsuè moo-lé-luh iah buē?
,你號做啥物名唅？,Lí hō-tsuè siánn-mih miâ --hannh?
,我叫做 黃秀蘭 。,Guá kiò-tsò  N̂g Siù-lân .
,Eh，,"Eh,"
,先生，,"sian-sinn,"
,啥物叫做 moo 喔moo-lé-luh？,siánn-mih kiò-tsò  moo  ooh moo-lé-luh?
,你真媠啦，,"Lí tsin suí --lah,"
,按呢予我共你畫圖起來，,"án-ni hōo guá kā lí uē-tôo --khí-lâi,"
,叫做moo-lé-luh啦。,kiò-tsuè moo-lé-luh --lah.
,敢好勢？,Kám hó-sè?
,Eh，,"Eh,"
,免客氣嘛，,"bián kheh-khì --mah,"
,你遐坐嘛。,lí hia tsē --mah.
,無要緊啦。,Bô iàu-kín --lah.
,好農村，,"Hó lông-tshuan,"
,好景緻，,"hó kíng-tì,"
,農村姑娘擔水笑嘻嘻，,"lông-tshuan koo-niû tann tsuí tshiò-hi-hi,"
,有情阿哥跤踏水車獻情意，,"ū tsîng a-ko kha ta̍h tsuí-tshia hiàn tsîng-ì,"
,農村姑娘青春正當時。,lông-tshuan koo-niû tshing-tshun tsiànn tng-sî.
,好天氣，,"Hó thinn-khì,"
,風微微，,"hong bî-bî,"
,吹著菜青青，,"tshue-tio̍h tshài tshinn-tshinn,"
,農村姑娘快樂過日子，,"lông-tshuan koo-niû khuài-lo̍k kè li̍t-tsí,"
,若有愛意請你趕緊來表示，,"nā ū ài-ì tshiánn lí kuánn-kín lâi piáu-sī,"
,農村姑娘有情佮有意。,lông-tshuan koo-niû ū tsîng kah ū ì.
,王哥 ，,"Ông --ko ,"
,來啦！,lâi --lah!
,緊咧啦！,Kín --eh --lah!
,唅？,Hannh?
,喂喂啥物代誌啊？,Eh eh siánn-mih tāi-tsì --ah?
,遮坐啦。,Tsia tsē --lah.
,哼，,"Hngh,"
,王哥 啊，,"Ông --ko  --ah,"
,你看 火塗仔 佮 秀蘭 in遐爾相好，,"lí khuànn  Hé-thôo--á  kah  Siù-lân  in hiah-nī siong-hó,"
,你一个若戇人咧，,"lí tsi̍t ê ná gōng-lâng --leh,"
,攏無感情，,"lóng bô kám-tsîng,"
,佮我坐攏坐遮開。,kah guá tsē lóng tsē tsiah khui.
,抑無是欲坐偌倚？,Iah-bô sī beh tsē guā uá?
,也袂曉學in按呢啦。,Iā buē-hiáng o̍h in án-ni --lah.
,哎喲喂！,Ai-iō-uê!
,按呢才著。,Án-ni tsiah tio̍h.
,歹看甲！,Pháinn-khuànn kah!
,我會驚。,Guá ē kiann.
,你驚啥貨啦？,Lí kiann siánn-hè --lah?
,免驚啦。,Bián kiann --lah.
,阿母，,"A-bú,"
,藥仔好矣。,io̍h-á hó --ah.
,下咧予較冷一下。,Hē --leh hōo khah líng --tsi̍t-ē.
,喔。,Ooh.
,阿財 姆仔！,A-tsâi  ḿ--á!
,喔，,"Ooh,"
,uah，,"uah,"
,母囝免做，,"bú-kiánn bián tsuè,"
,閣有彼个閒的時間坐佇遮咧開講啊，,"koh ū hit ê îng ê sî-kan tsē tī tsia leh khai-káng --ah,"
,嘿嘿嘿嘿嘿真好、真好。,"heh heh heh heh heh tsin hó, tsin hó."
,阿昌 兄遐坐。,A-tshiong  hiann hia tsē.
,Mh，,"Mh,"
,阿財 姆仔，,"A-tsâi  ḿ--á,"
,阿財 伯死去的時陣，,"A-tsâi  peh sí--khì ê sî-tsūn,"
,共我借 三萬 箍，,"kā guá tsioh  sann-bān  khoo,"
,我現時真困難，,"guá hiān-sî tsin khùn-lân,"
,你嘛卸做通好還我。,lí mā sià-tsò thang hó hîng --guá.
,從阮老翁死了後，,"Tsiông gún lāu-ang sí liáu-āu,"
,也無人通好鬥趁錢，,"iā bô lâng thang hó tàu thàn-tsînn,"
,阿昌 兄，,"A-tshiong  hiann,"
,閣予我寬限一下好毋？,koh hōo guá khuan-ān --tsi̍t-ē hó --m̄?
,予你欠遐爾久矣，,"Hōo lí khiàm hiah-nī kú --ah,"
,猶閣直直限！,iah-koh ti̍t-ti̍t ān!
,我知影你對阮真好，,"Guá tsai-iánn lí tuì gún tsin hó,"
,只是不得已的，,"tsí-sī put-tik-í --ê,"
,乎，,"honnh,"
,拜託咧。,pài-thok --leh.
,免閣辯，,"Bián koh piān,"
,限甲年底，,"hān kah nî-té,"
,你錢就還我啦！,lí tsînn tō hâinn --guá --lah!
,哼！,Hngh!
,阿母，,"A-bú,"
,這項代誌你哪會毋捌對我提起？,tsit hāng tāi-tsì lí ná ē m̄ bat tuì guá thê-khí?
,阿母是毋甘加添你的煩惱，,"A-bú sī m̄-kam ka-thiam lí ê huân-ló,"
,驚你無心情通做工課。,kiann lí bô sim-tsiânn thang tsuè khang-khuè.
,阿母，,"A-bú,"
,我一定欲想辦法還伊，,"guá it-tīng beh siūnn pān-huat hâinn --i,"
,毋通予阿母你煩惱。,m̄ thang hōo a-bú lí huân-ló.
,心肝。,Sim-kuann.
,有代誌。,Ū tāi-tsì.
,啥物代誌咧？,Siánn-mih tāi-tsì --leh?
,阮老爸死的時陣，,"Gún lāu-pē sí ê sî-tsūn,"
,欠 阿昌 兄一寡錢，,"khiàm  A-tshiong  hiann tsi̍t-kuá tsînn,"
,阮老母攏毋捌對我講，,"gún lāu-bú lóng m̄ bat tuì guá kóng,"
,伊今仔日欲來共阮討錢。,i kin-á-li̍t beh lâi kā gún thó-tsînn.
,這簡單嘛，,"Tse kán-tan --mah,"
,等菜若收成，,"tán tshài nā siu-sîng,"
,才來賣還伊。,tsiah lâi buē hâinn --i.
,Eh，,"Eh,"
,菜哪會當賣遐爾濟錢？,tshài ná ē-tàng buē hiah-nī tsuē tsînn?
,這到底是欠人偌濟錢啊？,Tse tàu-tué sī khiàm lâng luā-tsuē tsînn --ah?
,三萬箍。,Sann-bān khoo.
