Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,一言說出就欲放予袂記得，,"It giân sueh tshut tsiū beh pàng hōo buē-kì-tit,"
,舊情綿綿，,"kū-tsîng mî-mî,"
,暝日較想也是你，,"mî-ji̍t khah siūnn iā sī lí,"
,明知你咱袂當做陣，,"bîng tsai lí lán buē-tàng tsuè-tīn,"
,因何偏偏對你鍾情，,"in-hô phian-phian tuì lí tsiong-tsîng,"
,啊，,"ah,"
,毋想你，,"m̄ siūnn lí,"
,怎樣我又閣想起，,"tsuánn-iūnn guá iū-koh siūnn-khí,"
,早日談戀的樹邊。,tsá-ji̍t tâm-luân ê tshiū-pinn.
,男子立誓甘願看破來避走，,"Lâm-tsú li̍p sè kam-guān khuànn-phuà lâi phiah-tsáu,"
,舊情綿綿猶原對你情意厚，,"kū-tsîng mî-mî iu-guân tuì lí tsîng-ì kāu,"
,明知你是輕薄無情，,"bîng tsai lí sī khin-po̍h bô-tsîng,"
,因何偏偏為你犧牲，,"in-hô phian-phian uī lí hi-sing,"
,啊，,"ah,"
,毋想你，,"m̄ siūnn lí,"
,怎樣若看黃昏到，,"tsuánn-iūnn nā khuànn hông-hun kàu,"
,就來想你目屎流。,tiō lâi siūnn lí ba̍k-sái lâu.
,喂，,"Eh,"
,小借問一下，,"sió tsioh-mn̄g --tsi̍t-ē,"
,遮有一間國民學校，,"tsia ū tsi̍t king kok-bîn ha̍k-hāu,"
,毋知對佗去乎？,m̄ tsai tuì tó khì --honnh?
,國民學校是毋？,Kok-bîn ha̍k-hāu sī --m̄?
,嘿。,Hennh.
,我拄仔好有順路，,"Guá tú-á-hó ū sūn-lōo,"
,無我𤆬你來去乎。,bô guá tshuā lí lâi-khì --honnh.
,遮就是學校啦。,Tsia tō sī ha̍k-hāu --lah.
,多謝。,To-siā.
,按呢好，,"Án-ne hó,"
,無四年甲班予你擔任，,"bô sì nî kah pan hōo lí tam-jīm,"
,兼六年級的音樂課。,kiam la̍k nî-kip ê im-ga̍k khò.
,好。,Hó.
,綴著你的食宿問題，,Tuè-tio̍h lí ê si̍t siok būn-tê?
,侯老師啊，,"Hâu lāu-su --ah,"
,侯老師！,Hâu lāu-su!
,校長，,"Hāu-tiúnn,"
,啥物代誌？,sím-mih tāi-tsì?
,前一日你敢毋是講啥物人有一間厝欲租人？,Tsîng tsi̍t ji̍t lí kám m̄ sī kóng sím-mih-lâng ū tsi̍t king tshù beh tsoo --lâng?
,是，,"Sī,"
,阿章伯。,A-tsiong-peh.
,無你𤆬洪先生去看覓咧。,Bô lí tshuā Âng --sian-sinn khì khuànn-māi --leh.
,好，,"Hó,"
,請。,tshiánn.
,阿甘仔。,A-kam--á。
,唅？,Hannh?
,你去佗位？,Lí khì tó-uī?
,人我去揣阮爸爸，,"Lâng guá khì tshuē guán pá-pah,"
,咱轉來去。,lán tńg--lâi-khì.
,好。,Hó.
,老師。,Lāu-su.
,恁做恁𨑨迌，,"Lín tsò lín tshit-thô,"
,阮遮無啥物貨，,"guán tsia bô sím-mih-huè,"
,干焦出產檳榔，,"kan-na tshut-sán pun-nn̂g,"
,遮閣去無偌遠。,tsia koh khì bô luā hn̄g.
,喔！,Ooh!
,阿章伯，,"A-tsiong-peh,"
,小等咧喔！,sió-tán --leh --ooh!
,喔，,"Ooh,"
,侯老師。,Hâu lāu-su.
,阿章伯，,"A-tiong-peh,"
,你頂日共我講你有一間房間欲租人是毋？,lí tíng-ji̍t kā guá kóng lí ū tsi̍t king pâng-king beh tsoo --lâng sī --m̄?
,嘿，,"Hennh,"
,是有人欲租是毋？,sī ū lâng beh tsoo sī --m̄?
,是，,"Sī,"
,這位洪老師欲租。,tsit uī Âng lāu-su beh tsoo.
,喔，,"Ooh,"
,蓋好，,"kài hó,"
,蓋好，,"kài hó,"
,抑無順紲我載恁來去看。,ia̍h-bô sūn-suà guá tsài lín lâi-khì khuànn.
,多謝、多謝。,"To-siā, to-siā."
,來，,"Lâi,"
,請坐，,"tshiánn tsē,"
,坐予好喔。,tsē hōo hó --ooh.
,好。,Hó.
,小姑娘唱歌採 檳榔 ，,"Sió koo-niû tshiùnn-kua tshái  檳榔 ,"
,歡喜笑聲滿樹林。,huann-hí tshiò-siann muá tshiū-nâ.
,阮是正當青春少年時；,Gún sī tsiànn-tng tshing-tshun siàu-liân sî;
,小姑娘採 檳榔 ，,"sió koo-niû tshái  檳榔 ,"
,一个採落一个裝，,"tsi̍t ê tshái lo̍h tsi̍t ê tsng,"
,每日等待夢中人，,"muí ji̍t tán-thāi bāng-tiong-lâng,"
,真有情，,"tsin ū-tsîng,"
,英俊又標緻，,"ing-tsùn iū piau-tì,"
,大聲來叫伊我的人啊，,"tuā-siann lâi kiò i guá ê lâng --ah,"
,聲音響亮滿山邊，,"siann-im hiáng-liāng muá suann-pinn,"
,日頭落西，,"ji̍t-thâu lo̍h sai,"
,鳥隻聲聲啼，,"tsiáu-tsiah siann siann thî,"
,親像叫咱緊轉去。,tshin-tshiūnn kiò lán kín tńg--khì.
,哎，,"Ai,"
,有影乎。,ū-iánn --honnh.
,莫走。,Mài tsáu.
,頂一日，,"Tíng tsi̍t ji̍t,"
,頂一日予你真多謝。,Tíng tsi̍t ji̍t hōo lí tsin to-siā.
,彼个人嘛咧奇，,"Hit ê lâng mā leh kî,"
,哪會咧共咱說多謝？,ná ē leh kā lán seh-to-siā?
,我頂一日共伊𤆬路的啦。,Guá tíng tsi̍t ji̍t kā i tshuā-lōo --ê --lah.
,失禮乎。,Sit-lé --honnh.
,袂。,Buē.
,煞共你抌著。,Suah kā lí tìm --tio̍h.
,袂袂袂。,Buē buē buē.
,欸，,"Eh,"
,先生你？,sian-sinn lí?
,我這馬踮佇咧阿章伯的厝，,"Guá tsit-má tiàm tī-leh A-tsiong-peh ê tshù,"
,有閒才來坐啦。,ū-îng tsiah lâi tsē --lah.
,喔，,"Ooh,"
,阿章伯仔in兜是毋？,A-tsiong-peh--á in tau sī --m̄?
,洪老師、洪老師。,"Âng lāu-su, Âng lāu-su."
,李老師。,Lí lāu-su.
,你拄才佮啥物人咧講話？,Lí tú-tsiah kah siánn-mih lâng leh kóng-uē?
,無。,Bô.
,敢是佮一寡採檳榔的小姐咧講話？,Kám sī kah tsi̍t-kuá tshái pun-nn̂g ê sió-tsiá leh kóng-uē?
,我失禮。,Guá sit-lé.
,哼。,Hngh.
