Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
"Oct 27, 2018 1_53.wav",彼號……,Hit-lō...,,
"Oct 27, 2018 1_54.wav",彼號嘿……,Hit-lō--heh…,,
"Oct 27, 2018 1_55.wav",我講……,Guá kóng...,,
"Oct 27, 2018 1_56.wav",哭……你到底是拜幾欲來？,Khàu... Lí tàu-té sī pài-kuí beh lâi?,,
"Oct 27, 2018 1_57.wav",姦……你是咧講啥潲？,Kàn... Lí sī tih kóng siánn-siâu?,,
"Oct 27, 2018 1_58.wav",無你是咧哭爸啥啦？,Bô lí sī teh khàu-pē siannh--lah?,,
"Oct 27, 2018 1_59.wav",我聽你咧哭枵。,Guá thiann lí teh khàu-iau.,,
"Oct 27, 2018 1_60.wav",姦恁……雄雄出聲是創啥啦！,Kàn lín... Hiông-hiông tshut-siann sī tshòng siannh--lah!,,
"Oct 27, 2018 1_61.wav",昨暝阮囝婿煮甲歹食甲。,Tsa-mê kiánn-sài tsú kah pháinn-tsia̍h kah.,,
"Oct 27, 2018 1_62.wav",伊按呢講，聽一下有影氣甲。,"I án-ne kóng, thiann tsi̍t-ē ū-iánn khì kah.",,
