Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
Audio 1_02-88.wav,第七百三十七篇，三八新娘戇囝婿,"Tē-tshit-pah sann-tsa̍p-tshit phinn, sam-pat sin-niû gōng kiánn-sài",,
Audio 1_02-90.wav,每一个少年人期待著自由，,"Muí tsi̍t ê siàu-liân-lâng kî-thāi tio̍h tsū-iû,",,
Audio 1_02-92.wav,未來人人交著真情動友，,"bī-lâi lâng-lâng kau-tio̍h tsin-tsîng tāng iú,",,
Audio 1_02-94.wav,為著怎樣咧？,uī-tio̍h tsuánn-iūnn--leh?,,
Audio 1_02-94.wav,為著怎樣毋知人的心肝，,"Uī-tio̍h tsuánn-iūnn m̄ tsai lâng ê sim-kuann,",,
Audio 1_02-94.wav,人的心肝，,"lâng ê sim-kuann,",,
Audio 1_02-96.wav,無論如何你我已經一對好情伴，,"bô-lūn lû-hô lí guá í-king tsi̍t tuì hó tsîng-phuānn,",,
Audio 1_02-98.wav,你這个好哥哥，,"lí tsit ê hó ko--koh,",,
Audio 1_02-100.wav,hi hi！,hi  hi !,,
Audio 1_02-100.wav,今來去𨑨迌，,"Kim lâi khì thit-thô,",,
Audio 1_02-100.wav,嘿嘿！,heh heh!,,
Audio 1_02-102.wav,見見人就散，,"Kiàn kìnn lâng tō suànn,",,
Audio 1_02-104.wav,毋通真早散，,"M̄-thang tsin tsá suànn,",,
Audio 1_02-106.wav,按呢我勉強自由自在來消遙，,"Án-ni guá bián-kióng tsū-iû-tsū-tsāi lâi siau-iâu,",,
Audio 1_02-108.wav,按呢我通得自由自在來消遙，,"án-ni guá thang-tit tsū-iû-tsū-tsāi lâi siau-iâu,",,
Audio 1_02-110.wav,每一个少年人需要著愛情，,"Muí tsi̍t ê siàu-liân-lâng su-iàu tio̍h ài-tsîng,",,
Audio 1_02-112.wav,你老的生來猶原真分明，,"lí lāu--ê sinn lâi iu-guân tsin hun-bîng,",,
Audio 1_02-114.wav,為著怎樣咧？,uī-tio̍h tsuánn-iūnn--leh?,,
Audio 1_02-114.wav,為著怎樣咧？,Uī-tio̍h tsuánn-iūnn--leh?,,
Audio 1_02-114.wav,為著怎樣咧欲來對咱阻礙？,Uī-tio̍h tsuánn-iūnn--leh beh lâi tuì lán tsóo-gāi?,,
Audio 1_02-114.wav,對咱阻礙，,"Tuì lán tsóo-gāi,",,
