Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
"Sep 15, 2018 01.wav",八百空一篇，Putin用對抗固權力,Putin iōng tuì-khòng kòo khuân-li̍k,,
"Sep 15, 2018 01.wav",Putin用對抗固權力,"Peh-pah khòng it phinn, Putin iōng tuì-khòng kòo khuân-li̍k",,
"Sep 15, 2018 01_1.wav",Russia總統Vladimir Putin不斷升高佮西方的對抗，,"Russia tsóng-thóng Vladimir Putin put-tuān sing-ko kah se-hong ê tuì-khòng,",,
"Sep 15, 2018 01_1.wav",毋過這可能失去控制，,"m̄-koh tse khó-lîng sit-khì khòng-tsè,",,
"Sep 15, 2018 01_1.wav",顛倒害著伊家己。,tian-tò hài-tio̍h i ka-kī.,,
"Sep 15, 2018 01_1.wav",這是《經濟學人》週刊一篇最新文章的觀點。,Tse sī “King-tsè ha̍k-jîn” tsiu-khan tsi̍t phinn tsuè sin bûn-tsiong ê kuan-tiám.,,
"Sep 15, 2018 01_1.wav",以下是這篇文章的摘要。,Í-hā sī tsit phinn bûn-tsiong ê tiah-iàu.,,
"Sep 15, 2018 01_2.wav",舊年底，,"Kū-nî té,",,
"Sep 15, 2018 01_2.wav",西方制裁加上油價大落，,"se-hong tsè-tshâi ka-siōng iû-kè tuā lo̍h,",,
"Sep 15, 2018 01_2.wav",嚴重打擊Russia的經濟，,"giâm-tiōng tánn-kik Russia ê king-tsè,",,
"Sep 15, 2018 01_2.wav",伊的貨幣rouble對美金的匯率半年間落一半。,i ê huè-pè rouble tuì Bí-kim ê huê-lu̍t puànn-nî-kan lak tsi̍t-puànn.,,
"Sep 15, 2018 01_3.wav",毋過這馬看來，,"M̄-koh tsit-má khuànn--lâi,",,
"Sep 15, 2018 01_3.wav",Russia的經濟並無像彼陣一般預測的遐爾䆀。,Russia ê king-tsè pīng bô tshiūnn hit-tsūn it-puann ī-tshik--ê hiah-nī bái.,,
"Sep 15, 2018 01_4.wav",Rouble的價值也漸漸回升。,Rouble ê kè-ta̍t iā tsiām-tsiām huê-sing.,,
"Sep 15, 2018 01_5.wav",對Putin來講，,"Tuì Putin lâi kóng,",,
"Sep 15, 2018 01_5.wav",這代表伊強硬對抗美國佮歐洲，,"tse tāi-piáu i kiông-ngē tuì-khòng Bí-kok kah Au-tsiu,",,
"Sep 15, 2018 01_5.wav",得著勝利。,tit--tio̍h sìng-lī.,,
"Sep 15, 2018 01_6.wav",照Russia官方的論點，,"Tsiàu Russia kuann-hong ê lūn-tiám,",,
"Sep 15, 2018 01_6.wav",西方當咧對Russia發動全面的攻擊。,se-hong tng-teh tuì Russia huat-tōng tsuân-bīn ê kong-kik.,,
"Sep 15, 2018 01_7.wav",國營電視台講，,"Kok-îng tiān-sī-tâi kóng,",,
"Sep 15, 2018 01_7.wav",歐洲聯盟（EU）是靠重分配對前蘇聯共產集團的崩解所取得的利益，,"Au-tsiu liân-bîng (EU) sī khò tîng hun-phuè uì tsîng Soo-liân kiōng-sán tsi̍p-thuân ê pang-kái sóo tshú-tit ê lī-ik,",,
"Sep 15, 2018 01_8.wav",毋過，,"m̄-koh,",,
"Sep 15, 2018 01_8.wav",來自東歐新市場的利益已經漸漸焦去，,"lâi-tsū Tang-au sin tshī-tiûnn ê lī-ik í-king tsiām-tsiām ta--khì,",,
"Sep 15, 2018 01_8.wav",歐洲只有繼續向東發展，,"Au-tsiu tsí-ū kè-sio̍k hiòng tang huat-tián,",,
"Sep 15, 2018 01_9.wav",佳哉Russia已經阻擋這个發展。,ka-tsài Russia í-king tsóo-tòng tsit ê huat-tián.,,
"Sep 15, 2018 01_9.wav",歐盟失去新的財富來源，,"Au-bîng sit-khì sin ê tsâi-hù lâi-guân,",,
"Sep 15, 2018 01_9.wav",真緊就會倒。,tsin kín tō ē tó.,,
"Sep 15, 2018 01_10.wav",最近幾個月來，,"Tsuè-kīn kuí kò gue̍h lâi,",,
"Sep 15, 2018 01_10.wav",Russia毋但多次派軍機逼近歐洲國家的邊界，,"Russia m̄-nā to tshù phài kun-ki pik-kīn Au-tsiu kok-ka ê pian-kài,",,
"Sep 15, 2018 01_10.wav",閣幾若擺唱聲欲使用核子武器。,koh kuí-nā pái tshiàng-siann beh sú-iōng hi̍k-tsú bú-khì.,,
"Sep 15, 2018 01_11.wav",最近幾個月來，,"Tsuè-kīn kuí kò gue̍h lâi,",,
"Sep 15, 2018 01_11.wav",Russia毋但多次派軍機逼近歐洲國家的邊界，,"Russia m̄-nā to tshù phài kun-ki pik-kīn Au-tsiu kok-ka ê pian-kài,",,
