Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
"Sep 15, 2018 01_25.wav",八百空二篇，外交政策佮bàn-bah貼紙,Guā-kau tsìng-tshik kah bàn-bah tah-tsuá,,
"Sep 15, 2018 01_25.wav",外交政策佮bàn-bah貼紙,Guā-kau tsìng-tshik kah bàn-bah tah-tsuá,,
"Sep 15, 2018 01_26.wav",美國總統Barack Obama主導Iran核子問題的談判，,"Bí-kok tsóng-thóng Barack Obama tsú-tō Iran hi̍k-tsú būn-tê ê tâm-phuànn,",,
"Sep 15, 2018 01_26.wav",四月初撨好原則要點，,"sì gue̍h-tshe tshiâu hó guân-tsik iàu-tiám,",,
"Sep 15, 2018 01_26.wav",有希望佇六月底以前達成協議。,ū hi-bāng tī la̍k gue̍h-té í-tsîng ta̍t-sîng hia̍p-gī.,,
"Sep 15, 2018 01_27.wav",另外，,"Līng-guā,",,
"Sep 15, 2018 01_27.wav",伊閣佮Cuba總統Raúl Castro見面會談，,"i koh kah Cuba tsóng-thóng Raúl Castro kìnn-bīn huē-tâm,",,
"Sep 15, 2018 01_27.wav",推動兩國外交正常化。,thui-tōng nn̄g kok guā-kau tsìng-siông-huà.,,
"Sep 15, 2018 01_28.wav",贊成者呵咾伊行務實路線，,"Tsàn-sîng-tsiá o-ló i kiânn bū-si̍t lōo-suànn,",,
"Sep 15, 2018 01_28.wav",毋過共和黨佇國會共抵制，,"m̄-koh kiōng-hô-tóng tī kok-huē kā tí-tsè,",,
"Sep 15, 2018 01_28.wav",講伊讓步傷濟。,kóng i niū-pōo siunn tsē.,,
"Sep 15, 2018 01_29.wav",贊成者呵咾伊行務實路線，,"Tsàn-sîng-tsiá o-ló i kiânn bū-si̍t lōo-suànn,",,
"Sep 15, 2018 01_29.wav",毋過共和黨佇國會共抵制，,"m̄-koh kiōng-hô-tóng tī kok-huē kā tí-tsè,",,
"Sep 15, 2018 01_29.wav",講伊讓傷過濟步。,kóng i niū siunn-kuè tsē pōo.,,
"Sep 15, 2018 01_30.wav",有意願抑是有可能佇二空一六年參選總統的共和黨人士，,"Ū ì-guān ia̍h-sī ū khó-lîng tī lī khòng it lio̍k nî tsham-suán tsóng-thóng ê kiōng-hô-tóng jîn-sū,",,
"Sep 15, 2018 01_30.wav",攏主張強硬的外交政策。,lóng tsú-tiunn kiông-ngē ê guā-kau tsìng-tshik.,,
"Sep 15, 2018 01_31.wav",英國《金融時報》副總編輯Philip Stephens拜五的一篇文章，,"Ing-kok “Kim-iông sî-pò” hù tsóng-pian-tsi̍p Philip Stephens pài-gōo ê tsi̍t phinn bûn-tsiong,",,
"Sep 15, 2018 01_31.wav",共遮的主張稱做「bàn-bah貼紙」的世界觀。,kā tsia-ê tsú-tiunn tshing-tsò “bàn-bah tah-tsuá” ê sè-kài-kuan.,,
"Sep 15, 2018 01_32.wav",美國人時行佇車的bàn-bah頂頭貼一寡標語，,"Bí-kok-lâng sî-kiânn tī tshia ê bàn-bah tíng-thâu tah tsi̍t-kuá piau-gí,",,
"Sep 15, 2018 01_32.wav",表達家己的主張、趣味抑是講一寡笑詼。,"piáu-ta̍t ka-kī ê tsú-tiunn, tshù-bī ia̍h-sī kóng tsi̍t-kuá tshiò-khue.",,
"Sep 15, 2018 01_33.wav",Stephens就是剾洗共和黨，,"Stephens tō sī khau-sé kiōng-hô-tóng,",,
"Sep 15, 2018 01_33.wav",講in喝欲按怎處理中東、中國佮Russia，,"kóng in huah beh án-tsuánn tshú-lí Tiong-tang, Tiong-kok kah Russia,",,
"Sep 15, 2018 01_33.wav",只是家己喝爽的。,tsí-sī ka-kī huah sóng--ê.,,
"Sep 15, 2018 01_34.wav",重點是：美國已經無像以前遐強大矣。,Tiōng-tiám sī: Bí-kok í-king bô tshiūnn í-tsîng hiah kiông-tāi--ah.,,
"Sep 15, 2018 01_34.wav",而且，,"Jî-tshiánn,",,
"Sep 15, 2018 01_34.wav",冷戰結束了後的世界，,"líng-tsiàn kiat-sok liáu-āu ê sè-kài,",,
"Sep 15, 2018 01_34.wav",袂當簡單看做正邪雙方之爭。,bē-tàng kán-tan khuànn-tsò tsìng siâ siang-hong tsi tsing.,,
"Sep 15, 2018 01_35.wav",比論講，,"Pí-lūn kóng,",,
"Sep 15, 2018 01_35.wav",Islam國是一个大威脅，,"Islam kok sī tsi̍t ê tuā ui-hia̍p,",,
"Sep 15, 2018 01_35.wav",毋過Iran閣是Islam國的死對頭。,m̄-koh Iran koh sī Islam kok ê sí-tuì-thâu.,,
"Sep 15, 2018 01_36.wav",作者認為，,"Tsok-tsiá jīn-uî,",,
"Sep 15, 2018 01_36.wav",Obama有認清這个複雜的世界新形勢，,"Obama ū jīn-tshing tsit ê ho̍k-tsa̍p ê sè-kài sin hîng-sè,",,
"Sep 15, 2018 01_36.wav",伊佮Iran發展關係是真有勇氣的一步。,i kah Iran huat-tián kuan-hē sī tsin ū ióng-khì ê tsi̍t pōo.,,
