Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
"Sep 15, 2018 01_43.wav",八百空三篇，Hillary Clinton欲終結大量監禁,"Peh-pah khòng sann phinn, Hillary Clinton beh tsiong-kiat tāi-liōng kam-kìm",,
"Sep 15, 2018 01_43.wav",佇美國Baltimore種族暴動當炎的時，,"Tī Bí-kok Baltimore tsíng-tso̍k pō-tōng tng iām ê sî,",,
"Sep 15, 2018 01_43.wav",爭取民主黨提名參選總統的Hillary Clinton宣示欲「終結大量監禁的時代 」。,tsing-tshú bîn-tsú-tóng thê-miâ tsham-suán tsóng-thóng ê Hillary Clinton suan-sī beh “tsiong-kiat tāi-liōng kam-kìm ê sî-tāi”.,,
"Sep 15, 2018 01_43.wav",美國20外年來刑事政策過度依賴監獄，,"Bí-kok 20 guā nî lâi hîng-sū tsìng-tshik kuè-tōo i-nāi kann-ga̍k,",,
"Sep 15, 2018 01_43.wav",後果尤其對烏人不利。,hiō-kó iû-kî tuì oo-lâng put-lī.,,
"Sep 15, 2018 01_43.wav",Clinton想欲反轉這个政策，,"Clinton siūnn-beh huán-tńg tsit ê tsìng-tshik,",,
"Sep 15, 2018 01_43.wav",未來發展佮影響真值得咱的注意。,Bī-lâi huat-tián kah íng-hióng tsin ta̍t-tit lán ê tsù-ì.,,
"Sep 15, 2018 01_44.wav",大量監禁，,"Tāi-liōng kam-kìm,",,
"Sep 15, 2018 01_44.wav",是一个真特殊的美國現象。,sī tsi̍t ê tsin ti̍k-sû ê Bí-kok hiān-siōng.,,
"Sep 15, 2018 01_45.wav",有偌恐怖？,Ū guā khióng-pòo?,,
"Sep 15, 2018 01_45.wav",就親像Clinton四月二九佇New York的Columbia大學這場演說講的，,"Tō tshin-tshiūnn Clinton sì gue̍h jī káu tī New York ê Columbia tāi-ha̍k tsit tiûnn ián-suat kóng--ê,",,
"Sep 15, 2018 01_45.wav",全美國有超過兩百萬人佇咧關。,tsuân Bí-kok ū tshiau-kuè nn̄g-pah bān lâng tī-leh kuainn.,,
"Sep 15, 2018 01_46.wav",三分之一的烏人男性，,"sann hun tsi it ê oo-lâng lâm-sìng,",,
"Sep 15, 2018 01_46.wav",一世人上無會入去一擺櫳仔內。,tsi̍t-sì-lâng siōng-bô ē ji̍p-khì tsi̍t pái lông-á-lāi.,,
"Sep 15, 2018 01_47.wav",美國人口佔全世界無到五pha，,"Bí-kok jîn-kháu tsiàm tsuân sè-kài bô kàu gōo pha,",,
"Sep 15, 2018 01_47.wav",毋過伊的監獄人口佔全世界監獄人口的二十五pha。,m̄-koh i ê kann-ga̍k jîn-kháu tsiàm tsuân sè-kài kann-ga̍k jîn-kháu ê jī-tsa̍p-gōo pha.,,
"Sep 15, 2018 01_48.wav",這就造成，,"Tse tō tsō-sîng,",,
"Sep 15, 2018 01_48.wav",毋但是監獄傷𤲍、費用傷懸、管理困難爾爾。,"m̄-nā sī kann-ga̍k siunn kheh, huì-iōng siunn kuân, kuán-lí khùn-lân niā-niā.",,
"Sep 15, 2018 01_48.wav",遮濟人去關，,"Tsiah tsē lâng khì kuainn,",,
"Sep 15, 2018 01_48.wav",對in厝內的衝擊是啥款？,tuì in tshù-lāi ê tshiong-kik sī siánn-khuán?,,
"Sep 15, 2018 01_48.wav",in中斷的人生欲按怎？,In tiong-tuān ê jîn-sing beh án-tsuánn?,,
"Sep 15, 2018 01_49.wav",Clinton講，,"Clinton kóng,",,
"Sep 15, 2018 01_49.wav",囚犯內底真大部分只是犯輕罪的，,"siû-huān lāi-té tsin tuā-pōo-hūn tsí-sī huān khin-tsuē--ê,",,
"Sep 15, 2018 01_49.wav",「共in關起來，無啥會降低犯罪，顛倒真會拆散in的家庭和社區」。,"“kā in kuainn--khí-lâi, bô siánn ē kàng-kē huān-tsuē, tian-tò tsin ē thiah-suànn in ê ka-tîng hām siā-khu”.",,
"Sep 15, 2018 01_50.wav",閣加上因為規个體系的偏見，,"Koh ka-siōng in-uī kui-ê thé-hē ê phian-kiàn,",,
"Sep 15, 2018 01_50.wav",烏人坐監的機會遠遠比白人閣較濟、刑期閣較長。,"oo-lâng tsē-kann ê ki-huē uán-uán pí pe̍h-lâng koh-khah tsē, hîng-kî koh-khah tn̂g.",,
"Sep 15, 2018 01_51.wav",遮的問題毋是新聞，,"Tsia-ê būn-tê m̄ sī sin-bûn,",,
"Sep 15, 2018 01_51.wav",專家學者佇十幾年前就捌警告過矣，,"tsuan-ka ha̍k-tsiá tī tsa̍p kuí nî tsîng tō bat kíng-kò--kuè--ah,",,
"Sep 15, 2018 01_51.wav",只是美國跨黨派的政治猶原按呢行。,tsí-sī Bí-kok khuà tóng-phài ê tsìng-tī iû-guân án-ne kiânn.,,
"Sep 15, 2018 01_52.wav",講來，,"Kóng--lâi,",,
"Sep 15, 2018 01_52.wav",造成大量監禁的關鍵，,"tsō-sîng tāi-liōng kam-kìm ê kuan-kiān,",,
"Sep 15, 2018 01_52.wav",是1994年的刑事法，,"sī 1994 nî ê hîng-sū huat,",,
"Sep 15, 2018 01_52.wav",這是Hillary Clinton in翁Bill Clinton做總統的時簽署的；,tse sī Hillary Clinton in ang Bill Clinton tsò tsóng-thóng ê sî tshiam-sú--ê;,,
"Sep 15, 2018 01_53.wav",主導擬定的，,"tsú-tō gí-tīng--ê,",,
"Sep 15, 2018 01_53.wav",是彼陣的參議員、現任的副總統Joe Biden。,"sī hit-tsūn ê tsham-gī-uân, hiān-jīm ê hù-tsóng-thóng Jue Biden.",,
"Sep 15, 2018 01_54.wav",Hillary Clinton佇這時陣做這个宣示，,"Hillary Clinton tī tsit sî-tsūn tsò tsit ê suan-sī,",,
"Sep 15, 2018 01_54.wav",Slate新聞網站的評論家Jamelle Bouie認為真有時代意義，,"Slate sin-bûn bāng-tsām ê phîng-lūn-ka Jamelle Bouie jīn-uî tsin ū sî-tāi ì-gī,",,
"Sep 15, 2018 01_54.wav",尤其Clinton共終結大量監禁連結去更闊的社會無平等的問題，,"iû-kî Clinton kā tsiong-kiat tāi-liōng kam-kìm liân-kiat khì kìng khuah ê siā-huē bô pîng-tíng ê būn-tê,",,
"Sep 15, 2018 01_55.wav",警察改革，,"kíng-tshat kái-kik,",,
