Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
"Sep 15, 2018 01_76.wav",八百空五篇，驚美國Iran行倚，Saudi靠家己。,"Peh-pah khòng gōo phinn, kiann Bí-kok Iran kiânn uá, Saudi khò ka-tī.",,
"Sep 15, 2018 01_76.wav",驚美國Iran行倚，Saudi靠家己。,"Kiann Bí-kok Iran kiânn uá, Saudi khò ka-tī.",,
"Sep 15, 2018 01_76.wav",美國最近佮Iran改善關係，,"Bí-kok tsuè-kīn kah Iran kái-siān kuan-hē,",,
"Sep 15, 2018 01_76.wav",已經引起一寡傳統Arabian盟邦的反感。,í-king ín-khí tsi̍t-kuá thuân-thóng Arabian bîng-pang ê huán-kám.,,
"Sep 15, 2018 01_76.wav",有媒體分析，,"Ū muî-thé hun-sik,",,
"Sep 15, 2018 01_76.wav",Saudi Arabia可能會愈來愈行家己的路，,"Saudi Arabia khó-lîng ē jú lâi jú kiânn ka-kī ê lōo,",,
"Sep 15, 2018 01_76.wav",予美國愈歹掌握。,hōo Bí-kok jú pháinn tsiáng-ak.,,
"Sep 15, 2018 01_77.wav",頂禮拜四，,"Tíng lé-pài sì,",,
"Sep 15, 2018 01_77.wav",美國總統Barack Obama參六个Arabian盟國的領袖，,"Bí-kok tsóng-thóng Barack Obama tsham la̍k ê Arabian bîng-kok ê líng-siù,",,
"Sep 15, 2018 01_77.wav",佇總統別莊的Camp David進行會談。,tī tsóng-thóng pia̍t-tsong ê Camp David tsìn-hîng huē-tâm.,,
"Sep 15, 2018 01_78.wav",Obama對Saudi在內的這六个波斯灣國家承諾，,"Obama tuì Saudi tsāi-lāi ê tsit la̍k ê Pho-su-uân kok-ka sîng-lo̍k,",,
"Sep 15, 2018 01_78.wav",會支持in發展國防，,"ē tsi-tshî in huat-tián kok-hông,",,
"Sep 15, 2018 01_78.wav",來防備Iran的威脅。,lâi hông-pī Iran ê ui-hia̍p.,,
"Sep 15, 2018 01_78.wav",毋過伊並無表示欲簽定正式的防禦條約。,M̄-koh i pīng bô piáu-sī beh tshiam-tīng tsìng-sik ê hông-gū tiâu-iok.,,
"Sep 15, 2018 01_79.wav",Islam教Sunni派的Saudi佮Shia派的Iran，,"Islam kàu Sunni phài ê Saudi kah Shia phài ê Iran,",,
"Sep 15, 2018 01_79.wav",是敵對的區域強權。,sī ti̍k-tuì ê khu-hi̍k kiông-khuân.,,
"Sep 15, 2018 01_80.wav",In佇中東的幾若條戰線頂懸支持無仝的政權抑是團體相戰，,"In tī Tiong-tang ê kuí-nā tiâu tsiàn-suànn tíng-kuân tsi-tshî bô-kāng ê tsìng-khuân ia̍h-sī thuân-thé sio-tsiàn,",,
"Sep 15, 2018 01_80.wav",包括佇Syria、Iraq、Lebanon、Yemen等所在，,"pau-kuat tī Syria, Iraq, Lebanon, Yemen tíng sóo-tsāi,",,
"Sep 15, 2018 01_80.wav",進行「代理人戰爭」。,tsìn-hîng “tāi-lí-jîn tsiàn-tsing”.,,
"Sep 15, 2018 01_80.wav",Saudi閣佇三月底開始直接派軍機，,"Saudi koh tī sann gue̍h-té khai-sí ti̍t-tsiap phài kun-ki,",,
"Sep 15, 2018 01_80.wav",去Yemen轟炸Iran支持的叛軍。,khì Yemen hong-tsà Iran tsi-tshî ê puān-kun.,,
"Sep 15, 2018 01_80.wav",Iran核子問題的國際談判，,"Iran hi̍k-tsú būn-tê ê kok-tsè tâm-phuànn,",,
"Sep 15, 2018 01_80.wav",佇美國主導之下，,"tī Bí-kok tsú-tō tsi-hā,",,
"Sep 15, 2018 01_80.wav",可能佇六月達成協議，,"khó-lîng tī la̍k--gue̍h ta̍t-sîng hia̍p-gī,",,
"Sep 15, 2018 01_81.wav",國際對Iran的石油佮金融制裁也有希望來解除。,kok-tsè tuì Iran ê tsio̍h-iû kah kim-iông tsè-tshâi iā ū hi-bāng lâi kái-tû.,,
"Sep 15, 2018 01_81.wav",遮的發展，,"Tsia-ê huat-tián,",,
"Sep 15, 2018 01_81.wav",使Saudi真煩惱。,sú Saudi tsin huân-ló.,,
"Sep 15, 2018 01_82.wav",佇Camp David會談進前幾工，,"Tī Camp David huē-tâm tsìn-tsîng kuí kang,",,
"Sep 15, 2018 01_82.wav",Saudi才宣布國王無欲親身出席，,"Saudi tsiah suan-pòo kok-ông bô beh tshin-sin tshut-si̍k,",,
"Sep 15, 2018 01_82.wav",外界解讀這是表達Saudi對美國和Iran行倚真袂爽。,guā-kài kái-tho̍k tse sī piáu-ta̍t Saudi tuì Bí-kok hām Iran kiânn-uá tsin bē sóng.,,
"Sep 15, 2018 01_83.wav",會談的結果嘛無予人意外。,Huē-tâm ê kiat-kó mā bô hōo lâng ì-guā.,,
"Sep 15, 2018 01_83.wav",美國《時代》雜誌佇彼工代先發表的一篇文章講，,"Bí-kok “Sî-tāi” tsa̍p-tsì tī hit kang tāi-sing huat-piáu ê tsi̍t phinn bûn-tsiong kóng,",,
"Sep 15, 2018 01_83.wav",美國的保證，,"Bí-kok ê pó-tsìng,",,
"Sep 15, 2018 01_83.wav",對遮的盟邦來講，,"tuì tsia-ê bîng-pang lâi kóng,",,
"Sep 15, 2018 01_83.wav",已經真僫信用矣。,í-king tsin oh sìn-iōng--ah.,,
"Sep 15, 2018 01_83.wav",一位受訪的Saudi學者講，,"Tsi̍t uī siū-hóng ê Saudi ha̍k-tsiá kóng,",,
"Sep 15, 2018 01_83.wav",Iran支持的軍事行動破壞安定，,"Iran tsi-tshî ê kun-sū hîng-tōng phò-huāi an-tīng,",,
"Sep 15, 2018 01_83.wav",美國攏激恬恬，,"Bí-kok lóng kik-tiām-tiām,",,
"Sep 15, 2018 01_83.wav",按呢會鼓勵Iran愈來愈敢；,Án-ne ē kóo-lē Iran jú lâi jú kánn;,,
"Sep 15, 2018 01_83.wav",若是核子協議達成，,"nā-sī hi̍k-tsú hia̍p-gī ta̍t-sîng,",,
"Sep 15, 2018 01_83.wav",Iran「會愈來愈濟錢，會愈有法度去幫助美國成做這个區域的代理者」。,"Iran “ē jú lâi jú tsē tsînn, ē jú ū huat-tōo khì pang-tsōo Bí-kok tsiânn-tsò tsit ê khu-hi̍k ê tāi-lí-tsiá”.",,
"Sep 15, 2018 01_84.wav",美國佮Iran嘛有共同利益，,"Bí-kok kah Iran mā ū kiōng-tông lī-ik,",,
"Sep 15, 2018 01_84.wav",比如Iran支持的Shia民兵，,"pí-jû Iran tsi-tshî ê Shia bîn-ping,",,
"Sep 15, 2018 01_84.wav",咧和Sunni過激派的Islam國交戰。,leh hām Sunni kuè-kik-phài ê Islam kok kau-tsiàn.,,
"Sep 15, 2018 01_85.wav",美國佮Iran嘛有共同利益，,"Bí-kok kah Iran mā ū kiōng-tông lī-ik,",,
"Sep 15, 2018 01_85.wav",比如Iran支持的Shia民兵，,"pí-jû Iran tsi-tshî ê Shia bîn-ping,",,
"Sep 15, 2018 01_85.wav",咧和Sunni過激派的Islam國交戰。,leh hām Sunni kuè-kik-phài ê Islam kok kau-tsiàn.,,
"Sep 15, 2018 01_86.wav",這篇文章講，,"Tsit phinn bûn-tsiong kóng,",,
