Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
0902-Dia059.wav,八百五十三篇，臺北發的早幫車。,"Peh-pah gōo-tsa̍p-sann phinn, Tâi-pak hua̍t--ê tsá-pang-tshia",,
0902-Dia060.wav,老高的啊，,"Láu-ko--ê --ah,",,
0902-Dia060.wav,哪會遐無閒？,ná ē hiah bô-îng?,,
0902-Dia061.wav,啊都這馬畫了當咧趣味啦，,"Ah to tsit-má uē liáu tng-leh tshù-bī--lah,",,
0902-Dia061.wav,自我這張欲緊共趕起來。,tsū guá tsit tiunn beh kín kā kuánn--khí-lâi.,,
0902-Dia062.wav,老高的啊，,"Láu-ko--ê --ah,",,
0902-Dia062.wav,這張遮媠，,"tsit tiunn tsiah suí,",,
0902-Dia062.wav,彼張敢若鬼的。,hit tiunn kán-ná kuí--ê.,,
0902-Dia063.wav,哎，,"Aih,",,
0902-Dia063.wav,講起來話頭長啦，,"kóng--khí-lâi uē-thâu tn̂g--lah,",,
0902-Dia063.wav,就是這兩張像有一段真悲慘的往事。,tiō sī tsit nn̄g tiunn siōng ū tsi̍t-tuānn tsin pi-tshám ê óng-sū.,,
0902-Dia064.wav,三年前啊，,"Sann  nî tsîng--ah,",,
0902-Dia064.wav,我有一日去孤身去畫圖，,"guá ū tsi̍t li̍t khì koo-sin khì uē-tôo,",,
0902-Dia064.wav,拄著一个田庄的姑娘。,tú-tio̍h tsi̍t ê tshân-tsng ê koo-niû.,,
0902-Dia065.wav,喂喂玲玲啊！,Eh eh  Lîng-lîng --ah!,,
0902-Dia065.wav,玲玲啊！,Lîng-lîng --ah!,,
0902-Dia065.wav,行喔！,Kiânn--ooh!,,
0902-Dia066.wav,喔。,Ooh.,,
0902-Dia067.wav,來去喔！,Lâi-khì--ooh!,,
0902-Dia067.wav,我欲來去做工課。,Guá beh lâi-khì tsò khang-khè.,,
0902-Dia068.wav,好。,Hó.,,
0902-Dia069.wav,小姐，,"Sió-tsiá,",,
0902-Dia069.wav,你遐爾媠，,"lí hiah-nī suí,",,
0902-Dia069.wav,毋知會用予我做moo-lé-luh袂？,m̄ tsai ē-īng hōo guá tsuè moo-lé-luh--buē?,,
0902-Dia070.wav,你號做啥物名唅？,Lí hō-tsuè siánn-mih miâ--hannh?,,
0902-Dia070.wav,我叫做黃秀蘭。,Guá kiò-tsò  N̂g Siù-lân .,,
0902-Dia071.wav,Eh，,"Eh,",,
0902-Dia071.wav,先生，,"sian-sinn,",,
0902-Dia071.wav,啥物叫做moo喔moo-lé-luh？,siánn-mih kiò-tsò  moo  ooh moo-lé-luh?,,
0902-Dia072.wav,你真媠啦，,"Lí tsin suí--lah,",,
0902-Dia072.wav,按呢予我共你畫圖起來，,"án-ni hōo guá kā lí uē-tôo--khí-lâi,",,
0902-Dia072.wav,叫做moo-lé-luh啦。,kiò-tsuè moo-lé-luh--lah.,,
0902-Dia073.wav,敢好勢？,Kám hó-sè?,,
0902-Dia074.wav,Eh，,"Eh,",,
0902-Dia074.wav,免客氣嘛，,"bián kheh-khì--mah,",,
0902-Dia074.wav,你遐坐嘛。,lí hia tsē--mah.,,
0902-Dia074.wav,無要緊啦。,Bô iàu-kín--lah.,,
0902-Dia075.wav,好農村，,"Hó lông-tshuan,",,
0902-Dia075.wav,好景緻，,"hó kíng-tì,",,
0902-Dia075.wav,農村姑娘擔水笑嘻嘻，,"lông-tshuan koo-niû tann tsuí tshiò-hi-hi,",,
0902-Dia075.wav,有情阿哥跤踏水車獻情意，,"ū tsîng a-ko kha ta̍h tsuí-tshia hiàn tsîng-ì,",,
0902-Dia075.wav,農村姑娘青春正當時。,lông-tshuan koo-niû tshing-tshun tsiànn tng-sî.,,
0902-Dia076.wav,好天氣，,"Hó thinn-khì,",,
0902-Dia076.wav,風微微，,"hong bî-bî,",,
0902-Dia076.wav,吹著菜青青，,"tshue-tio̍h tshài tshinn-tshinn,",,
0902-Dia076.wav,農村姑娘快樂過日子，,"lông-tshuan koo-niû khuài-lo̍k kè li̍t-tsí,",,
0902-Dia076.wav,若有愛意請你趕緊來表示，,"nā ū ài-ì tshiánn lí kuánn-kín lâi piáu-sī,",,
0902-Dia076.wav,農村姑娘有情佮有意。,lông-tshuan koo-niû ū tsîng kah ū ì.,,
0902-Dia077.wav,王哥，,"Ông--ko ,",,
0902-Dia077.wav,來啦！,lâi--lah!,,
0902-Dia077.wav,緊咧啦！,Kín--eh--lah!,,
0902-Dia078.wav,唅？,Hannh?,,
0902-Dia078.wav,喂喂啥物代誌啊？,Eh eh siánn-mih tāi-tsì--ah?,,
0902-Dia079.wav,遮坐啦。,Tsia tsē--lah.,,
0902-Dia080.wav,哼，,"Hngh,",,
0902-Dia081.wav,王哥啊，,"Ông--ko --ah,",,
0902-Dia081.wav,你看火塗仔佮秀蘭in遐爾相好，,"lí khuànn  Hé-thôo--á  kah  Siù-lân  in hiah-nī siong-hó,",,
0902-Dia081.wav,你一个人若戇人咧，,"lí tsi̍t ê lâng ná gōng-lâng--leh,",,
0902-Dia081.wav,攏無感情，,"lóng bô kám-tsîng,",,
0902-Dia081.wav,佮我坐攏坐遮開。,kah guá tsē lóng tsē tsiah khui.,,
0902-Dia082.wav,抑無是欲坐偌倚？,Iah-bô sī beh tsē guā uá?,,
0902-Dia083.wav,也袂曉學in按呢呢。,Iā buē-hiáng o̍h in án-ni--nih.,,
0902-Dia084.wav,哎喲喂！,Ai-iō-uê!,,
0902-Dia085.wav,按呢才著。,Án-ni tsiah tio̍h.,,
0902-Dia086.wav,歹看甲！,Pháinn-khuànn kah!,,
0902-Dia086.wav,我會驚。,Guá ē kiann.,,
0902-Dia087.wav,歹看甲！,Pháinn-khuànn kah!,,
0902-Dia088.wav,你驚啥貨啦？,Lí kiann siánn-hè--lah?,,
0902-Dia088.wav,免驚啦。,Bián kiann--lah.,,
0902-Dia089.wav,阿母，,"A-bú,",,
0902-Dia089.wav,藥仔好矣。,io̍h-á hó--ah.,,
