Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
0902-Dia162.wav,八百五十四篇，舊情綿綿。,"Peh-pah gōo-tsa̍p-sì phinn, kū-tsîng mî-mî.",,
0902-Dia163.wav,一言說出就欲放予袂記得，,"It giân sueh tshut tsiū beh pàng hōo buē-kì-tit,",,
0902-Dia163.wav,舊情綿綿，,"kū-tsîng mî-mî,",,
0902-Dia163.wav,暝日較想也是你，,"mî-ji̍t khah siūnn iā sī lí,",,
0902-Dia163.wav,明知你咱袂當做陣，,"bîng tsai lí lán buē-tàng tsuè-tīn,",,
0902-Dia163.wav,因何偏偏對你鍾情，,"in-hô phian-phian tuì lí tsiong-tsîng,",,
0902-Dia164.wav,啊，,"ah,",,
0902-Dia164.wav,毋想你，,"m̄ siūnn lí,",,
0902-Dia164.wav,怎樣我又閣想起，,"tsuánn-iūnn guá iū-koh siūnn-khí,",,
0902-Dia164.wav,早日談戀的樹邊。,tsá-ji̍t tâm-luân ê tshiū-pinn.,,
0902-Dia164.wav,男子立誓甘願看破來避走，,"Lâm-tsú li̍p sè kam-guān khuànn-phuà lâi phiah-tsáu,",,
0902-Dia164.wav,舊情綿綿猶原對你情意厚，,"kū-tsîng mî-mî iu-guân tuì lí tsîng-ì kāu,",,
0902-Dia165.wav,明知你是輕薄無情，,"bîng tsai lí sī khin-po̍h bô-tsîng,",,
0902-Dia165.wav,因何偏偏為你犧牲，,"in-hô phian-phian uī lí hi-sing,",,
0902-Dia165.wav,啊，,"ah,",,
0902-Dia165.wav,毋想你，,"m̄ siūnn lí,",,
0902-Dia165.wav,怎樣若看黃昏到，,"tsuánn-iūnn nā khuànn hông-hun kàu,",,
0902-Dia165.wav,就來想你目屎流。,tiō lâi siūnn lí ba̍k-sái lâu.,,
0902-Dia166.wav,喂，,"Eh,",,
0902-Dia166.wav,小借問一下，,"sió tsioh-mn̄g--tsi̍t-ē,",,
0902-Dia166.wav,遮有一間國民學校，,"tsia ū tsi̍t king kok-bîn ha̍k-hāu,",,
0902-Dia166.wav,毋知對佗去乎？,m̄ tsai tuì tó khì--honnh?,,
0902-Dia167.wav,國民學校是毋？,Kok-bîn ha̍k-hāu sī--m̄?,,
0902-Dia168.wav,嘿，,"Hennh,",,
0902-Dia169.wav,我拄仔好有順路，,"Guá tú-á-hó ū sūn-lōo,",,
0902-Dia169.wav,無我𤆬你來去乎。,bô guá tshuā lí lâi-khì--honnh.,,
0902-Dia170.wav,遮就是學校啦。,Tsia tō sī ha̍k-hāu--lah.,,
0902-Dia171.wav,多謝。,to-siā.,,
0902-Dia172.wav,按呢好，,"Án-ne hó,",,
0902-Dia172.wav,無四年甲班予你擔任，,"bô sì nî kah pan hōo lí tam-jīm,",,
0902-Dia172.wav,兼六年級的音樂課。,kiam la̍k nî-kip ê im-ga̍k khò.,,
0902-Dia173.wav,按呢好，,"Án-ne hó,",,
0902-Dia173.wav,無四年甲班予你擔任，,"bô sì nî kah pan hōo lí tam-jīm,",,
0902-Dia173.wav,兼六年仔的音樂課。,kiam la̍k-nî-á ê im-ga̍k khò.,,
0902-Dia174.wav,好。,Hó.,,
0902-Dia175.wav,綴著你的食宿問題，,Tuè-tio̍h lí ê si̍t siok būn-tê?,,
0902-Dia176.wav,侯老師啊，,"Hâu lāu-su--ah,",,
0902-Dia176.wav,侯老師！,Hâu lāu-su!,,
0902-Dia177.wav,校長，,"Hāu-tiúnn,",,
0902-Dia177.wav,啥物代誌？,sím-mih tāi-tsì?,,
0902-Dia178.wav,前一日你敢毋是講啥物人有一間厝欲稅人？,Tsîng tsi̍t ji̍t lí kám m̄ sī kóng sím-mih-lâng ū tsi̍t king tshù beh suè--lâng?,,
0902-Dia179.wav,前一日你敢毋是講啥物人有一間厝欲租人？,Tsîng tsi̍t ji̍t lí kám m̄ sī kóng sím-mih-lâng ū tsi̍t king tshù beh tsoo--lâng?,,
0902-Dia180.wav,是，,"Sī,",,
0902-Dia180.wav,阿章伯。,A-tsiunn-peh.,,
0902-Dia180.wav,無你𤆬洪先生去看覓咧。,Bô lí tshuā Âng--sian-sinn khì khuànn-māi--leh.,,
0902-Dia181.wav,好，,"Hó,",,
0902-Dia181.wav,請。,tshiánn.,,
0902-Dia182.wav,阿甘仔。,A-kam--á.,,
0902-Dia183.wav,唅？,Hannh?,,
0902-Dia184.wav,你去佗位？,Lí khì tó-uī?,,
0902-Dia185.wav,人我去揣阮爸爸，,"Lâng guá khì tshuē guán pá-pah,",,
0902-Dia186.wav,咱轉來去。,lán tńg--lâi-khì.,,
0902-Dia187.wav,好。,Hó.,,
0902-Dia188.wav,老師。,Lāu-su.,,
0902-Dia189.wav,恁做恁𨑨迌，,"Lín tsò lín tshit-thô,",,
0902-Dia189.wav,阮遮無啥物貨，,"guán tsia bô sím-mih-huè,",,
0902-Dia189.wav,干焦出產檳榔，,"kan-na tshut-sán pun-nn̂g,",,
0902-Dia189.wav,遮閣去無偌遠。,tsia koh khì bô luā hn̄g.,,
0902-Dia190.wav,喔！,Ooh!,,
0902-Dia190.wav,阿章伯，,"A-tsiunn-peh,",,
0902-Dia190.wav,小等咧喔！,sió-tán--leh--ooh!,,
0902-Dia191.wav,喔？,Ooh?,,
0902-Dia191.wav,侯老師。,Hâu lāu-su.,,
